fold,product_id,part_identity_group,part_name,brand,model,category,subcategory,quality_grade,mileage,year_mid,price,predicted_price,error,absolute_error,absolute_percentage_error,price_bin,mileage_bin,year_mid_bin
2,54187634,gear box 6 speed -|toyota|corolla|fi26167503a,Gear Box 6 Speed -,toyota,corolla,gear box / drive axle / middle axle,gear box 6 speed,A2,330000.0,2010.0,592.0,1307.686749999995,-715.6867499999951,715.6867499999951,120.89303209459376,"(260.5, 4641.0]","(238000.0, 919294.0]","(2004.5, 2010.0]"
2,62146906,hybrid inverter -|toyota|corolla|fi27837687a,Hybrid Inverter -,toyota,corolla,electric / transmitter / databox / sensor,hybrid inverter,A2,83000.0,2023.0,473.6,1009.4722499999962,-535.8722499999961,535.8722499999961,113.14870143581,"(260.5, 4641.0]","(58000.0, 98000.0]","(2016.5, 2023.5]"
3,59673805,engine diesel -|skoda|octavia|fi06509801a,Engine Diesel -,skoda,octavia,engine,engine diesel,A2,201000.0,2016.5,3538.9,4038.8340000000153,-499.9340000000152,499.9340000000152,14.12681906807243,"(260.5, 4641.0]","(153000.0, 238000.0]","(2010.0, 2016.5]"
3,59673805,engine diesel -|skoda|octavia|fi06509801a,Engine Diesel -,skoda,octavia,engine,engine diesel,A2,201000.0,2016.5,3530.6,4017.895250000025,-487.29525000002513,487.29525000002513,13.802052059140802,"(260.5, 4641.0]","(153000.0, 238000.0]","(2010.0, 2016.5]"
3,59673805,engine diesel -|skoda|octavia|fi06509801a,Engine Diesel -,skoda,octavia,engine,engine diesel,A2,201000.0,2016.5,3529.3,4016.4745000000066,-487.17450000000645,487.17450000000645,13.803714617629739,"(260.5, 4641.0]","(153000.0, 238000.0]","(2010.0, 2016.5]"
3,59673805,engine diesel -|skoda|octavia|fi06509801a,Engine Diesel -,skoda,octavia,engine,engine diesel,A2,201000.0,2016.5,3549.7,4036.7247500000162,-487.0247500000164,487.0247500000164,13.720166492943529,"(260.5, 4641.0]","(153000.0, 238000.0]","(2010.0, 2016.5]"
3,59673805,engine diesel -|skoda|octavia|fi06509801a,Engine Diesel -,skoda,octavia,engine,engine diesel,A2,201000.0,2016.5,3561.1,4038.5752500000026,-477.4752500000027,477.4752500000027,13.408083176546647,"(260.5, 4641.0]","(153000.0, 238000.0]","(2010.0, 2016.5]"
3,59673805,engine diesel -|skoda|octavia|fi06509801a,Engine Diesel -,skoda,octavia,engine,engine diesel,A2,201000.0,2016.5,3543.1,4013.6977500000216,-470.59775000002173,470.59775000002173,13.28209054218119,"(260.5, 4641.0]","(153000.0, 238000.0]","(2010.0, 2016.5]"
1,64533287,gear box 6 speed -(front)|toyota|corolla|fi03986645a,Gear Box 6 Speed -(Front),toyota,corolla,gear box / drive axle / middle axle,gear box 6 speed,A2,,2010.0,899.8,1348.6734999999933,-448.8734999999933,448.8734999999933,49.88591909313107,"(260.5, 4641.0]",,"(2004.5, 2010.0]"
1,59824465,engine gasoline -|skoda|octavia|fi09389104a,Engine Gasoline -,skoda,octavia,engine,engine gasoline,A2,86000.0,2016.5,4127.9,4542.5434999999825,-414.64349999998285,414.64349999998285,10.044901766030739,"(260.5, 4641.0]","(58000.0, 98000.0]","(2010.0, 2016.5]"
1,59824465,engine gasoline -|skoda|octavia|fi09389104a,Engine Gasoline -,skoda,octavia,engine,engine gasoline,A2,86000.0,2016.5,4129.3,4543.569500000001,-414.26950000000124,414.26950000000124,10.03243891216432,"(260.5, 4641.0]","(58000.0, 98000.0]","(2010.0, 2016.5]"
1,59824465,engine gasoline -|skoda|octavia|fi09389104a,Engine Gasoline -,skoda,octavia,engine,engine gasoline,A2,86000.0,2016.5,4139.1,4548.357000000008,-409.2570000000078,409.2570000000078,9.88758425744746,"(260.5, 4641.0]","(58000.0, 98000.0]","(2010.0, 2016.5]"
1,59824465,engine gasoline -|skoda|octavia|fi09389104a,Engine Gasoline -,skoda,octavia,engine,engine gasoline,A2,86000.0,2016.5,4151.7,4557.729499999979,-406.02949999997963,406.02949999997963,9.779837175132588,"(260.5, 4641.0]","(58000.0, 98000.0]","(2010.0, 2016.5]"
1,59824465,engine gasoline -|skoda|octavia|fi09389104a,Engine Gasoline -,skoda,octavia,engine,engine gasoline,A2,86000.0,2016.5,4144.0,4545.790500000008,-401.79050000000825,401.79050000000825,9.695716698841899,"(260.5, 4641.0]","(58000.0, 98000.0]","(2010.0, 2016.5]"
1,59824465,engine gasoline -|skoda|octavia|fi09389104a,Engine Gasoline -,skoda,octavia,engine,engine gasoline,A2,86000.0,2016.5,4165.0,4560.73799999999,-395.7379999999903,395.7379999999903,9.501512605041782,"(260.5, 4641.0]","(58000.0, 98000.0]","(2010.0, 2016.5]"
1,58761312,kamera utvändig -|toyota|corolla|fi05028803a,Kamera Utvändig -,toyota,corolla,electric / transmitter / databox / sensor,kamera utvändig,A2,58000.0,2023.0,296.0,689.1702499999982,-393.1702499999982,393.1702499999982,132.82778716216154,"(260.5, 4641.0]","(1999.999, 58000.0]","(2016.5, 2023.5]"
1,58925051,kamera utvändig -|toyota|corolla|fi05028803a,Kamera Utvändig -,toyota,corolla,electric / transmitter / databox / sensor,kamera utvändig,A2,90000.0,2023.0,296.0,687.5479999999978,-391.54799999999784,391.54799999999784,132.27972972972898,"(260.5, 4641.0]","(58000.0, 98000.0]","(2016.5, 2023.5]"
1,53881624,kamera utvändig -|toyota|corolla|fi05028803a,Kamera Utvändig -,toyota,corolla,electric / transmitter / databox / sensor,kamera utvändig,A2,4000.0,2023.0,296.0,678.2372499999994,-382.23724999999945,382.23724999999945,129.1342060810809,"(260.5, 4641.0]","(1999.999, 58000.0]","(2016.5, 2023.5]"
