fold,product_id,part_identity_group,part_name,brand,model,category,subcategory,quality_grade,mileage,year_mid,price,predicted_price,error,absolute_error,absolute_percentage_error,price_bin,mileage_bin,year_mid_bin
4,64483026,automatic gear -|skoda|octavia|fi27837687a,Automatic gear -,skoda,octavia,gear box / drive axle / middle axle,automatic gear,A2,103000.0,2023.5,4617.6,3947.465000000005,670.1349999999952,670.1349999999952,14.5126256063755,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
4,64483026,automatic gear -|skoda|octavia|fi27837687a,Automatic gear -,skoda,octavia,gear box / drive axle / middle axle,automatic gear,A2,103000.0,2023.5,4641.0,4002.618500000012,638.3814999999881,638.3814999999881,13.755257487610173,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
4,64483026,automatic gear -|skoda|octavia|fi27837687a,Automatic gear -,skoda,octavia,gear box / drive axle / middle axle,automatic gear,A2,103000.0,2023.5,4626.2,3999.9532500000164,626.2467499999834,626.2467499999834,13.536957978470094,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
4,64483026,automatic gear -|skoda|octavia|fi27837687a,Automatic gear -,skoda,octavia,gear box / drive axle / middle axle,automatic gear,A2,103000.0,2023.5,4612.1,3993.109500000026,618.9904999999744,618.9904999999744,13.42101212029172,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
4,64483026,automatic gear -|skoda|octavia|fi27837687a,Automatic gear -,skoda,octavia,gear box / drive axle / middle axle,automatic gear,A2,103000.0,2023.5,4601.2,3982.8122500000013,618.3877499999985,618.3877499999985,13.439705946274852,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
4,64483026,automatic gear -|skoda|octavia|fi27837687a,Automatic gear -,skoda,octavia,gear box / drive axle / middle axle,automatic gear,A2,103000.0,2023.5,4599.7,3981.7792500000014,617.9207499999984,617.9207499999984,13.433935908863587,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
2,63425718,automatic gear -(front)|skoda|octavia|gc300012n,Automatic gear -(Front),skoda,octavia,gear box / drive axle / middle axle,automatic gear,A2,126000.0,2016.5,4369.0,3866.9005000000016,502.09949999999844,502.09949999999844,11.492320897230451,"(260.5, 4641.0]","(98000.0, 153000.0]","(2010.0, 2016.5]"
2,63425718,automatic gear -(front)|skoda|octavia|gc300012n,Automatic gear -(Front),skoda,octavia,gear box / drive axle / middle axle,automatic gear,A2,126000.0,2016.5,4353.5,3863.220499999989,490.279500000011,490.279500000011,11.26173193981879,"(260.5, 4641.0]","(98000.0, 153000.0]","(2010.0, 2016.5]"
1,65107261,main cylinder -|toyota|corolla|fi27837687a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,115000.0,2023.0,595.0,105.55425000000041,489.4457499999996,489.4457499999996,82.25978991596632,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
1,60058879,main cylinder -|toyota|corolla|fi27837687a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,119000.0,2023.0,595.0,105.7697500000004,489.2302499999996,489.2302499999996,82.22357142857136,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
1,66220344,main cylinder -|toyota|corolla|fi05028803a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,52000.0,2023.0,595.0,106.03050000000039,488.9694999999996,488.9694999999996,82.1797478991596,"(260.5, 4641.0]","(1999.999, 58000.0]","(2016.5, 2023.5]"
1,66220344,main cylinder -|toyota|corolla|fi05028803a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,52000.0,2023.0,592.0,103.7712499999998,488.2287500000002,488.2287500000002,82.47107263513517,"(260.5, 4641.0]","(1999.999, 58000.0]","(2016.5, 2023.5]"
1,65107261,main cylinder -|toyota|corolla|fi27837687a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,115000.0,2023.0,593.1,105.3800000000002,487.7199999999998,487.7199999999998,82.23233856010788,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
1,65107261,main cylinder -|toyota|corolla|fi27837687a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,115000.0,2023.0,592.0,104.34799999999989,487.6520000000001,487.6520000000001,82.37364864864867,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
1,65107261,main cylinder -|toyota|corolla|fi27837687a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,115000.0,2023.0,592.8,105.28174999999976,487.5182500000002,487.5182500000002,82.23992071524971,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
1,60058879,main cylinder -|toyota|corolla|fi27837687a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,119000.0,2023.0,593.1,105.59150000000021,487.5084999999998,487.5084999999998,82.19667846906083,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
1,65399927,main cylinder -|toyota|corolla|fi27837687a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,148000.0,2023.0,592.0,104.66624999999982,487.3337500000002,487.3337500000002,82.31989020270272,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
1,60058879,main cylinder -|toyota|corolla|fi27837687a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,119000.0,2023.0,592.8,105.49199999999975,487.3080000000002,487.3080000000002,82.20445344129558,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
1,66220344,main cylinder -|toyota|corolla|fi05028803a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,52000.0,2023.0,593.1,105.90016666666685,487.1998333333332,487.1998333333332,82.1446355308267,"(260.5, 4641.0]","(1999.999, 58000.0]","(2016.5, 2023.5]"
1,60058879,main cylinder -|toyota|corolla|fi27837687a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,119000.0,2023.0,592.0,104.93499999999982,487.06500000000017,487.06500000000017,82.27449324324327,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
1,66220344,main cylinder -|toyota|corolla|fi05028803a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,52000.0,2023.0,592.8,105.76966666666637,487.0303333333336,487.0303333333336,82.15761358524522,"(260.5, 4641.0]","(1999.999, 58000.0]","(2016.5, 2023.5]"
1,65107261,main cylinder -|toyota|corolla|fi27837687a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,115000.0,2023.0,589.9,104.69000000000011,485.20999999999987,485.20999999999987,82.2529242244448,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
1,65107261,main cylinder -|toyota|corolla|fi27837687a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,115000.0,2023.0,589.7,104.64850000000035,485.0514999999997,485.0514999999997,82.25394268271997,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
1,66220344,main cylinder -|toyota|corolla|fi05028803a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,52000.0,2023.0,589.9,104.97825000000007,484.9217499999999,484.9217499999999,82.2040600101712,"(260.5, 4641.0]","(1999.999, 58000.0]","(2016.5, 2023.5]"
1,60058879,main cylinder -|toyota|corolla|fi27837687a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,119000.0,2023.0,589.9,105.02750000000009,484.8724999999999,484.8724999999999,82.19571113748091,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
1,66220344,main cylinder -|toyota|corolla|fi05028803a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,52000.0,2023.0,589.7,104.97850000000034,484.7214999999997,484.7214999999997,82.1979820247583,"(260.5, 4641.0]","(1999.999, 58000.0]","(2016.5, 2023.5]"
1,60058879,main cylinder -|toyota|corolla|fi27837687a,Main cylinder -,toyota,corolla,brakes,main cylinder,A2,119000.0,2023.0,589.7,104.98400000000034,484.7159999999997,484.7159999999997,82.1970493471256,"(260.5, 4641.0]","(98000.0, 153000.0]","(2016.5, 2023.5]"
