feature,feature_group,mean_abs_shap,mean_shap,median_abs_shap,importance_share
subcategory,part_taxonomy,251.09793209160188,-71.22336608550201,192.68747338777493,0.6176713369279311
part_name,part_taxonomy,56.03858501087208,-30.36494103701123,51.47332271679322,0.13784831852214424
category,part_taxonomy,23.253372199510547,2.4323465949057472,15.821021777979476,0.057200556670911916
year_end,vehicle_age_usage,12.831750439478526,-1.641118666986656,11.82358498118345,0.03156459467052438
year_mid,vehicle_age_usage,12.758739636842233,-1.8728055424771075,11.998790654578078,0.0313849966957466
year_start,vehicle_age_usage,6.047909477590783,-0.9677571418007938,5.474775908108877,0.014877144951077613
mileage,vehicle_age_usage,4.320472194979072,-2.476133803973107,2.670001829072353,0.010627852705131578
model,vehicle_identity,1.8542785096283763,-0.7386887285038453,1.0349429753780715,0.0045613067241870656
brand,vehicle_identity,1.755086115981735,-0.7052069879138233,0.974428754672299,0.0043173051193691825
brand_hybrid_share,traficom_brand_context,1.501072311534337,-0.5719282122470317,0.5801651276054327,0.003692461079897215
brand_firstreg_peak_year,traficom_brand_context,1.460339875108126,-0.5777299453022428,0.6338781582826778,0.003592264084031349
year_span,vehicle_age_usage,1.3724830938315418,-0.351653028883208,0.9573608428465377,0.003376146750458503
brand_firstreg_recent_share,traficom_brand_context,1.3270961657474778,-0.4760342614869016,0.5655284931187634,0.0032645002533519133
model_hybrid_share,traficom_model_context,1.2721585578965846,-0.4890500265943003,0.5160422605369968,0.00312936020896276
model_firstreg_recent_share,traficom_model_context,1.2187774625044943,-0.3513936797992873,0.5540573695034254,0.0029980490018856687
model_firstreg_peak_year,traficom_model_context,1.2108212897659552,-0.5208724386441372,0.46741868074735976,0.002978477754080847
brand_median_mass_kg,traficom_brand_context,1.08487745333651,-0.32789142128030124,0.43287420287713757,0.0026686707509836283
model_mean_mileage,traficom_model_context,1.051170212128088,-0.4198190929255722,0.37000626823668425,0.002585754907878385
brand_firstreg_weighted_year,traficom_brand_context,1.0406364461109814,-0.3805339635950886,0.38718699713383103,0.0025598430842147055
brand_median_engine_cc,traficom_brand_context,1.0055991596601643,-0.4144906655600927,0.41057257759093774,0.0024736554864749193
model_median_mileage,traficom_model_context,0.9879012340702046,-0.3706134976616225,0.36598170236033184,0.0024301206741053232
model_firstreg_weighted_year,traficom_model_context,0.9303721900001715,-0.37291658175568043,0.3337138023554871,0.0022886060018540194
brand_firstreg_old_share,traficom_brand_context,0.8901570261830409,-0.395328548465302,0.28415328748480534,0.0021896814356786153
brand_ev_share,traficom_brand_context,0.8548629727639067,-0.332435205753331,0.2678928217200882,0.002102862221440524
brand_automatic_share,traficom_brand_context,0.835414522619068,-0.31794467726459774,0.3329019565858471,0.00205502132485458
model_diesel_share,traficom_model_context,0.7825019656525872,-0.27495010632122696,0.3917622772849427,0.0019248626671168544
model_turbo_share,traficom_model_context,0.7466489805882076,-0.3016300394722799,0.27309094162257674,0.0018366685468662195
brand_total_registered,traficom_brand_context,0.7043305591619294,-0.24571597725040836,0.32251238918292074,0.0017325702147082578
observations_so_far,listing_history,0.6974108347995044,-0.18788649748389513,0.41826738726525037,0.001715548507828758
days_since_first_seen_so_far,listing_history,0.6791465428705237,-0.16743692589004316,0.4079492469871843,0.0016706205009756386
brand_firstreg_peak_count,traficom_brand_context,0.6785838199412294,-0.2639812947450425,0.2919809368438655,0.0016692362688508979
model_median_mass_kg,traficom_model_context,0.671172989914228,-0.320218214626294,0.221719160877401,0.001651006499882296
model_median_vehicle_age,traficom_model_context,0.6682995448280872,-0.2618952759736662,0.2875706754128987,0.0016439381634242396
model_share_within_brand,traficom_model_context,0.6590777387449407,-0.2767981645775913,0.2272424591944582,0.0016212536066665627
brand_mean_mileage,traficom_brand_context,0.6518155663685731,-0.30048708810958236,0.348367047685133,0.0016033895180086136
brand_mean_vehicle_age,traficom_brand_context,0.6440363868099093,-0.17666636024200927,0.2977958209312783,0.001584253652578828
quality_grade,part_condition,0.6362573270420052,-0.012055026028663735,0.14875405267389397,0.001565118081820202
model_firstreg_old_share,traficom_model_context,0.6290883434067555,-0.24133268530923577,0.18426673998994375,0.0015474832264890006
brand_median_power_kw,traficom_brand_context,0.6225566539908709,-0.22490899205225456,0.29778739763682094,0.0015314160398726027
model_total_registered,traficom_model_context,0.616603733235401,-0.26240782500607174,0.23304448799182864,0.0015167725559895263
brand_turbo_share,traficom_brand_context,0.5924562857631088,-0.19597584359433232,0.22986698949491258,0.0014573726794578211
brand_share_over_10y,traficom_brand_context,0.5894982332344708,-0.19460664869275912,0.2422816198432156,0.00145009621865686
model_mean_vehicle_age,traficom_model_context,0.58615015143138,-0.2167095950912539,0.35055529852845213,0.0014418603317810385
model_automatic_share,traficom_model_context,0.5842448435976257,-0.2418002233936972,0.2008703072782555,0.0014371734989300816
model_petrol_share,traficom_model_context,0.5633366049113927,-0.1582944085430513,0.27992994621652545,0.0013857416944761023
model_share_over_200k_km,traficom_model_context,0.5113564694637616,-0.18969015941884076,0.22957550626182638,0.0012578766838478165
brand_diesel_share,traficom_brand_context,0.4418026605238119,-0.1987653575228226,0.1400485057762671,0.001086782506374877
brand_median_vehicle_age,traficom_brand_context,0.418683188188087,-0.1750617183191968,0.19162798724988533,0.0010299113275972437
brand_firstreg_total_2014_2026,traficom_brand_context,0.4057088300805288,-0.14878074776471092,0.16236061595802312,0.0009979959348605418
brand_share_over_200k_km,traficom_brand_context,0.3644316425518865,-0.09061508195437785,0.09364560586214793,0.0008964589154471743
model_share_over_10y,traficom_model_context,0.3530131928297226,-0.04149828064781577,0.06507324104371946,0.0008683708740731003
brand_median_mileage,traficom_brand_context,0.35202134662279566,-0.1243656790656901,0.16872551162152377,0.000865931049230433
model_share_of_market,traficom_model_context,0.3289152882837803,-0.12879887471343057,0.11580768062482093,0.0008090928673047137
brand_petrol_share,traficom_brand_context,0.32708277204279845,-0.13202546127762232,0.10661232394262697,0.0008045850931980895
model_firstreg_peak_count,traficom_model_context,0.3126218293372665,-0.06575401356656324,0.07709241100910731,0.0007690128774503882
brand_share_of_market,traficom_brand_context,0.28955462433160145,-0.11204884140454588,0.12852858480298893,0.0007122702701483014
model_firstreg_total_2014_2026,traficom_model_context,0.27931339094299434,-0.04480148539163535,0.06458651982648007,0.0006870780422942534
mileage_missing_flag,vehicle_age_usage,0.236979653913425,0.049841559681314096,0.08656107510557831,0.0005829420355561711
first_seen_day_offset,listing_history,0.22495917165640908,0.0032733404320035367,0.09660063978546532,0.0005533730650578362
model_median_power_kw,traficom_model_context,0.17812474252876007,-0.028254134459640926,0.06517864365403511,0.0004381658858805174
model_ev_share,traficom_model_context,0.176771903864287,-0.05718329680977554,0.08437431140140689,0.00043483806211242664
brand_is_known_model_family,traficom_brand_context,0.16894620481911093,0.005624605459580882,0.029699186999205266,0.0004155877642252016
model_median_engine_cc,traficom_model_context,0.14816004678010802,0.007516582190020615,0.03437903381869546,0.00036445626378392177
model_firstreg_year_span,traficom_model_context,0.0,0.0,0.0,0.0
brand_firstreg_year_span,traficom_brand_context,0.0,0.0,0.0,0.0
repair_status,part_condition,0.0,0.0,0.0,0.0
