feature_group,feature,shap_value,abs_shap_value,product_id,example_source,feature_value
part_taxonomy,subcategory,-138.65796572573075,138.65796572573075,54161048,accurate_low_error,fuse box / electricity central
part_taxonomy,part_name,-48.4527328189196,48.4527328189196,54161048,accurate_low_error,Fuse box / Electricity central -
part_taxonomy,category,-15.477213468425562,15.477213468425562,54161048,accurate_low_error,electric / transmitter / databox / sensor
vehicle_age_usage,year_end,-10.238982737644292,10.238982737644292,54161048,accurate_low_error,2012
vehicle_age_usage,year_mid,-10.21730814300121,10.21730814300121,54161048,accurate_low_error,2010.0
vehicle_age_usage,year_start,-3.7992630533804914,3.7992630533804914,54161048,accurate_low_error,2008
vehicle_identity,model,-2.5764737667616284,2.5764737667616284,54161048,accurate_low_error,corolla
traficom_brand_context,brand_firstreg_peak_year,-2.350608694028342,2.350608694028342,54161048,accurate_low_error,2019.0
vehicle_identity,brand,-2.2032256078233328,2.2032256078233328,54161048,accurate_low_error,toyota
traficom_brand_context,brand_hybrid_share,-2.074589416491581,2.074589416491581,54161048,accurate_low_error,0.3234907231586875
traficom_model_context,model_firstreg_peak_year,-1.8326890602159256,1.8326890602159256,54161048,accurate_low_error,2020.0
vehicle_age_usage,year_span,-1.8260927623783936,1.8260927623783936,54161048,accurate_low_error,4
part_taxonomy,subcategory,-170.11406925559552,170.11406925559552,54338198,accurate_low_error,right
part_taxonomy,part_name,-51.34231597263855,51.34231597263855,54338198,accurate_low_error,Strut rear -(Right)
vehicle_age_usage,year_end,-17.77174866772482,17.77174866772482,54338198,accurate_low_error,1997
vehicle_age_usage,year_mid,-15.99665780460149,15.99665780460149,54338198,accurate_low_error,1995.0
part_taxonomy,category,-9.652804364162328,9.652804364162328,54338198,accurate_low_error,vehicle exterior / suspension
vehicle_age_usage,year_start,-8.040682836659435,8.040682836659435,54338198,accurate_low_error,1993
vehicle_identity,model,-2.5849387303107503,2.5849387303107503,54338198,accurate_low_error,corolla
traficom_brand_context,brand_firstreg_peak_year,-2.3502215573197462,2.3502215573197462,54338198,accurate_low_error,2019.0
vehicle_identity,brand,-2.2724873686537466,2.2724873686537466,54338198,accurate_low_error,toyota
traficom_brand_context,brand_hybrid_share,-2.1056335654833673,2.1056335654833673,54338198,accurate_low_error,0.3234907231586875
traficom_model_context,model_firstreg_peak_year,-1.8943959789215297,1.8943959789215297,54338198,accurate_low_error,2020.0
traficom_model_context,model_hybrid_share,-1.8258714879937907,1.8258714879937907,54338198,accurate_low_error,0.3193991982544273
part_taxonomy,subcategory,-171.13283960165072,171.13283960165072,54338198,accurate_low_error,right
