feature,feature_group,mean_abs_shap,mean_shap,median_abs_shap,importance_share
brand_hybrid_share,traficom_brand_context,1.501072311534337,-0.5719282122470317,0.5801651276054327,0.003692461079897215
brand_firstreg_peak_year,traficom_brand_context,1.460339875108126,-0.5777299453022428,0.6338781582826778,0.003592264084031349
brand_firstreg_recent_share,traficom_brand_context,1.3270961657474778,-0.4760342614869016,0.5655284931187634,0.0032645002533519133
model_hybrid_share,traficom_model_context,1.2721585578965846,-0.4890500265943003,0.5160422605369968,0.00312936020896276
model_firstreg_recent_share,traficom_model_context,1.2187774625044943,-0.3513936797992873,0.5540573695034254,0.0029980490018856687
model_firstreg_peak_year,traficom_model_context,1.2108212897659552,-0.5208724386441372,0.46741868074735976,0.002978477754080847
brand_median_mass_kg,traficom_brand_context,1.08487745333651,-0.32789142128030124,0.43287420287713757,0.0026686707509836283
model_mean_mileage,traficom_model_context,1.051170212128088,-0.4198190929255722,0.37000626823668425,0.002585754907878385
brand_firstreg_weighted_year,traficom_brand_context,1.0406364461109814,-0.3805339635950886,0.38718699713383103,0.0025598430842147055
brand_median_engine_cc,traficom_brand_context,1.0055991596601643,-0.4144906655600927,0.41057257759093774,0.0024736554864749193
model_median_mileage,traficom_model_context,0.9879012340702046,-0.3706134976616225,0.36598170236033184,0.0024301206741053232
model_firstreg_weighted_year,traficom_model_context,0.9303721900001715,-0.37291658175568043,0.3337138023554871,0.0022886060018540194
brand_firstreg_old_share,traficom_brand_context,0.8901570261830409,-0.395328548465302,0.28415328748480534,0.0021896814356786153
brand_ev_share,traficom_brand_context,0.8548629727639067,-0.332435205753331,0.2678928217200882,0.002102862221440524
brand_automatic_share,traficom_brand_context,0.835414522619068,-0.31794467726459774,0.3329019565858471,0.00205502132485458
model_diesel_share,traficom_model_context,0.7825019656525872,-0.27495010632122696,0.3917622772849427,0.0019248626671168544
model_turbo_share,traficom_model_context,0.7466489805882076,-0.3016300394722799,0.27309094162257674,0.0018366685468662195
brand_total_registered,traficom_brand_context,0.7043305591619294,-0.24571597725040836,0.32251238918292074,0.0017325702147082578
brand_firstreg_peak_count,traficom_brand_context,0.6785838199412294,-0.2639812947450425,0.2919809368438655,0.0016692362688508979
model_median_mass_kg,traficom_model_context,0.671172989914228,-0.320218214626294,0.221719160877401,0.001651006499882296
model_median_vehicle_age,traficom_model_context,0.6682995448280872,-0.2618952759736662,0.2875706754128987,0.0016439381634242396
model_share_within_brand,traficom_model_context,0.6590777387449407,-0.2767981645775913,0.2272424591944582,0.0016212536066665627
brand_mean_mileage,traficom_brand_context,0.6518155663685731,-0.30048708810958236,0.348367047685133,0.0016033895180086136
brand_mean_vehicle_age,traficom_brand_context,0.6440363868099093,-0.17666636024200927,0.2977958209312783,0.001584253652578828
