feature,dtype,unique_count,missing_fraction,category_price_median_std,mutual_information,unique_ratio,train_coverage,validation_unseen_fraction,test_unseen_fraction,suspicion_flags,abs_corr_with_target
part_name,object,442,0.0,580.7621467885822,2.691138404352279,0.05556952476741262,1.0,0.0615748963883955,0.04946364719904649,high_mutual_information,
subcategory,object,136,0.0,585.4157585535096,2.1636682698590666,0.017098315313050037,1.0,0.007104795737122558,0.0,high_mutual_information,
mileage,float64,332,0.09605230072919285,,1.6756918913187429,0.04174000502891627,0.9039476992708071,0.03459972862957938,0.046635576282478344,high_mutual_information,0.10845067756691362
days_since_first_seen_so_far,float64,6,0.0,,1.158491763804761,0.0007543374402816193,1.0,0.0,0.0,high_mutual_information,0.00653198985204402
observations_so_far,float64,6,0.0,,1.1056256221185747,0.0007543374402816193,1.0,0.0,0.0,high_mutual_information,0.004977159276989211
oem_number,object,45,0.0,1151.106340241079,0.9918838403588541,0.005657530802112145,1.0,0.017169923031379514,0.017878426698450536,,
year_mid,float64,18,0.0,,0.5951274743296966,0.002263012320844858,1.0,0.0,0.0,,0.2303611995104337
category,object,7,0.0,68.2879288343833,0.5721511613667642,0.0008800603469952225,1.0,0.0,0.0,,
year_start,int64,16,0.0,,0.5568710555466487,0.0020115665074176515,1.0,0.0,0.0,,0.2285141811924853
year_end,int64,15,0.0,,0.5377848834314838,0.0018858436007040482,1.0,0.0,0.0,,0.22955109456955716
year_span,int64,6,0.0,,0.296089164404596,0.0007543374402816193,1.0,0.0,0.0,,0.09927867675690197
model_share_of_market,float64,3,0.0,,0.21927494488955057,0.00037716872014080966,1.0,0.0,0.0,,0.008704143106339704
model_firstreg_peak_count,float64,3,0.0,,0.21842215312699365,0.00037716872014080966,1.0,0.0,0.0,,0.0039588162787180005
model_firstreg_total_2014_2026,float64,3,0.0,,0.2182817233572094,0.00037716872014080966,1.0,0.0,0.0,,0.00356016404095588
brand_median_mileage,float64,3,0.0,,0.214794491380776,0.00037716872014080966,1.0,0.0,0.0,,6.8669628582744076e-06
brand_share_over_10y,float64,3,0.0,,0.21398431509086224,0.00037716872014080966,1.0,0.0,0.0,,0.001406802468458094
brand_median_power_kw,float64,3,0.0,,0.21331854634028158,0.00037716872014080966,1.0,0.0,0.0,,0.0023681249056187416
