feature_name,mean_abs_shap,mean_shap
subcategory,2.0263339251951986e+20,2.0067007522450706e+20
part_name,1.547864952366704e+20,1.5344611116104096e+20
oem_number,1.456809119202301e+19,1.4217228318273659e+19
quality_grade,2.912151213643834e+18,2.2073991554360602e+18
mileage_missing_flag,2.033534029824224e+18,1.7694201253741087e+18
category,1.6265682988033664e+18,6.411486760625734e+17
mileage,1.5849932865808392e+18,1.5489578679156874e+18
year_start,8.984996925188099e+17,8.333752736714908e+17
observations_so_far,4.799810612256055e+17,-4.799810612256055e+17
model_ev_share,4.500386254067081e+17,3.804110764676447e+17
year_end,3.785374321077941e+17,-2.81671536132814e+17
brand_median_vehicle_age,3.661699248526903e+17,-2.8875344036792774e+17
model_median_mass_kg,3.17553944663862e+17,3.1085117821867354e+17
days_since_first_seen_so_far,2.443642071651628e+17,2.431755507987672e+17
year_mid,1.996353662648332e+17,-2.707384531880955e+16
brand_median_power_kw,4374126274313053.5,-2629058307841078.0
year_span,544339459337676.9,544339459337676.9
model_median_vehicle_age,505246372407767.4,-504834890528033.2
brand_total_registered,166873831913600.16,-84386393194711.1
model_turbo_share,88600890732080.2,-87741593522189.1
brand_median_engine_cc,49563151243003.41,21198299708861.63
model_median_power_kw,34753886327155.562,-34753886327155.562
model_share_within_brand,28998343758403.03,1223827832513.5676
brand_diesel_share,22749870318937.316,16576324606239.203
brand_share_over_10y,20075562125657.53,14365219140150.7
brand_firstreg_old_share,19709122007109.13,6391479515191.012
brand_mean_mileage,12709535120746.02,-8921927706975.156
model_firstreg_total_2014_2026,12204851497290.246,-1461072674717.775
brand_firstreg_total_2014_2026,11829016418731.566,-11829016418731.566
model_share_of_market,10286743394622.254,-885600917688.3328
model_total_registered,9884694898737.035,6655106742927.166
brand_turbo_share,7642605437613.041,5562034836112.835
model_firstreg_peak_count,7151108023075.427,-3836930642054.7134
model_mean_vehicle_age,5629706442781.6,-5470520608724.679
model_automatic_share,3705727116460.5264,3648590363630.6436
model_share_over_200k_km,3307668187321.975,-859513982747.6589
model,2885986430132.7944,2510982631418.41
brand_mean_vehicle_age,1973776821949.3054,-450358895228.66504
model_hybrid_share,1623100140053.1143,1090390087025.8958
brand_hybrid_share,1473845508147.3574,63034886612.60486
model_petrol_share,1028125714183.2067,967721111635.2625
brand_share_of_market,704965039698.5889,594166876666.4381
model_firstreg_recent_share,549441735868.1279,125842956237.60104
brand_ev_share,514728305740.737,-50300470955.20738
model_firstreg_weighted_year,440576813484.28235,-220245804018.42902
brand,383970295589.1451,290894525660.92914
brand_median_mass_kg,333101666336.3945,-333101666336.3945
model_median_mileage,296039947643.3114,97338056457.51361
brand_firstreg_recent_share,205101480554.79663,17411312384.894352
model_share_over_10y,179130349731.89362,-177683499629.47726
model_firstreg_old_share,136689189130.31624,-112686964624.75652
brand_automatic_share,111586234598.32613,-66144483085.822556
model_diesel_share,86991066435.9821,63784595275.68359
brand_firstreg_peak_count,86922699055.60178,82313869683.86664
model_mean_mileage,27370188461.6172,-4714519450.225218
brand_share_over_200k_km,24585123533.355003,-15044837803.106365
brand_median_mileage,22283587398.502598,-21953940467.706833
brand_firstreg_peak_year,22264130682.001728,-11749852071.452183
model_median_engine_cc,16274748467.14361,-12393488655.23067
brand_firstreg_weighted_year,12853399500.948788,1742450600.3999314
brand_is_known_model_family,3296390137.50883,-2240966463.9807434
brand_petrol_share,3030074410.8806887,-537597572.5082302
model_firstreg_peak_year,65761152.5232207,-11262321.494405756
model_firstreg_year_span,0.0,0.0
brand_firstreg_year_span,0.0,0.0
repair_status,0.0,0.0
