model_type,feature_variant,config_name,target_mode,feature_count,screen_validation_MAE,screen_validation_RMSE,cv_mean_MAE,cv_std_MAE,cv_mean_RMSE,cv_mean_R2
random_forest,trusted_recommended_features_without_listing_dates,raw_half_features_leaf_1,raw,66,18.129919024589036,48.548037058725555,30.183346131645912,4.173919850849785,86.05701272086122,0.9781693391022575
random_forest,trusted_recommended_features_without_listing_dates,refinement_anchor,raw,66,18.129919024589036,48.54803705872555,30.183346131645912,4.173919850849785,86.05701272086122,0.9781693391022575
random_forest,trusted_recommended_features,raw_half_features_leaf_1,raw,67,18.474155336761353,49.90885036683525,30.50012274249155,3.7865340995116097,86.35358674286573,0.9781607019138203
random_forest,trusted_extended_traficom_stack,raw_half_features_leaf_1,raw,62,18.869938185159622,50.90606242949017,30.601270147233205,4.1615337070780365,85.2397365104885,0.9787986739377972
random_forest,trusted_manual_all_features_set,raw_half_features_leaf_1,raw,63,19.18600353251384,51.981741933493446,31.019004563566156,4.200668710061691,87.45853982377962,0.9773840889201882
random_forest,trusted_recommended_features_without_listing_dates,raw_half_features_leaf_2,raw,66,18.430656999571944,50.231067956275226,33.24961433615219,6.733523252573835,109.79556327825487,0.958442718826791
random_forest,trusted_recommended_features_without_listing_dates,refinement_search_002,raw,66,18.449497508325734,50.149441501048685,33.31583358649252,6.7680740805758495,110.2560706863611,0.9580915297933607
random_forest,trusted_recommended_features,raw_half_features_leaf_2,raw,67,18.710463851668386,51.21585176212276,33.46472992244785,6.300962109923474,109.83730236446418,0.9593321726627282
random_forest,trusted_extended_traficom_stack,raw_half_features_leaf_2,raw,62,19.390104825513216,53.277349953540444,33.604135220915744,6.323554444420662,107.16889949123171,0.9616570441600346
random_forest,trusted_manual_all_features_set,raw_half_features_leaf_2,raw,63,19.55954261459033,53.676507202717616,33.7425414741868,6.338896681446705,108.84883271954034,0.9601211314040552
random_forest,trusted_recommended_features_without_listing_dates,refinement_search_012,raw,66,19.475948476312443,51.233570807026695,34.16014521367246,7.244400077791974,125.18690550479877,0.9509522977826768
random_forest,trusted_recommended_features_without_listing_dates,log_half_features_leaf_1,log,66,22.21482815528295,66.12959446090412,39.339654890813755,5.098926276305459,123.69354024260606,0.9521966000633397
random_forest,trusted_recommended_features,log_half_features_leaf_1,log,67,22.458626639800435,68.7190933737915,39.510146516145525,5.866688347390487,123.90608375550454,0.951072890938391
random_forest,trusted_recommended_features_without_listing_dates,refinement_search_010,raw,66,35.789638209159754,61.46072839297537,46.82451349452124,7.110261477397591,118.76930854865613,0.957146229166211
random_forest,trusted_recommended_features_without_listing_dates,refinement_search_004,raw,66,49.89343496601133,73.44212041848675,60.70239000368614,7.783187563255903,129.213035389518,0.9469206747819184
random_forest,trusted_recommended_features_without_listing_dates,refinement_search_005,raw,66,60.289250433584066,83.33342472154995,66.80187149651559,5.8218676607068,114.82125720727194,0.9614752839818395
random_forest,trusted_recommended_features_without_listing_dates,refinement_search_015,raw,66,62.05255123257507,88.40525521995264,68.68249132409508,7.494461081238535,132.00055946875406,0.9482886359306146
random_forest,trusted_recommended_features_without_listing_dates,refinement_search_006,raw,66,78.92981820672763,108.53890541362428,87.47469381771619,2.856347656542513,131.91787870730352,0.9513981117938577
random_forest,trusted_recommended_features_without_listing_dates,refinement_search_016,raw,66,80.59932963713698,111.56371797594878,91.58989093988113,5.046661479488541,155.42452018391083,0.9310806078608069
random_forest,trusted_recommended_features_without_listing_dates,refinement_search_007,raw,66,77.60645969527486,133.52241513104752,98.74681534034644,3.6810351953870564,230.0982692676254,0.8455349734028221
