model_type,feature_variant,config_name,target_mode,feature_count,validation_MAE,validation_RMSE,validation_R2
random_forest,trusted_recommended_features_without_listing_dates,raw_half_features_leaf_1,raw,66,18.129919024589036,48.548037058725555,0.9926683840219765
random_forest,trusted_recommended_features_without_listing_dates,raw_half_features_leaf_2,raw,66,18.430656999571944,50.231067956275226,0.9921512375867947
random_forest,trusted_recommended_features,raw_half_features_leaf_1,raw,67,18.474155336761353,49.90885036683525,0.992251609646575
random_forest,trusted_recommended_features,raw_half_features_leaf_2,raw,67,18.710463851668386,51.21585176212276,0.9918404697085932
random_forest,trusted_extended_traficom_stack,raw_half_features_leaf_1,raw,62,18.869938185159622,50.90606242949017,0.9919388802826606
random_forest,trusted_manual_all_features_set,raw_half_features_leaf_1,raw,63,19.18600353251384,51.981741933493446,0.9915946071332058
random_forest,trusted_extended_traficom_stack,raw_half_features_leaf_2,raw,62,19.390104825513216,53.277349953540444,0.9911703886312343
random_forest,trusted_manual_all_features_set,raw_half_features_leaf_2,raw,63,19.55954261459033,53.676507202717616,0.991037589011358
random_forest,trusted_recommended_features_without_listing_dates,log_half_features_leaf_1,log,66,22.21482815528295,66.12959446090412,0.9863965808979418
random_forest,trusted_recommended_features,log_half_features_leaf_1,log,67,22.458626639800435,68.7190933737915,0.985310358340908
random_forest,trusted_recommended_features,log_reference,log,67,22.46979565135196,65.5609681213915,0.9866295176337598
random_forest,trusted_recommended_features_without_listing_dates,log_reference,log,66,22.760636590773135,68.30129114356082,0.9854884371715941
random_forest,trusted_manual_all_features_set,log_half_features_leaf_1,log,63,22.762652940030872,67.3551916473383,0.9858876768742504
random_forest,trusted_recommended_features_without_listing_dates,log_half_features_leaf_2,log,66,23.018005960747725,69.09868522407021,0.9851476242715436
random_forest,trusted_recommended_features,log_half_features_leaf_2,log,67,23.043894400083566,68.2953386365716,0.9854909664477957
random_forest,trusted_extended_traficom_stack,log_half_features_leaf_1,log,62,23.066833644758766,69.0780489722572,0.9851564942405451
random_forest,trusted_recommended_features,random_search_008,log,67,23.191384174110702,73.63968310252162,0.9831313556733092
random_forest,trusted_recommended_features_without_listing_dates,random_search_008,log,66,23.368813970539343,71.18315215965967,0.9842380193204298
random_forest,trusted_recommended_features,random_search_002,raw,67,23.627020711083876,57.896028441922944,0.9895731312843232
random_forest,trusted_manual_all_features_set,random_search_002,raw,63,23.846783847285014,58.73287609989928,0.9892695262554028
random_forest,trusted_manual_all_features_set,log_reference,log,63,23.931019082670776,70.23104497289776,0.9846568468450139
random_forest,trusted_manual_all_features_set,log_half_features_leaf_2,log,63,23.94872687390848,71.72464852356413,0.983997301723196
random_forest,trusted_extended_traficom_stack,log_reference,log,62,23.960085796127885,70.85751329634442,0.9843819009301087
random_forest,trusted_extended_traficom_stack,random_search_008,log,62,24.05281267840467,72.70925447933207,0.9835549293822691
random_forest,trusted_recommended_features_without_listing_dates,random_search_002,raw,66,24.288619783393198,58.60264462832195,0.989317059976374
random_forest,trusted_extended_traficom_stack,log_half_features_leaf_2,log,62,24.34172133828293,73.51998631256288,0.9831861489997301
random_forest,trusted_manual_all_features_set,random_search_008,log,63,24.451926382629768,74.26830916924482,0.9828421276383472
random_forest,trusted_extended_traficom_stack,random_search_002,raw,62,24.64920216614865,59.312106808593775,0.9890568321414099
random_forest,trusted_recommended_features,random_search_010,log,67,27.115698083414472,73.70120673394507,0.9831031574588286
random_forest,trusted_recommended_features_without_listing_dates,random_search_010,log,66,27.419814966416187,73.79722703082606,0.9830591012813944
random_forest,trusted_manual_all_features_set,random_search_010,log,63,27.87993042105662,75.25488234829791,0.9823832528234253
random_forest,trusted_extended_traficom_stack,random_search_010,log,62,28.750782434425762,76.9290014321494,0.9815907307450661
random_forest,trusted_recommended_features,random_search_023,log,67,29.866520481273746,72.25088412894422,0.9837616203376308
random_forest,trusted_extended_traficom_stack,random_search_023,log,62,31.132848281034985,76.5229309107351,0.981784564846022
random_forest,trusted_recommended_features_without_listing_dates,random_search_023,log,66,31.143758325167234,78.13570054732355,0.9810086700111813
random_forest,trusted_manual_all_features_set,random_search_023,log,63,31.67880485061749,77.97996713078378,0.9810842983674963
