feature,feature_group,mean_abs_shap,mean_shap,median_abs_shap,importance_share
subcategory,part_taxonomy,2840.133658711005,2840.133658711005,3480.83903735434,0.8743073411601212
part_name,part_taxonomy,128.098717204058,123.17544433594944,165.27503922454022,0.039433935970299504
year_end,vehicle_age_usage,37.964815117055345,24.588018941467276,35.89306793575385,0.011687096648012279
brand,vehicle_identity,37.42516559521575,-20.698864351519116,45.675296164293584,0.011520970826028239
year_mid,vehicle_age_usage,34.73403537380434,29.0537757961966,40.71523329952483,0.010692532734256983
year_start,vehicle_age_usage,34.08881208627682,24.388369231152925,36.439880056091205,0.010493907062101536
model,vehicle_identity,32.60445650118605,-17.337171423297214,39.22898905527832,0.010036962727472622
category,part_taxonomy,29.532939118251857,24.730562551440123,38.38560168485079,0.00909142617211942
mileage,vehicle_age_usage,15.252619868770667,-4.580068125609259,13.17811220034394,0.004695369699341273
quality_grade,part_condition,5.24759241525124,-1.7403764747786405,5.1522079915071135,0.0016154199496908883
model_diesel_share,traficom_model_context,3.6528617188993597,1.2947396579493722,2.4463437502980265,0.0011244977176623305
model_median_mass_kg,traficom_model_context,2.9690829045709295,1.8919634724870893,1.0837448290827185,0.0009140031040502244
brand_diesel_share,traficom_brand_context,2.500135629802507,1.9188655889564776,0.5552272621295894,0.0007696422766329877
brand_median_power_kw,traficom_brand_context,2.4616133213275786,1.3611047803872989,1.1039830814591998,0.0007577835611127646
brand_turbo_share,traficom_brand_context,2.421604855613593,1.7488708429745639,0.6619201046357192,0.0007454673466363776
brand_automatic_share,traficom_brand_context,2.229348568835624,2.059626270876667,0.16315622302500554,0.0006862831309926489
model_automatic_share,traficom_model_context,2.071438401641622,1.4686341771380182,0.590007637396538,0.000637672032005076
model_turbo_share,traficom_model_context,1.8704861807385968,0.8575439079871311,1.0337833371388145,0.000575810858176488
model_share_within_brand,traficom_model_context,1.6993593473290234,1.150812575970745,0.5558617073543929,0.0005231311378891762
brand_mean_mileage,traficom_brand_context,1.5399222052707546,-0.2274340987152029,1.4524007836962016,0.0004740499746391344
