model_type,feature_variant,config_name,target_mode,feature_count,validation_MAE,validation_RMSE,validation_R2,validation_median_AE
catboost,trusted_registry_lifecycle_stack,raw_rmse_depth8,raw,40,168.8210334548999,527.9748844048955,0.3059833313838817,33.146034315778806
catboost,trusted_extended_traficom_stack,raw_rmse_depth8,raw,62,169.06674385125464,522.7840478535546,0.31956283260038887,32.050732857828564
catboost,trusted_recommended_features,raw_rmse_depth7,raw,67,172.17229633355578,504.5132016316212,0.36629308873036437,35.81256026896091
catboost,trusted_recommended_features,log_rmse_depth7,log,67,176.31747110923126,594.0807827086853,0.12131263433291106,23.72088363757301
catboost,trusted_registry_lifecycle_stack,log_rmse_depth7,log,40,176.968245260005,599.0548382533714,0.10653707888069874,27.116252829664262
catboost,trusted_recommended_features_without_date_offsets,raw_rmse_depth8,raw,66,177.01134998443715,544.438267673579,0.2620266806571664,34.068285507426395
catboost,trusted_recommended_features,raw_rmse_depth8,raw,67,177.0228238233247,540.2713577469968,0.2732797496207239,38.99231010809784
catboost,trusted_recommended_features_without_date_offsets,log_rmse_depth7,log,66,177.77142114634685,598.8405185174621,0.10717626071056163,25.01227396274634
catboost,trusted_manual_all_features_usable_by_xgboost,log_rmse_depth7,log,63,177.85175818702314,599.017555420595,0.10664828670337212,26.735572824767743
catboost,trusted_manual_all_features_usable_by_xgboost,raw_rmse_depth8,raw,63,178.47833627917063,538.9355512838309,0.2768688998037728,32.92890523289864
catboost,trusted_manual_all_features_usable_by_xgboost,raw_rmse_depth6,raw,63,178.66895726717428,502.1902431050605,0.37211527887141194,47.10130353622455
catboost,trusted_extended_traficom_stack,log_rmse_depth7,log,62,179.02536306836592,600.1106586124837,0.10338488784164834,25.89494189324148
catboost,trusted_registry_lifecycle_stack_without_oem_number,log_rmse_depth7,log,39,180.1210428917922,603.5000935479177,0.09322809174182622,23.70638774348263
catboost,trusted_recommended_features_without_date_offsets_without_oem_number,log_rmse_depth7,log,65,180.17334215924882,601.0456193582125,0.10058889363838142,25.9464426244254
catboost,trusted_registry_lifecycle_stack_without_oem_number,raw_rmse_depth8,raw,39,180.762653406986,537.6867736800509,0.28021617836666135,49.431777623566596
catboost,trusted_extended_traficom_stack,raw_rmse_depth7,raw,62,183.32548407709874,527.2049089195457,0.3080061024734366,37.51718237719376
catboost,trusted_manual_all_features_usable_by_xgboost,raw_mae_depth7,raw,63,183.57322816547665,615.2163277496896,0.057678543910800295,28.007950512460074
catboost,trusted_manual_all_features_usable_by_xgboost,raw_rmse_depth7,raw,63,183.78070917845378,534.6556050324315,0.2883087572889098,46.01553226231445
catboost,trusted_recommended_features_without_date_offsets,raw_mae_depth7,raw,66,184.01078453124404,611.9759964730146,0.06757877693268766,30.318017970679648
catboost,trusted_recommended_features_without_date_offsets_without_oem_number,raw_mae_depth7,raw,65,184.41501643232726,611.5618733553875,0.06884028567445089,27.728957221132447
catboost,trusted_extended_traficom_stack,raw_rmse_depth6,raw,62,184.83324252213507,515.7477705271837,0.33775590840060765,41.09076968175188
catboost,trusted_recommended_features_without_date_offsets,raw_rmse_depth7,raw,66,185.66927378586212,544.1559442490394,0.2627918477916079,39.81360551824372
catboost,trusted_extended_traficom_stack,raw_mae_depth7,raw,62,186.06575002018516,620.165893874112,0.04245513715471749,29.693565315774062
catboost,trusted_recommended_features,raw_rmse_depth6,raw,67,187.58578935733084,545.658589983973,0.2587147364447968,39.81415057473002
catboost,trusted_recommended_features,raw_mae_depth7,raw,67,188.24778872147328,620.2376911494117,0.04223341231499933,29.311136807740326
catboost,trusted_registry_lifecycle_stack,raw_mae_depth7,raw,40,188.2873409113909,607.6426154084384,0.08073691073299383,29.537497529700822
catboost,trusted_registry_lifecycle_stack_without_oem_number,raw_mae_depth7,raw,39,189.531538559066,626.4047542353325,0.023092454136454776,29.336182854925653
catboost,trusted_registry_lifecycle_stack,raw_rmse_depth6,raw,40,192.59613946063106,541.8324040136908,0.2690741487345627,53.23537093056751
catboost,trusted_recommended_features_without_date_offsets,raw_rmse_depth6,raw,66,193.86944027579614,538.3789282938866,0.2783618558108656,52.32264514041958
catboost,trusted_recommended_features_without_date_offsets_without_oem_number,raw_rmse_depth8,raw,65,196.6158120335838,545.0852957137095,0.26027157565889647,74.71629371852814
catboost,trusted_registry_lifecycle_stack_without_oem_number,raw_rmse_depth7,raw,39,199.535588080861,547.2924761309232,0.2542687730531915,74.6984507678069
catboost,trusted_registry_lifecycle_stack,raw_rmse_depth7,raw,40,206.23104902854598,577.04144882598,0.17099453612123028,67.52219128952248
catboost,trusted_registry_lifecycle_stack_without_oem_number,raw_rmse_depth6,raw,39,206.45122529982945,574.5103040074792,0.17825131397115557,64.57077398207383
catboost,trusted_recommended_features_without_date_offsets_without_oem_number,raw_rmse_depth7,raw,65,218.02876216428103,563.4997651544588,0.20944725223619776,91.72458770119675
catboost,trusted_recommended_features_without_date_offsets_without_oem_number,raw_rmse_depth6,raw,65,236.56157512141803,585.4941195922435,0.14652962871466102,95.1708666857927
