model_type,feature_variant,config_name,target_mode,feature_count,validation_MAE,validation_RMSE,validation_R2,validation_median_AE
ridge,trusted_recommended_features_without_listing_dates_without_oem_number,log_ridge_alpha_0_01,log,65,92.04696177715049,247.57381477473245,0.8474006123303333,15.889386402028038
ridge,trusted_recommended_features_without_oem_number,log_ridge_alpha_0_01,log,66,92.08907343426311,247.49794681074573,0.8474941248929191,16.04862575254559
ridge,trusted_extended_traficom_stack_without_oem_number,log_ridge_alpha_0_01,log,61,92.56054600854435,248.10837968018654,0.8467409113398494,15.79726980676287
ridge,trusted_manual_all_features_set_without_oem_number,log_ridge_alpha_0_01,log,62,92.57633168264876,248.00837575972383,0.8468644333340594,15.828905962885159
ridge,trusted_recommended_features_without_listing_dates,log_ridge_alpha_0_01,log,66,94.77313503526267,250.11443591002845,0.8442525692387204,15.650415465988075
ridge,trusted_recommended_features,log_ridge_alpha_0_01,log,67,94.90544856396943,250.12885278246318,0.8442346138132644,15.763469023552243
ridge,trusted_extended_traficom_stack,log_ridge_alpha_0_01,log,62,95.68234893091251,252.0421267300824,0.8418425534056958,14.747502679791339
ridge,trusted_manual_all_features_set,log_ridge_alpha_0_01,log,63,95.71394480422279,251.87029702444912,0.8420581275573343,14.811266793116552
ridge,trusted_recommended_features_without_oem_number,log_ridge_alpha_0_05,log,66,100.27341212269282,267.2792681075069,0.8221417886226925,15.983839048447933
ridge,trusted_recommended_features_without_listing_dates_without_oem_number,log_ridge_alpha_0_05,log,65,100.73629034089994,268.8550879971397,0.8200383802917719,15.682219430479805
ridge,trusted_extended_traficom_stack_without_oem_number,log_ridge_alpha_0_05,log,61,100.93448560073482,268.8569894086726,0.820035834814119,15.865663492040014
ridge,trusted_manual_all_features_set_without_oem_number,log_ridge_alpha_0_05,log,62,101.5612505513003,270.59067903473243,0.8177074002118762,15.807693878875781
ridge,trusted_recommended_features_without_listing_dates,log_ridge_alpha_0_05,log,66,102.47998421705738,272.1159679839559,0.815646482563197,15.864207954602605
ridge,trusted_recommended_features,log_ridge_alpha_0_05,log,67,102.64795170196078,272.39136720250644,0.8152731380166516,16.014323214151062
ridge,trusted_extended_traficom_stack,log_ridge_alpha_0_05,log,62,103.11186740033155,274.7202739407988,0.8121008586479396,14.889202889490718
ridge,trusted_manual_all_features_set,log_ridge_alpha_0_05,log,63,103.23245281424194,274.67145708112173,0.8121676307933748,14.944424261250617
ridge,trusted_recommended_features_without_oem_number,log_ridge_alpha_0_1,log,66,108.68909419554315,299.0250545938501,0.7773828951478107,16.027228981645465
ridge,trusted_recommended_features_without_listing_dates_without_oem_number,log_ridge_alpha_0_1,log,65,108.80280143217267,299.80237065453167,0.7762240038630018,16.188117079039984
ridge,trusted_extended_traficom_stack_without_oem_number,log_ridge_alpha_0_1,log,61,109.40197679754807,301.841347890247,0.7731698202851368,15.769735875486873
ridge,trusted_manual_all_features_set_without_oem_number,log_ridge_alpha_0_1,log,62,109.48939293894504,301.98610447830976,0.7729522024098388,15.84281027209483
ridge,trusted_recommended_features_without_listing_dates,log_ridge_alpha_0_1,log,66,109.51221694866106,301.3845726633217,0.7738558231203521,16.20985415427488
ridge,trusted_recommended_features,log_ridge_alpha_0_1,log,67,109.89577585478652,302.581593523619,0.7720558844689456,16.1532888332751
ridge,trusted_extended_traficom_stack,log_ridge_alpha_0_1,log,62,110.17028670673572,304.778707245526,0.7687335579584398,14.972236056107732
ridge,trusted_manual_all_features_set,log_ridge_alpha_0_1,log,63,110.48038554687416,305.65789133531797,0.767397381678708,15.084543336850942
ridge,trusted_recommended_features_without_listing_dates_without_oem_number,log_ridge_alpha_0_3,log,65,123.92238140037877,379.47707942331306,0.6414791043949013,16.219597246595043
ridge,trusted_recommended_features_without_oem_number,log_ridge_alpha_0_3,log,66,124.00349636929883,379.61157999117813,0.6412249134971836,16.28914361135878
