model_type,feature_variant,config_name,target_mode,feature_count,best_iteration,validation_MAE,validation_RMSE,validation_R2
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_019,raw,66,3278,18.475468483671342,42.402113602953925,0.9944071732031197
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_008,raw,66,3189,18.88423271111443,43.68920507212718,0.9940624860228263
xgboost,trusted_recommended_features_without_date_offsets,refinement_anchor,raw,66,2607,19.48548813814804,42.80331260150422,0.9943008364359337
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_005,raw,66,3114,19.606191138475868,45.892245878962754,0.9934485869272894
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_015,raw,66,2259,19.750129738554158,45.457455817532676,0.9935721370272848
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_014,raw,66,3186,19.788306524119765,45.39567236892773,0.9935895979982661
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_009,raw,66,3420,19.852208200638785,45.73302942614128,0.9934939664157582
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_007,raw,66,3158,20.38760405970156,44.84711701639586,0.9937435868665774
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_003,raw,66,2364,20.432849384892826,46.84842163132995,0.9931727424437674
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_016,raw,66,2149,20.769848340103938,47.155258428046075,0.9930830184378465
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_020,raw,66,2115,20.899150758498234,45.75300991677231,0.9934882802785634
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_018,raw,66,2882,21.457995607275592,47.598137705858505,0.9929524805730954
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_006,raw,66,3045,21.473014633693666,47.841173018610895,0.9928803277988392
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_011,raw,66,2955,22.513116278007512,48.61687962452437,0.9926475763788611
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_013,raw,66,2107,22.579072849958024,54.535084176142114,0.9907485813337631
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_004,raw,66,3057,22.6016159807457,53.703114205313035,0.9910287016225575
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_001,raw,66,2611,22.78276507398516,48.77977065061908,0.9925982251991011
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_012,raw,66,2395,22.841052222604795,53.32177474525387,0.9911556575237478
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_002,raw,66,3367,23.21438446496633,55.293512120564785,0.9904894701736846
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_010,raw,66,2481,24.635613710122254,56.49728740342439,0.9900708618657125
xgboost,trusted_recommended_features_without_date_offsets,refinement_search_017,raw,66,3023,25.058818779646682,58.39518063046672,0.9893925651814042
