model_type,feature_variant,config_name,target_mode,feature_count,best_iteration,validation_MAE,validation_RMSE,validation_R2
xgboost,trusted_recommended_features_without_date_offsets,random_search_011,raw,66,2607,19.48548813814804,42.80331260150422,0.9943008364359337
xgboost,trusted_recommended_features,random_search_011,raw,67,2603,20.130043168008648,44.1812019257399,0.9939280049011416
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_011,raw,65,2603,20.42232443231884,48.93165003386733,0.9925520615095093
xgboost,trusted_registry_lifecycle_stack,random_search_011,raw,40,2607,21.212794818957224,47.31393792165269,0.9930363882262567
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_011,raw,39,2607,21.4447963626516,51.342712180402714,0.9917999977306657
xgboost,trusted_extended_traficom_stack,random_search_011,raw,62,2603,21.511394067541815,46.28204635087601,0.9933368212301111
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_011,raw,63,2603,21.66207467458035,47.218924104721225,0.9930643281959759
xgboost,trusted_recommended_features_without_date_offsets,random_search_009,log,66,2915,21.710487404082137,73.55120109856674,0.9831718684699186
xgboost,trusted_recommended_features,random_search_009,log,67,2886,22.32160112172471,76.22022939423098,0.9819283892981163
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_023,raw,65,1866,22.574448036568768,52.22035145780325,0.9915172642107283
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_009,log,63,1935,22.581791040855194,74.46303912104796,0.9827520345175988
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_019,raw,65,1755,22.60885512248661,56.21546952519381,0.9901696711999158
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,raw_sqerror_reference,raw,65,1797,22.683111525287714,54.1255376136398,0.9908870118474227
xgboost,trusted_extended_traficom_stack,random_search_009,log,62,2426,22.691934652260812,74.83942097365346,0.9825772302630051
xgboost,trusted_registry_lifecycle_stack,random_search_009,log,40,2454,22.749959849904855,72.97113111486273,0.9834362557611181
xgboost,trusted_recommended_features,log_sqerror_balanced,log,67,1791,22.843027328669262,76.91758232152017,0.9815961955730578
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_009,log,65,2658,22.89803615969235,70.67359339773785,0.9844628733243429
xgboost,trusted_registry_lifecycle_stack_without_oem_number,raw_sqerror_reference,raw,39,1592,23.120248228787954,56.679087961925845,0.9900068578307997
xgboost,trusted_recommended_features_without_date_offsets,random_search_019,raw,66,1734,23.1829151702393,56.891060203607616,0.9899319720185933
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_003,raw,39,1408,23.205300978756007,66.93923482098836,0.9860614419941043
xgboost,trusted_recommended_features_without_date_offsets_without_oem_number,random_search_002,raw,65,1624,23.524488533792447,70.17994936827904,0.9846791641124049
xgboost,trusted_recommended_features_without_date_offsets,random_search_022,log,66,1212,23.54836298860194,91.32259820872788,0.9740574371494646
xgboost,trusted_registry_lifecycle_stack_without_oem_number,random_search_002,raw,39,1947,23.558405241619,73.47484831309704,0.9832067885742657
xgboost,trusted_manual_all_features_usable_by_xgboost,random_search_018,log,63,1940,23.562766284928326,93.01459476009198,0.9730872203217689
xgboost,trusted_recommended_features,random_search_004,log,67,1347,23.599079299110954,69.23395197005738,0.9850894176947534
xgboost,trusted_registry_lifecycle_stack,random_search_018,log,40,1612,23.63433149519141,93.73615186143944,0.9726680510757187
xgboost,trusted_registry_lifecycle_stack,random_search_020,raw,40,945,23.78756748603744,87.53866618767965,0.9761627468017857
xgboost,trusted_recommended_features,random_search_019,raw,67,1751,23.788009293027148,57.6660248972739,0.9896558123638686
xgboost,trusted_recommended_features_without_date_offsets,random_search_004,log,66,1345,23.795949571326457,69.81550983874877,0.9848378710041813
