product_id,part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory,scrape_date,scrape_timestamp
53484321,Contact roll Airbag -,177.6,A2,2013-2020,FI27837687A,,301000,Skoda,Octavia,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T13:13:31+02:00
57336303,Contact roll Airbag -,177.6,A2,2013-2020,FI27837687A,,32000,Skoda,Octavia,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T13:13:31+02:00
54668978,Contact roll Airbag -,177.6,A2,2020-2027,FI23857664A,,30000,Skoda,Octavia,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T13:13:31+02:00
53606519,Contact roll Airbag -,177.6,A1,2020-2027,FI02042722A,,11000,Skoda,Octavia,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T13:13:31+02:00
64799769,Contact roll Airbag -,177.6,A2,2013-2020,FI22893129A,,195000,Skoda,Octavia,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T13:13:31+02:00
53484565,Contact roll Airbag -,177.6,A2,2013-2020,GEARBOX,,59000,Skoda,Octavia,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T13:13:31+02:00
53468655,Contact roll Airbag -,177.6,A2,2013-2020,FI27837687A,,71000,Skoda,Octavia,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T13:13:31+02:00
65552518,Contact roll Airbag -(Interior front),177.6,A2,2020-2027,FI23403240A,,61000,Skoda,Octavia,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T13:13:31+02:00
65647900,Contact roll Airbag -,177.6,A2,2013-2020,FI05351686A,,316000,Skoda,Octavia,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T13:13:31+02:00
60721640,Contact roll Airbag -,177.6,A2,2020-2027,FI10331575A,,94000,Skoda,Octavia,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T13:13:31+02:00
65375018,Contact roll Airbag -(Interior front),177.6,A2,2020-2027,FI23403240A,,73000,Skoda,Octavia,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T13:13:31+02:00
