product_id,part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory,scrape_date,scrape_timestamp
63136980,"Contact roll Airbag - , e-",177.9,A2,2013-2020,FI02042722A,,224000,VW,"Golf,-e_Golf",Airbag,Contact roll Airbag,2026-02-15,2026-02-15T21:38:50+02:00
64390201,"Contact roll Airbag - , e-",177.9,A2,2013-2020,FI05351686A,,272000,VW,"Golf,-e_Golf",Airbag,Contact roll Airbag,2026-02-15,2026-02-15T21:38:50+02:00
58952159,"Contact roll Airbag - , e-",177.9,A2,2013-2020,FI27837687A,,134000,VW,"Golf,-e_Golf",Airbag,Contact roll Airbag,2026-02-15,2026-02-15T21:38:50+02:00
63225719,"Contact roll Airbag - , e-",177.9,A2,2013-2020,FI27837687A,,253000,VW,"Golf,-e_Golf",Airbag,Contact roll Airbag,2026-02-15,2026-02-15T21:38:50+02:00
63199756,"Contact roll Airbag - , e-",177.9,A2,2013-2020,FI27837687A,,134000,VW,"Golf,-e_Golf",Airbag,Contact roll Airbag,2026-02-15,2026-02-15T21:38:50+02:00
54655558,"Other airbags - , e-",23.7,A2,1992-1999,FI03986645A,,,VW,"Golf,-e_Golf",Airbag,Other airbags,2026-02-15,2026-02-15T21:38:50+02:00
54058388,"Other airbags - , e-",23.7,A2,2004-2009,FI10331575A,,84000.0,VW,"Golf,-e_Golf",Airbag,Other airbags,2026-02-15,2026-02-15T21:38:50+02:00
57846326,"Other airbags - , e-",17.8,A2,2004-2009,FI27837687A,,227000.0,VW,"Golf,-e_Golf",Airbag,Other airbags,2026-02-15,2026-02-15T21:38:50+02:00
53964588,"Other airbags - , e-",14.2,A2,2004-2009,FI06408963A,,105000.0,VW,"Golf,-e_Golf",Airbag,Other airbags,2026-02-15,2026-02-15T21:38:50+02:00
54440014,"Passenger airbag - , e-",474.5,A2,2013-2020,FI09515254A,,103000,VW,"Golf,-e_Golf",Airbag,Passenger airbag,2026-02-15,2026-02-15T21:38:50+02:00
