product_id,part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory,scrape_date,scrape_timestamp
63019913,Contact roll Airbag -,236.8,A2,2019-2027,FI09389104A,2ZRFXE,81000,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T10:05:14+02:00
63126049,Contact roll Airbag -,225.0,A2,2019-2027,FI24637030A,,53000,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T10:05:14+02:00
61076273,Contact roll Airbag -,213.1,A2,2019-2027,FI27837687A,2ZRFXE,50000,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T10:05:14+02:00
63099984,Contact roll Airbag -,225.0,A2,2008-2012,FI22893129A,1ZRFE,306000,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T10:05:14+02:00
65759035,Contact roll Airbag -,201.3,A2,2002-2007,FI06018105A,,292000,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T10:05:14+02:00
54282984,Contact roll Airbag -,183.5,A2,2013-2018,FI09389104A,1ZRFAE,92000,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T10:05:14+02:00
53928362,Contact roll Airbag -,177.6,A2,2019-2027,FI05351686A,2ZRFXE,21000,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T10:05:14+02:00
53856491,Contact roll Airbag -,177.6,A1,2019-2027,FI05028803A,2ZRFXE,2000,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T10:05:14+02:00
53856614,Contact roll Airbag -,177.6,A1,2019-2027,FI05028803A,M20AFXS,4000,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T10:05:14+02:00
58712351,Contact roll Airbag -,177.6,A2,2019-2027,FI05028803A,2ZRFXE,58000,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T10:05:14+02:00
53596126,Contact roll Airbag -,177.6,A1,2019-2027,FI02042722A,,20000,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T10:05:14+02:00
55149341,Contact roll Airbag -,177.6,A2,2008-2012,FI02042722A,1ZRFE,309000,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T10:05:14+02:00
64597414,Contact roll Airbag -,177.6,A2,2019-2027,FI27837687A,M20AFXS,64000,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T10:05:14+02:00
64976735,Contact roll Airbag -,177.6,A2,2013-2018,FI27837687A,1ZRFAE,275000,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T10:05:14+02:00
62133431,Contact roll Airbag -,177.6,A2,2019-2027,FI27837687A,2ZRFXE,83000,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-03,2026-02-03T10:05:14+02:00
65257588,Curtain airbags -(Left),236.8,A2,2019-2027,FI27837687A,2ZRFXE,80000.0,Toyota,Corolla,Airbag,Left,2026-02-03,2026-02-03T10:05:14+02:00
66455068,Curtain airbags -(Left),225.0,A2,2019-2027,FI07713839A,2ZRFXE,62000.0,Toyota,Corolla,Airbag,Left,2026-02-03,2026-02-03T10:05:14+02:00
65400008,Curtain airbags -(Left),236.8,A2,2019-2027,FI27837687A,2ZRFXE,148000.0,Toyota,Corolla,Airbag,Left,2026-02-03,2026-02-03T10:05:14+02:00
63350255,Curtain airbags -(Left),225.0,A2,2019-2027,FI27837687A,2ZRFXE,48000.0,Toyota,Corolla,Airbag,Left,2026-02-03,2026-02-03T10:05:14+02:00
63310187,Curtain airbags -(Left),225.0,A3,2019-2027,FI27837687A,M20AFXS,102000.0,Toyota,Corolla,Airbag,Left,2026-02-03,2026-02-03T10:05:14+02:00
61845319,Curtain airbags -(Left),177.6,A2,2008-2012,FI06018105A,,297000.0,Toyota,Corolla,Airbag,Left,2026-02-03,2026-02-03T10:05:14+02:00
53659100,Curtain airbags -(Left),127.9,A2,2002-2007,FI07265116A,1CDFTV,350000.0,Toyota,Corolla,Airbag,Left,2026-02-03,2026-02-03T10:05:14+02:00
53672406,Curtain airbags -(Left),127.9,A2,2002-2007,FI07265116A,1CD,120000.0,Toyota,Corolla,Airbag,Left,2026-02-03,2026-02-03T10:05:14+02:00
54470943,Curtain airbags -(Left),142.1,A2,2008-2012,FI06018105A,1ZRFAE,121000.0,Toyota,Corolla,Airbag,Left,2026-02-03,2026-02-03T10:05:14+02:00
54476116,Curtain airbags -(Left),142.1,A2,2008-2012,FI06018105A,1ZRFE,204000.0,Toyota,Corolla,Airbag,Left,2026-02-03,2026-02-03T10:05:14+02:00
