product_id,part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory
56939596,Moottori Bensiini,3090,A2,2019-2027,190000T580ALKUPER,2ZR,63000,Toyota,Corolla,Moottori,Moottori Bensiini
59140483,Moottori Bensiini,3100,A2,2019-2027,1900024320ALKUPER,M20AFXS,87000,Toyota,Corolla,Moottori,Moottori Bensiini
53848511,Moottori Bensiini,3000,A1,2019-2027,XM20A-E92CGALKUPER,M20AFXS,4000,Toyota,Corolla,Moottori,Moottori Bensiini
53605194,Moottori Bensiini,3000,B1,2019-2027,FI02042722O,,20000,Toyota,Corolla,Moottori,Moottori Bensiini
63352462,Moottori Bensiini,3100,A1,2019-2027,190000T840ALKUPER,2ZRFXE,51000,Toyota,Corolla,Moottori,Moottori Bensiini
62989746,Moottori Bensiini,3100,A1,2019-2027,190000T820ALKUPER,2ZRFXE,48000,Toyota,Corolla,Moottori,Moottori Bensiini
65433218,Moottori Bensiini,3100,A2,2019-2027,190000T840ALKUPER,2ZRFXE,103000,Toyota,Corolla,Moottori,Moottori Bensiini
63305356,Moottori Bensiini,3100,A2,2019-2027,1900024320ALKUPER,M20AFXS,102000,Toyota,Corolla,Moottori,Moottori Bensiini
66423845,Moottori Bensiini,3100,A2,2019-2027,1900024320ALKUPER,M20AFXS,64000,Toyota,Corolla,Moottori,Moottori Bensiini
63117883,Moottori Bensiini,3000,A2,2019-2027,190000T580ALKUPER,2ZRFXE,81000,Toyota,Corolla,Moottori,Moottori Bensiini
66412411,Moottori Bensiini,3100,A2,2019-2027,190000T820ALKUPER,2ZRFXE,66000,Toyota,Corolla,Moottori,Moottori Bensiini
65176844,Moottori Bensiini,3000,A2,2019-2027,190000T820ALKUPER,2ZRFXE,80000,Toyota,Corolla,Moottori,Moottori Bensiini
64538310,Moottori Bensiini,3000,A2,2019-2027,190000T820ALKUPER,2ZRFXE,89000,Toyota,Corolla,Moottori,Moottori Bensiini
59078050,Moottori Bensiini,2900,A2,2019-2027,190000T840ALKUPER,2ZRFXE,65000,Toyota,Corolla,Moottori,Moottori Bensiini
65107242,Moottori Bensiini,2900,A2,2019-2027,190000T840ALKUPER,2ZRFXE,115000,Toyota,Corolla,Moottori,Moottori Bensiini
64005293,Moottori Bensiini,2900,B2,2019-2027,1900024320ALKUPER,M20AFXS,60000,Toyota,Corolla,Moottori,Moottori Bensiini
63127407,Moottori Bensiini,2900,A1,2019-2027,190000T840ALKUPER,,53000,Toyota,Corolla,Moottori,Moottori Bensiini
58037219,Moottori Bensiini,2950,B2,2019-2027,FI05351686O,2ZRFXE,13000,Toyota,Corolla,Moottori,Moottori Bensiini
61788095,Moottori Bensiini,2900,A2,2019-2027,1900024320ALKUPER,M20AFXS,153000,Toyota,Corolla,Moottori,Moottori Bensiini
58967670,Moottori Bensiini,2850,A2,2019-2027,190000T820ALKUPER,2ZRFXE,119000,Toyota,Corolla,Moottori,Moottori Bensiini
64503487,Moottori Bensiini,2800,A2,2019-2027,190000T820ALKUPER,2ZRFXE,98000,Toyota,Corolla,Moottori,Moottori Bensiini
53895744,Moottori Bensiini,2850,B2,2019-2027,FI05351686O,M20AFXS,38000,Toyota,Corolla,Moottori,Moottori Bensiini
