product_id,part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory,scrape_date,scrape_timestamp
63136980,"Contact roll Airbag - , e-",178.5,A2,2013-2020,FI02042722A,,224000,VW,"Golf,-e_Golf",Airbag,Contact roll Airbag,2026-02-12,2026-02-12T22:36:05+02:00
64390201,"Contact roll Airbag - , e-",178.5,A2,2013-2020,FI05351686A,,272000,VW,"Golf,-e_Golf",Airbag,Contact roll Airbag,2026-02-12,2026-02-12T22:36:05+02:00
58952159,"Contact roll Airbag - , e-",178.5,A2,2013-2020,FI27837687A,,134000,VW,"Golf,-e_Golf",Airbag,Contact roll Airbag,2026-02-12,2026-02-12T22:36:05+02:00
63225719,"Contact roll Airbag - , e-",178.5,A2,2013-2020,FI27837687A,,253000,VW,"Golf,-e_Golf",Airbag,Contact roll Airbag,2026-02-12,2026-02-12T22:36:05+02:00
63199756,"Contact roll Airbag - , e-",178.5,A2,2013-2020,FI27837687A,,134000,VW,"Golf,-e_Golf",Airbag,Contact roll Airbag,2026-02-12,2026-02-12T22:36:05+02:00
54655558,"Other airbags - , e-",23.8,A2,1992-1999,FI03986645A,,,VW,"Golf,-e_Golf",Airbag,Other airbags,2026-02-12,2026-02-12T22:36:05+02:00
54058388,"Other airbags - , e-",23.8,A2,2004-2009,FI10331575A,,84000.0,VW,"Golf,-e_Golf",Airbag,Other airbags,2026-02-12,2026-02-12T22:36:05+02:00
57846326,"Other airbags - , e-",17.8,A2,2004-2009,FI27837687A,,227000.0,VW,"Golf,-e_Golf",Airbag,Other airbags,2026-02-12,2026-02-12T22:36:05+02:00
53964588,"Other airbags - , e-",14.3,A2,2004-2009,FI06408963A,,105000.0,VW,"Golf,-e_Golf",Airbag,Other airbags,2026-02-12,2026-02-12T22:36:05+02:00
54440014,"Passenger airbag - , e-",476.0,A2,2013-2020,FI09515254A,,103000,VW,"Golf,-e_Golf",Airbag,Passenger airbag,2026-02-12,2026-02-12T22:36:05+02:00
54061937,"Passenger airbag - , e-",476.0,A1,2013-2020,FI10331575A,,34000,VW,"Golf,-e_Golf",Airbag,Passenger airbag,2026-02-12,2026-02-12T22:36:05+02:00
66440187,"Passenger airbag - , e-(Interior front)",476.0,A2,2013-2020,FI23403240A,,124000,VW,"Golf,-e_Golf",Airbag,Passenger airbag,2026-02-12,2026-02-12T22:36:05+02:00
54218581,"Passenger airbag - , e-",428.4,A2,2013-2020,FI09389104A,,97000,VW,"Golf,-e_Golf",Airbag,Passenger airbag,2026-02-12,2026-02-12T22:36:05+02:00
53932799,"Passenger airbag - , e-",416.5,A2,2004-2009,FI05351686A,,146000,VW,"Golf,-e_Golf",Airbag,Passenger airbag,2026-02-12,2026-02-12T22:36:05+02:00
63199755,"Steering wheel airbag - , e-",535.5,A2,2013-2020,FI27837687A,,134000,VW,"Golf,-e_Golf",Airbag,Steering wheel airbag,2026-02-12,2026-02-12T22:36:05+02:00
63372062,"Steering wheel airbag - , e-",535.5,A2,2013-2020,FI27837687A,,113000,VW,"Golf,-e_Golf",Airbag,Steering wheel airbag,2026-02-12,2026-02-12T22:36:05+02:00
62754570,"Steering wheel airbag - , e-",535.5,A2,2013-2020,FI09389104A,,280000,VW,"Golf,-e_Golf",Airbag,Steering wheel airbag,2026-02-12,2026-02-12T22:36:05+02:00
65138597,"Steering wheel airbag - , e-",535.5,A2,2020-2027,FI27837687A,,67000,VW,"Golf,-e_Golf",Airbag,Steering wheel airbag,2026-02-12,2026-02-12T22:36:05+02:00
64675808,"Steering wheel airbag - , e-",535.5,A2,2020-2027,FI27837687A,,74000,VW,"Golf,-e_Golf",Airbag,Steering wheel airbag,2026-02-12,2026-02-12T22:36:05+02:00
60981201,"Curtain airbags - , e-(Left)",142.8,A2,2013-2020,FI27837687A,,144000,VW,"Golf,-e_Golf",Airbag,Left,2026-02-12,2026-02-12T22:36:05+02:00
61914684,"Curtain airbags - , e-(Left)",142.8,A2,2013-2020,FI27837687A,,258000,VW,"Golf,-e_Golf",Airbag,Left,2026-02-12,2026-02-12T22:36:05+02:00
56438889,"Curtain airbags - , e-(Left)",142.8,A2,2013-2020,FI27837687A,,114000,VW,"Golf,-e_Golf",Airbag,Left,2026-02-12,2026-02-12T22:36:05+02:00
64661502,"Curtain airbags - , e-(Left)",142.8,A2,2013-2020,FI27837687A,,281000,VW,"Golf,-e_Golf",Airbag,Left,2026-02-12,2026-02-12T22:36:05+02:00
58952161,"Curtain airbags - , e-(Left)",142.8,A2,2013-2020,FI27837687A,,134000,VW,"Golf,-e_Golf",Airbag,Left,2026-02-12,2026-02-12T22:36:05+02:00
54265596,"Curtain airbags - , e-(Right)",148.8,A2,2013-2020,FI09389104A,,140000,VW,"Golf,-e_Golf",Airbag,Right,2026-02-12,2026-02-12T22:36:05+02:00
58355099,"Curtain airbags - , e-(Right)",148.8,A2,2013-2020,FI09389104A,,159000,VW,"Golf,-e_Golf",Airbag,Right,2026-02-12,2026-02-12T22:36:05+02:00
59552977,"Curtain airbags - , e-(Right)",142.8,A2,2013-2020,FI05028803A,,105000,VW,"Golf,-e_Golf",Airbag,Right,2026-02-12,2026-02-12T22:36:05+02:00
60985824,"Curtain airbags - , e-(Right)",142.8,A2,2013-2020,FI27837687A,,144000,VW,"Golf,-e_Golf",Airbag,Right,2026-02-12,2026-02-12T22:36:05+02:00
61914682,"Curtain airbags - , e-(Right)",142.8,A2,2013-2020,FI27837687A,,258000,VW,"Golf,-e_Golf",Airbag,Right,2026-02-12,2026-02-12T22:36:05+02:00
63707445,"Curtain airbags - , e-(Right)",178.5,A2,2004-2009,FI26167503A,,320000,VW,"Golf,-e_Golf",Airbag,All,2026-02-12,2026-02-12T22:36:05+02:00
53491409,"Curtain airbags - , e-(Left)",154.7,A2,2013-2020,FI27837687A,,149000,VW,"Golf,-e_Golf",Airbag,All,2026-02-12,2026-02-12T22:36:05+02:00
53386727,"Curtain airbags - , e-(Right)",154.7,A2,2013-2020,FI27837687A,,118000,VW,"Golf,-e_Golf",Airbag,All,2026-02-12,2026-02-12T22:36:05+02:00
54217190,"Curtain airbags - , e-(Left)",148.8,A2,2013-2020,FI09389104A,,244000,VW,"Golf,-e_Golf",Airbag,All,2026-02-12,2026-02-12T22:36:05+02:00
54222111,"Curtain airbags - , e-(Right)",148.8,A1,2013-2020,FI09389104A,,11000,VW,"Golf,-e_Golf",Airbag,All,2026-02-12,2026-02-12T22:36:05+02:00
56108623,"Seat assembled - , e-",83.3,A2,2004-2009,FI09515254A,,125000,VW,"Golf,-e_Golf",Airbag,Seat assembled,2026-02-12,2026-02-12T22:36:05+02:00
56350334,"Seat assembled - , e-(Left front)",83.3,A2,2004-2009,FI09515254A,,125000,VW,"Golf,-e_Golf",Airbag,Seat assembled,2026-02-12,2026-02-12T22:36:05+02:00
56920584,"Seat assembled - , e-(Left front)",83.3,A2,2009-2013,FI09515254A,,120000,VW,"Golf,-e_Golf",Airbag,Seat assembled,2026-02-12,2026-02-12T22:36:05+02:00
56920585,"Seat assembled - , e-(Right front)",83.3,A2,2009-2013,FI09515254A,,120000,VW,"Golf,-e_Golf",Airbag,Seat assembled,2026-02-12,2026-02-12T22:36:05+02:00
53916640,"Seat assembled - , e-",83.3,A2,1998-2006,FI05351686A,,56000,VW,"Golf,-e_Golf",Airbag,Seat assembled,2026-02-12,2026-02-12T22:36:05+02:00
58796753,"Knee - , e-",220.1,A2,2013-2020,FI09389104A,,47000,VW,"Golf,-e_Golf",Airbag,Knee,2026-02-12,2026-02-12T22:36:05+02:00
56985881,"Knee - , e-",214.2,A1,2013-2020,FI10331575A,,51000,VW,"Golf,-e_Golf",Airbag,Knee,2026-02-12,2026-02-12T22:36:05+02:00
64306530,"Knee - , e-",202.3,A2,2013-2020,FI27837687A,,118000,VW,"Golf,-e_Golf",Airbag,Knee,2026-02-12,2026-02-12T22:36:05+02:00
60960501,"Knee - , e-",178.5,A2,2013-2020,FI27837687A,,157000,VW,"Golf,-e_Golf",Airbag,Knee,2026-02-12,2026-02-12T22:36:05+02:00
