product_id,part_name,price,quality_grade,oem_number,mileage,brand,model,category,subcategory,scrape_date,year_start,year_end,year_span,year_mid
63136980,"Contact roll Airbag - , e-",177.6,A2,FI02042722A,224000.0,VW,Golf,Airbag,Contact roll Airbag,2026-02-03,2013,2020,7,2016.5
64390201,"Contact roll Airbag - , e-",177.6,A2,FI05351686A,272000.0,VW,Golf,Airbag,Contact roll Airbag,2026-02-03,2013,2020,7,2016.5
58952159,"Contact roll Airbag - , e-",177.6,A2,FI27837687A,134000.0,VW,Golf,Airbag,Contact roll Airbag,2026-02-03,2013,2020,7,2016.5
63225719,"Contact roll Airbag - , e-",177.6,A2,FI27837687A,253000.0,VW,Golf,Airbag,Contact roll Airbag,2026-02-03,2013,2020,7,2016.5
64336640,"Contact roll Airbag - , e-",177.6,A2,FI09389104A,152000.0,VW,Golf,Airbag,Contact roll Airbag,2026-02-03,2013,2020,7,2016.5
54655558,"Other airbags - , e-",23.7,A2,FI03986645A,,VW,Golf,Airbag,Other airbags,2026-02-03,1992,1999,7,1995.5
54058388,"Other airbags - , e-",23.7,A2,FI10331575A,84000.0,VW,Golf,Airbag,Other airbags,2026-02-03,2004,2009,5,2006.5
57846326,"Other airbags - , e-",17.8,A2,FI27837687A,227000.0,VW,Golf,Airbag,Other airbags,2026-02-03,2004,2009,5,2006.5
53964588,"Other airbags - , e-",14.2,A2,FI06408963A,105000.0,VW,Golf,Airbag,Other airbags,2026-02-03,2004,2009,5,2006.5
54061937,"Passenger airbag - , e-",473.6,A1,FI10331575A,34000.0,VW,Golf,Airbag,Passenger airbag,2026-02-03,2013,2020,7,2016.5
66440187,"Passenger airbag - , e-(Interior front)",473.6,A2,FI23403240A,124000.0,VW,Golf,Airbag,Passenger airbag,2026-02-03,2013,2020,7,2016.5
54218581,"Passenger airbag - , e-",426.2,A2,FI09389104A,97000.0,VW,Golf,Airbag,Passenger airbag,2026-02-03,2013,2020,7,2016.5
53932799,"Passenger airbag - , e-",414.4,A2,FI05351686A,146000.0,VW,Golf,Airbag,Passenger airbag,2026-02-03,2004,2009,5,2006.5
60933072,"Passenger airbag - , e-",355.2,A2,FI27837687A,157000.0,VW,Golf,Airbag,Passenger airbag,2026-02-03,2013,2020,7,2016.5
63372062,"Steering wheel airbag - , e-",532.8,A2,FI27837687A,113000.0,VW,Golf,Airbag,Steering wheel airbag,2026-02-03,2013,2020,7,2016.5
62754570,"Steering wheel airbag - , e-",532.8,A2,FI09389104A,280000.0,VW,Golf,Airbag,Steering wheel airbag,2026-02-03,2013,2020,7,2016.5
65138597,"Steering wheel airbag - , e-",532.8,A2,FI27837687A,67000.0,VW,Golf,Airbag,Steering wheel airbag,2026-02-03,2020,2027,7,2023.5
64675808,"Steering wheel airbag - , e-",532.8,A2,FI27837687A,74000.0,VW,Golf,Airbag,Steering wheel airbag,2026-02-03,2020,2027,7,2023.5
54243551,"Steering wheel airbag - , e-",485.4,A2,FI09389104A,122000.0,VW,Golf,Airbag,Steering wheel airbag,2026-02-03,2013,2020,7,2016.5
60981201,"Curtain airbags - , e-(Left)",142.1,A2,FI27837687A,144000.0,VW,Golf,Airbag,Left,2026-02-03,2013,2020,7,2016.5
61914684,"Curtain airbags - , e-(Left)",142.1,A2,FI27837687A,258000.0,VW,Golf,Airbag,Left,2026-02-03,2013,2020,7,2016.5
56438889,"Curtain airbags - , e-(Left)",142.1,A2,FI27837687A,114000.0,VW,Golf,Airbag,Left,2026-02-03,2013,2020,7,2016.5
64661502,"Curtain airbags - , e-(Left)",142.1,A2,FI27837687A,281000.0,VW,Golf,Airbag,Left,2026-02-03,2013,2020,7,2016.5
58952161,"Curtain airbags - , e-(Left)",142.1,A2,FI27837687A,134000.0,VW,Golf,Airbag,Left,2026-02-03,2013,2020,7,2016.5
54265596,"Curtain airbags - , e-(Right)",148.0,A2,FI09389104A,140000.0,VW,Golf,Airbag,Right,2026-02-03,2013,2020,7,2016.5
58355099,"Curtain airbags - , e-(Right)",148.0,A2,FI09389104A,159000.0,VW,Golf,Airbag,Right,2026-02-03,2013,2020,7,2016.5
59552977,"Curtain airbags - , e-(Right)",142.1,A2,FI05028803A,105000.0,VW,Golf,Airbag,Right,2026-02-03,2013,2020,7,2016.5
60985824,"Curtain airbags - , e-(Right)",142.1,A2,FI27837687A,144000.0,VW,Golf,Airbag,Right,2026-02-03,2013,2020,7,2016.5
61914682,"Curtain airbags - , e-(Right)",142.1,A2,FI27837687A,258000.0,VW,Golf,Airbag,Right,2026-02-03,2013,2020,7,2016.5
