part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory
Moottorin kumityyny,15.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Moottorin kumityyny
Moottorin kumityyny,15.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Moottorin kumityyny
Moottorin kumityyny,20.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Moottorin kumityyny
Moottorin kumityyny,15.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Moottorin kumityyny
Moottorin kumityyny,15.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Moottorin kumityyny
Moottorin kumityyny,20.0,A2,2002-2007,,81kW,,Toyota,Corolla,Moottori,Moottorin kumityyny
Moottorin kumityyny,24.0,A2,2002-2007,,3ZZFE,,Toyota,Corolla,Moottori,Moottorin kumityyny
Moottorin kumityyny,24.0,A2,2002-2007,,3ZZFE,,Toyota,Corolla,Moottori,Moottorin kumityyny
Moottorin kumityyny,20.0,A2,2002-2007,,81kW,,Toyota,Corolla,Moottori,Moottorin kumityyny
Moottorin kumityyny,15.0,A2,2002-2007,,66kW,,Toyota,Corolla,Moottori,Moottorin kumityyny
Moottorin kumityyny,5.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Moottorin kumityyny
Moottori Diesel,700.0,A3,2008-2012,1900033260,1NDTV,,Toyota,Corolla,Moottori,Moottori Diesel
Moottori Diesel,800.0,A3,2002-2007,,,,Toyota,Corolla,Moottori,Moottori Diesel
Moottori Diesel,700.0,B3,2002-2007,,,,Toyota,Corolla,Moottori,Moottori Diesel
Moottori Diesel,790.0,A3,2002-2007,,1NDTV,,Toyota,Corolla,Moottori,Moottori Diesel
Moottori Diesel,800.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Moottori Diesel
Moottori Diesel,759.0,A2,2008-2012,1900033260,1NDTV,,Toyota,Corolla,Moottori,Moottori Diesel
Moottori Diesel,790.0,A3,2002-2007,,1NDFTV,,Toyota,Corolla,Moottori,Moottori Diesel
Moottori Diesel,780.0,A3,2002-2007,1900027200,1CDFTV,,Toyota,Corolla,Moottori,Moottori Diesel
Moottori Diesel,690.0,A2,2002-2007,,1NDTV,,Toyota,Corolla,Moottori,Moottori Diesel
Moottori Diesel,800.0,A3,2008-2012,,1NDTV,,Toyota,Corolla,Moottori,Moottori Diesel
Moottori Diesel,400.0,B3,2002-2007,,1CDFTV,,Toyota,Corolla,Moottori,Moottori Diesel
Moottori Diesel,360.0,A2,2002-2007,1NDE52,,,Toyota,Corolla,Moottori,Moottori Diesel
Moottori Diesel,680.0,A3,2002-2007,,1NDFTV,,Toyota,Corolla,Moottori,Moottori Diesel
Moottori Diesel,510.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Moottori Diesel
Moottori Diesel,342.0,A2,2002-2007,,1NDE52C,,Toyota,Corolla,Moottori,Moottori Diesel
Moottori Diesel,200.0,A2,2002-2007,,1NDTV,,Toyota,Corolla,Moottori,Moottori Diesel
Moottori Diesel,670.0,A3,2002-2007,1900027280,1CDFTV,,Toyota,Corolla,Moottori,Moottori Diesel
Moottori Diesel,441.0,B2,2002-2007,,1CDFTV,,Toyota,Corolla,Moottori,Moottori Diesel
Moottori Diesel,650.0,A3,2002-2007,1900027200,1CDFTV,,Toyota,Corolla,Moottori,Moottori Diesel
Käynnistinmoottori Diesel,60.0,A2,1988-1992,,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,50.0,A2,2002-2007,,1CDFTV,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,60.0,A2,2002-2007,2810033080,1NDTV,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,50.0,A2,2002-2007,,1NDTV,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel KE70,60.0,A2,1982-1987,,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,80.0,A2,2002-2007,281000G010,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,60.0,A2,2002-2007,2810033080,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,57.0,A2,2008-2012,2810033080281003308084,1NDTV,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,80.0,A2,1993-1997,,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,80.0,A2,1998-2001,,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,50.0,A2,2002-2007,2810033080,1NDTV,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,46.5,A3,2008-2012,2810033080,1NDTV,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,40.0,A3,2002-2007,,1NDTV,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,46.0,A2,1988-1992,028000837,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,40.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,40.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,50.0,A2,2002-2007,2810033080,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,50.0,A2,2002-2007,,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,50.0,A2,2008-2012,281000N030,1NDTV,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,50.0,A2,2008-2012,281000N030,1NDTV,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,34.2,A2,2002-2007,2810033080,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,38.0,A2,1988-1992,,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel AE82,25.0,A3,1983-1987,0280008371,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel AE82,30.0,A2,1983-1987,,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,34.2,A2,2002-2007,2810033040,,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Käynnistinmoottori Diesel,28.5,A2,2002-2007,,1NDE52C,,Toyota,Corolla,Moottori,Käynnistinmoottori Diesel
Virranjaoitin,71.0,A2,1988-1992,,,,Toyota,Corolla,Moottori,Virranjaoitin
Virranjaoitin,68.0,A2,1988-1992,029200113,,,Toyota,Corolla,Moottori,Virranjaoitin
