product_id,part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory,scrape_date
63019913,Contact roll Airbag to,238.4,,2019-2027,FI09389104A,2ZRFXE,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
63126049,Contact roll Airbag to,226.5,,2019-2027,FI24637030A,,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
61076273,Contact roll Airbag to,214.5,,2019-2027,FI27837687A,2ZRFXE,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
63099984,Contact roll Airbag to,226.5,,2008-2012,FI22893129A,1ZRFE,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
65759035,Contact roll Airbag to,202.6,,2002-2007,FI06018105A,,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
54282984,Contact roll Airbag to,184.7,,2013-2018,FI09389104A,1ZRFAE,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
53928362,Contact roll Airbag to,178.8,,2019-2027,FI05351686A,2ZRFXE,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
53856491,Contact roll Airbag to,178.8,,2019-2027,FI05028803A,2ZRFXE,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
53856614,Contact roll Airbag to,178.8,,2019-2027,FI05028803A,M20AFXS,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
58712351,Contact roll Airbag to,178.8,,2019-2027,FI05028803A,2ZRFXE,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
53596126,Contact roll Airbag to,178.8,,2019-2027,FI02042722A,,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
55149341,Contact roll Airbag to,178.8,,2008-2012,FI02042722A,1ZRFE,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
64597414,Contact roll Airbag to,178.8,,2019-2027,FI27837687A,M20AFXS,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
64976735,Contact roll Airbag to,178.8,,2013-2018,FI27837687A,1ZRFAE,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
62133431,Contact roll Airbag to,178.8,,2019-2027,FI27837687A,2ZRFXE,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
63350292,Contact roll Airbag to,178.8,,2019-2027,FI27837687A,2ZRFXE,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
54141979,Contact roll Airbag to,172.8,,2019-2027,FI06292622A,,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
61093935,Contact roll Airbag to,178.8,,2013-2018,FI09389104A,1ZRFAE,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
65680853,Contact roll Airbag to,178.8,,2019-2027,FI27837687A,2ZRFXE,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
64546444,Contact roll Airbag to,178.8,,2019-2027,FI27837687A,2ZRFXE,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
66210498,Contact roll Airbag to,178.8,,2019-2027,FI05028803A,2ZRFXE,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
66434306,Contact roll Airbag to,178.8,,2019-2027,FI27837687A,2ZRFXE,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
53429937,Contact roll Airbag to,131.1,,2008-2012,FI27837687A,1NDFTV,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
61901908,Contact roll Airbag to,131.1,,2008-2012,FI06018105A,,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
54471051,Contact roll Airbag to,119.2,,2008-2012,FI06018105A,1ZRFAE,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
66394996,Contact roll Airbag to,125.1,,2013-2018,FI09389104A,1ZRFAE,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
53421754,Contact roll Airbag to,119.2,,2008-2012,FI27837687A,,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01
