brand,brand_firstreg_total_2014_2026,brand_firstreg_year_span,brand_firstreg_peak_year,brand_firstreg_peak_count,brand_firstreg_recent_share,brand_firstreg_old_share,brand_firstreg_weighted_year
alfa romeo,625,9.0,2017.0,122,0.424,0.4608,2019.9248
alpine,4,4.0,2025.0,2,1.0,0.0,2023.25
audi,39273,9.0,2016.0,6077,0.3987217681358694,0.42250401038881674,2019.7671173579813
bentley,87,8.0,2020.0,19,0.6781609195402298,0.034482758620689655,2021.8850574712644
bmw,43938,9.0,2023.0,4974,0.4934680686421776,0.32366061268150575,2020.3277345350266
bmw i,289,6.0,2018.0,80,0.17993079584775087,0.5743944636678201,2018.5363321799307
byd,1390,2.0,2025.0,706,1.0,0.0,2024.415107913669
cadillac,7,8.0,2022.0,3,0.7142857142857143,0.14285714285714285,2021.2857142857142
chevrolet,7,6.0,2017.0,2,0.2857142857142857,0.5714285714285714,2019.4285714285713
chrysler,1,0.0,2019.0,1,0.0,0.0,2019.0
citroen,14776,9.0,2021.0,2078,0.4108689767190038,0.3170005414185165,2019.8783161884137
concorde,2,1.0,2019.0,1,0.0,0.0,2019.5
cupra,2259,5.0,2023.0,584,0.9915891987605135,0.0,2023.1128818061088
dacia,12108,9.0,2018.0,1937,0.36529567228278825,0.4236868186323092,2019.6347869177403
dangel,6,5.0,2019.0,2,0.6666666666666666,0.0,2021.0
dfsk,9,0.0,2025.0,9,1.0,0.0,2025.0
dodge,1,0.0,2017.0,1,0.0,1.0,2017.0
dongfeng,3,0.0,2025.0,3,1.0,0.0,2025.0
ds,535,9.0,2022.0,102,0.6373831775700934,0.16261682242990655,2020.83738317757
ferrari,98,9.0,2024.0,21,0.8367346938775511,0.10204081632653061,2022.295918367347
fiat,1806,9.0,2021.0,372,0.521594684385382,0.36323366555924697,2019.953488372093
fiat-capron,1,0.0,2021.0,1,1.0,0.0,2021.0
fiat-kabe,2,1.0,2018.0,1,0.0,0.5,2018.5
ford,56772,9.0,2016.0,9515,0.2844536038892412,0.46743112802085535,2019.190534066089
gac,26,0.0,2025.0,26,1.0,0.0,2025.0
honda,10036,9.0,2016.0,3739,0.10910721402949382,0.7327620565962535,2017.7980271024312
hyundai,30108,9.0,2019.0,4073,0.44303839511093396,0.3177892918825561,2020.2194765510828
isuzu,1,0.0,2024.0,1,1.0,0.0,2024.0
jac,10,2.0,2025.0,8,1.0,0.0,2024.7
jaguar,1252,9.0,2016.0,290,0.12779552715654952,0.6086261980830671,2018.214856230032
jeep,708,9.0,2021.0,129,0.6087570621468926,0.2980225988700565,2020.677966101695
kg mobility,58,1.0,2025.0,38,1.0,0.0,2024.655172413793
kia,66707,9.0,2021.0,8017,0.4853613563793905,0.3040910249299174,2020.3244337176009
knaus,1,0.0,2025.0,1,1.0,0.0,2025.0
lada,26,4.0,2017.0,13,0.0,0.8846153846153846,2017.576923076923
lamborghini,30,8.0,2025.0,18,0.8,0.06666666666666667,2023.2
land rover,3071,9.0,2023.0,480,0.5688700748941713,0.26212959947899706,2020.8029957668512
lexus,3310,9.0,2024.0,435,0.5374622356495469,0.2580060422960725,2020.909667673716
lotus,2,3.0,2018.0,1,0.5,0.5,2019.5
man,206,6.0,2025.0,54,0.9271844660194175,0.0,2023.116504854369
maserati,29,9.0,2017.0,8,0.5172413793103449,0.41379310344827586,2020.8620689655172
maxus,302,4.0,2022.0,129,1.0,0.0,2022.6026490066224
mazda,12727,9.0,2016.0,1966,0.3567219297556376,0.4305806552997564,2019.5856839789424
mclaren,18,8.0,2025.0,7,0.7777777777777778,0.2222222222222222,2022.7777777777778
mercedes-benz,53828,9.0,2017.0,6420,0.4364642936761537,0.3381511481013599,2020.07917812291
mg,640,1.0,2025.0,500,1.0,0.0,2024.78125
mini,2510,9.0,2021.0,343,0.4709163346613546,0.3107569721115538,2020.3756972111553
mitsubishi,10713,9.0,2019.0,1961,0.35974983664706434,0.3105572668720246,2019.8391673667506
muu,28,7.0,2024.0,13,0.8571428571428571,0.03571428571428571,2023.25
nissan,44697,9.0,2016.0,7298,0.31543504038302345,0.480345437053941,2019.3461082399267
opel,37788,9.0,2016.0,7046,0.23192547898803853,0.5313062347835291,2018.7736053773685
peugeot,22493,9.0,2018.0,3025,0.4215978304361357,0.34988663139643444,2019.8947228026498
poessl,3,2.0,2022.0,1,1.0,0.0,2023.0
polestar,4445,4.0,2025.0,1498,1.0,0.0,2023.5835770528683
polster,4,3.0,2021.0,2,0.5,0.25,2019.75
porsche,2904,9.0,2024.0,418,0.612603305785124,0.21074380165289255,2021.2558539944903
renault,24216,9.0,2017.0,4598,0.2668070697059795,0.49512718863561284,2019.0667740336967
rolls-royce,1,0.0,2025.0,1,1.0,0.0,2025.0
seat,14592,9.0,2018.0,2629,0.21806469298245615,0.4999314692982456,2018.7778234649122
seres,15,1.0,2025.0,12,1.0,0.0,2024.8
skoda,93798,9.0,2018.0,11697,0.41147998891234355,0.36255570481246935,2020.0090620269089
skywell,6,0.0,2025.0,6,1.0,0.0,2025.0
smart,711,9.0,2025.0,471,0.9113924050632911,0.07313642756680731,2024.040787623066
sprintcar,3,1.0,2020.0,2,0.3333333333333333,0.0,2020.3333333333333
ssangyong,306,8.0,2016.0,123,0.1895424836601307,0.5620915032679739,2018.4183006535948
subaru,5826,9.0,2018.0,1235,0.2861311362856162,0.5205973223480947,2019.2469962238242
suzuki,9758,9.0,2018.0,1381,0.4023365443738471,0.3641114982578397,2019.9213978274236
tesla motors,18136,9.0,2023.0,6139,0.864523599470666,0.02983017203352448,2022.68929201588
toyota,137879,9.0,2019.0,15184,0.4851717810544028,0.30848062431552303,2020.3792455703915
volkswagen,100381,9.0,2018.0,13274,0.3926440262599496,0.39068150347177255,2019.8421912513325
volvo,77741,9.0,2018.0,9201,0.4557569364942566,0.32738194774957874,2020.2554122020556
voyah,9,1.0,2025.0,8,1.0,0.0,2024.888888888889
xpeng,105,0.0,2025.0,105,1.0,0.0,2025.0
