brand,brand_total_registered,brand_median_vehicle_age,brand_mean_vehicle_age,brand_median_mileage,brand_mean_mileage,brand_median_engine_cc,brand_median_power_kw,brand_median_mass_kg,brand_share_of_market,brand_share_over_10y,brand_share_over_200k_km,brand_automatic_share,brand_petrol_share,brand_diesel_share,brand_ev_share,brand_hybrid_share,brand_turbo_share
toyota,377068,13.0,13.210931818785,179335.5,193594.4461608457,1598.0,81.0,1345.0,0.1470015149731273,0.5792615655531628,0.3815863451685107,0.0239028504142488,0.9251116509489004,0.06929519343991,0.0049487095165858,0.3234907231586875,0.0837594280076803
volkswagen,279311,11.0,12.154030166444237,177745.0,192564.36613703324,1498.0,85.0,1400.0,0.1088905453357462,0.5381098488781323,0.3866693399114249,0.4783556680546058,0.656791175428107,0.2464492984522628,0.0747267382953052,0.0730834088166953,0.6861312300625467
volvo,209869,14.0,14.073570303862777,250631.5,256514.21061160264,1984.0,120.0,1665.0,0.0818182952302907,0.6110335494999262,0.5849029632770919,0.4905107471803839,0.4905012174261087,0.4400554631698821,0.058126736202107,0.1227861189599226,0.7096903306348246
mercedes-benz,189399,11.0,12.570625390803016,203892.5,226866.9823804675,2000.0,125.0,1700.0,0.0738379813041556,0.5282498851630685,0.4708736582558514,0.7446713023828003,0.4038511290978305,0.532563529902481,0.0602854291733324,0.1434379273385815,0.806271416427753
skoda,170359,8.0,9.062447529867612,162500.0,179263.6627464764,1498.0,96.0,1375.0,0.0664151587758892,0.3725485592190609,0.3114246972569691,0.5915507839327537,0.6304568587512254,0.2690201280824612,0.0669409893225482,0.0820385186576582,0.8308571898167987
ford,161292,12.0,13.008527136614951,165631.5,178603.58365807752,1590.0,91.9,1345.0,0.0628803514301018,0.5804317635096595,0.3634650199637924,0.2609118865163802,0.7745703444684175,0.1958869627755871,0.0182712099794162,0.074944820573866,0.500037199613124
nissan,127077,13.0,13.444452314060642,163166.0,172143.62066570038,1490.0,85.0,1372.0,0.0495414925643122,0.6070020538728488,0.3333884180457518,0.1170786216231104,0.8829528553554145,0.0721924502467008,0.0446343555482109,0.0581851948031508,0.3844676849469219
bmw,121090,11.0,11.363743028299938,203903.0,211928.63932329084,1995.0,135.0,1715.0,0.0472074359216268,0.5102898670410438,0.4561400611115699,0.7745065653646048,0.4641258568007267,0.4605169708481295,0.0744735320835742,0.1860269221240399,0.7583780659013957
kia,116673,8.0,8.281573286021615,116933.0,134386.64047374282,1580.0,84.0,1350.0,0.0454854502542238,0.3353817935597782,0.1630882894928561,0.4235598638931029,0.8216553958499396,0.114370934149289,0.0635194089463714,0.1841557172610629,0.3856247803690656
audi,115782,12.0,12.206196608881172,207463.0,214487.2713311394,1968.0,120.0,1630.0,0.0451380902293979,0.5636454716622619,0.4743828919866646,0.5602943462714411,0.533493980065986,0.3696602235235183,0.0863087526558532,0.1138000725501373,0.8039591646369902
opel,97228,12.0,13.776383984802496,160739.0,172781.49732084514,1490.0,90.0,1350.0,0.037904736805582,0.5716563129962562,0.3461759986835068,0.2704159295676143,0.8774838523882009,0.099590652898342,0.0201999424034228,0.0244991154811371,0.5085572057432015
peugeot,68697,14.0,13.957492711370262,166499.5,175932.6920328005,1560.0,80.0,1344.0,0.0267818087827896,0.6467240199717601,0.3415287421575906,0.2968397455492962,0.8049550926532454,0.1510546312066029,0.0435972458768214,0.0371631948993405,0.38601394529601
