brand,model_family_clean,model_firstreg_total_2014_2026,model_firstreg_year_span,model_firstreg_peak_year,model_firstreg_peak_count,model_firstreg_recent_share,model_firstreg_old_share,model_firstreg_weighted_year
alfa romeo,4c,3,0.0,2014.0,3,0.0,1.0,2014.0
alfa romeo,giulia,248,9.0,2017.0,86,0.14516129032258066,0.6975806451612904,2018.100806451613
alfa romeo,giulietta,164,4.0,2016.0,52,0.0,1.0,2015.4329268292684
alfa romeo,junior,50,1.0,2025.0,45,1.0,0.0,2024.9
alfa romeo,mito,2,0.0,2014.0,2,0.0,1.0,2014.0
alfa romeo,stelvio,111,8.0,2021.0,26,0.36036036036036034,0.34234234234234234,2019.5585585585586
alfa romeo,tonale,139,3.0,2024.0,51,1.0,0.0,2023.611510791367
aston martin,db9,1,0.0,2015.0,1,0.0,1.0,2015.0
audi,a1,855,10.0,2019.0,143,0.20818713450292398,0.5076023391812865,2018.0093567251463
audi,a3,10838,11.0,2014.0,2140,0.1829673371470751,0.6995755674478686,2017.3555083963831
audi,a4,12272,11.0,2016.0,2279,0.17495110821382007,0.6716916558018253,2017.6280149934812
audi,a5,2066,11.0,2018.0,334,0.3005808325266215,0.5522749273959342,2018.769119070668
audi,a6,6823,11.0,2015.0,1010,0.23420782646929503,0.6102887292979627,2018.057599296497
audi,a7,333,11.0,2015.0,61,0.2732732732732733,0.5015015015015015,2018.4684684684685
audi,a8,131,11.0,2014.0,22,0.32061068702290074,0.5419847328244275,2018.5954198473282
audi,e-tron,808,5.0,2022.0,238,0.6584158415841584,0.0,2020.980198019802
audi,q2,1789,8.0,2017.0,601,0.12800447177193963,0.6321967579653438,2018.4315259921743
audi,q3,3158,11.0,2014.0,503,0.26662444585180495,0.5810639645345155,2017.9046865104497
audi,q4,3668,4.0,2023.0,1251,1.0,0.0,2023.4471101417666
audi,q5,4228,11.0,2014.0,498,0.30700094607379375,0.5340586565752129,2018.5962630085146
audi,q6,926,1.0,2025.0,599,1.0,0.0,2024.64686825054
