brand,model_family_clean,model_total_registered,model_median_vehicle_age,model_mean_vehicle_age,model_median_mileage,model_mean_mileage,model_median_engine_cc,model_median_power_kw,model_median_mass_kg,model_share_of_market,model_share_within_brand,model_share_over_10y,model_share_over_200k_km,model_automatic_share,model_petrol_share,model_diesel_share,model_ev_share,model_hybrid_share,model_turbo_share,model_firstreg_total_2014_2026,model_firstreg_year_span,model_firstreg_peak_year,model_firstreg_peak_count,model_firstreg_recent_share,model_firstreg_old_share,model_firstreg_weighted_year
toyota,corolla,98535,19.0,15.476170657679697,206621.0,206454.1888591323,1590.0,81.0,1270.0,0.03921778557521011,0.26389298052974103,0.6485918709088141,0.4438321408636525,0.00651545136246004,0.9692393565738062,0.030567818541634952,0.0,0.31939919825442736,0.036677322778708076,34912,11.0,2020.0,5395,0.5992495417048579,0.10288725939505042,2020.9815536205317
volkswagen,golf,86762,13.0,13.748634131722723,186801.0,195467.967874715,1395.0,81.0,1330.0,0.034532029350752315,0.3171647383524337,0.6519674511883082,0.43272400359604435,0.38338212581544917,0.7860699384523179,0.1704548074041631,0.012747516193725364,0.06818653327493603,0.7262626495470367,31752,11.0,2014.0,5265,0.16676114890400603,0.670981355505165,2017.575680272109
skoda,octavia,82555,10.0,10.601824260484047,190191.0,201919.8367526879,1590.0,103.0,1360.0,0.032857606821550416,0.48543489509831594,0.47577978317485314,0.4273756889346496,0.5537520440918176,0.6174792562534068,0.32018654230512994,0.0,0.1003936769426443,0.9126885106898431,48713,11.0,2014.0,5868,0.23174511937265208,0.5732966559234701,2018.1397368258986
toyota,avensis,67290,16.0,16.725219200475554,250111.5,254075.1938745168,1798.0,97.0,1460.0,0.02678200427620529,0.18021371756072738,0.8316094516272848,0.6705305394560857,0.013746470500817358,0.855699212364393,0.14388467825828505,0.0,0.0,0.1442264823896567,14130,6.0,2016.0,3132,0.0,0.997169143665959,2015.9722576079264
ford,focus,57065,14.0,13.41734863751862,181425.0,187421.03325877307,1590.0,88.0,1316.0,0.022712365492965594,0.36072568665254906,0.6401997721896083,0.41121528082011743,0.22449837904144396,0.8870410934898799,0.09930780688688338,0.0,0.04573731709454131,0.5149215806536406,23132,11.0,2019.0,3891,0.16353968528445442,0.5681739581532077,2018.0300449593637
toyota,yaris,56000,11.0,11.511142857142858,126091.0,140287.6874393949,1329.0,68.0,1120.0,0.022288486245615934,0.14997723559816814,0.5297857142857143,0.1987857142857143,0.013857142857142858,0.9744107142857142,0.025392857142857144,0.0,0.23342857142857143,0.025392857142857144,29224,11.0,2021.0,3703,0.4727963317820969,0.35258691486449495,2019.7540035587188
nissan,qashqai,52795,9.0,9.01068282981343,127878.0,143507.92403654804,1332.0,86.0,1409.0,0.02101286841673738,0.4175002965481792,0.3709631593900938,0.20354200208353063,0.13541055024150014,0.8898569940335259,0.11010512359124917,0.0,0.12415948479969693,0.719215834832844,39328,11.0,2018.0,5540,0.21394426362896665,0.600793327908869,2018.1945179007323
volkswagen,passat,50893,11.0,12.074060246408992,223236.0,233349.31770420502,1598.0,110.0,1557.0,0.020255855901752353,0.18604302608250625,0.5116617216513076,0.5582300119859313,0.6129723144636787,0.49552983710922915,0.4621264221012713,0.0,0.19430963000805612,0.890299255300336,18253,11.0,2015.0,3543,0.14200405412808853,0.7108968388758012,2017.3634471045855
volvo,v70,43967,18.0,18.097004571610526,344294.0,352236.4571155422,2400.0,125.0,1674.0,0.01749924776358921,0.21740871869931563,0.9419792116814883,0.9259899470057088,0.38512975640821523,0.4449018582118407,0.5258944208156117,0.0,0.0,0.7379625628312143,3057,5.0,2014.0,1531,0.0,0.9996728819103696,2014.6401701014065
toyota,auris,36657,11.0,11.523774449627629,146069.0,156764.03529411764,1598.0,73.0,1370.0,0.014589804291170416,0.09817349152360802,0.550426930736285,0.24560111302070545,0.020023460730556237,0.9365469078211528,0.06219821589328096,0.0,0.4261941784652317,0.1587145702048722,19269,5.0,2018.0,3926,0.0,0.9566142508692719,2016.1553791063366
kia,ceed,35509,10.0,9.569235968346053,149410.0,161731.8980755524,1580.0,88.3,1350.0,0.01413289032313529,0.3043932964725044,0.4667267453321693,0.2561040862879833,0.3370694753442789,0.8394209918612183,0.160212903770875,0.0,0.14463938719761188,0.5308513334647554,20369,11.0,2019.0,1984,0.3988904708134911,0.41921547449555696,2019.3569640139428
ford,fiesta,31895,11.0,11.83425830119462,109986.0,121144.51166322047,999.0,60.0,1108.0,0.012694486942927147,0.2016182559499352,0.5186079322777865,0.12531744787584262,0.16322307571719705,0.9820661545696817,0.01711867063803104,0.0,0.029314939645712496,0.3831948581282333,18191,10.0,2018.0,3040,0.10532680996096971,0.6754988730691001,2017.409873014128
toyota,rav4,31751,6.0,7.6739000346445785,125412.0,154269.28924921542,2487.0,130.0,1700.0,0.012637173692581277,0.08503441441923994,0.26528298321312715,0.21750496047368587,0.026676325155113225,0.885515416837265,0.11290982961166578,0.0,0.6318541148310289,0.112846839469623,19123,11.0,2021.0,2636,0.5187993515661768,0.28002928410814204,2020.2908539455107
volkswagen,polo,31582,12.0,13.09625736178836,123405.0,137570.24600462193,1197.0,59.0,1107.0,0.012569910225161473,0.11545027508179342,0.5727629662465962,0.2067000189981635,0.21661072762966246,0.9383509594072573,0.057596099043759105,0.0,0.0,0.4465201697169274,15333,10.0,2018.0,2586,0.1388508445835779,0.6189917172112437,2017.7607774082046
ford,mondeo,25839,15.0,15.202407213901466,250565.0,253104.9270344667,1990.0,107.0,1505.0,0.010284146358936966,0.1633363886342805,0.7479778629203917,0.691358024691358,0.29242617748364874,0.554781531793026,0.4171988080034057,0.0,0.00011610356437942645,0.5807887302140176,8496,8.0,2015.0,1995,0.046374764595103576,0.8568738229755178,2016.4229048964219
volvo,v60,23425,7.0,7.490373532550693,173360.0,183964.36809310468,1969.0,140.0,1739.0,0.009323353398277737,0.11583231140472329,0.3104802561366062,0.335752401280683,0.8805122732123799,0.44409818569903947,0.5385699039487727,0.0,0.34360725720384205,0.9903948772678762,17808,11.0,2019.0,2223,0.351358939802336,0.4143081761006289,2019.0986073674753
