brand,total_registered_vehicles,median_vehicle_age,median_engine_cc,median_power_kw,median_mileage,brand_share_of_market
toyota,377068,13.0,1598.0,81.0,179335.5,0.14700151497312736
volvo,209869,14.0,1984.0,120.0,250631.5,0.08181829523029073
mercedes-benz,189399,11.0,2000.0,125.0,203892.5,0.07383798130415561
skoda,170357,8.0,1498.0,96.0,162500.0,0.06641437906764047
ford,161292,12.0,1590.0,91.9,165631.5,0.06288035143010189
"volkswagen, vw",148231,7.0,1395.0,92.0,116327.5,0.057788466711525883
volkswagen,130627,18.0,1590.0,77.0,238064.0,0.05092547470587456
nissan,127077,13.0,1490.0,85.0,163166.0,0.049541492564312284
bmw,121090,11.0,1995.0,135.0,203903.0,0.04720743592162684
kia,116673,8.0,1580.0,84.0,116933.0,0.045485450254223875
audi,115782,12.0,1968.0,120.0,207463.0,0.045138090229397965
opel,97228,12.0,1490.0,90.0,160739.0,0.03790473680558209
peugeot,68697,14.0,1560.0,80.0,166499.5,0.026781808782789657
hyundai,58717,8.0,1396.0,77.2,117394.0,0.02289106462143995
honda,56642,16.0,1798.0,103.0,209431.0,0.022082117313343693
renault,48574,10.0,1332.0,74.0,135399.0,0.018936774237815694
citroen,47834,14.0,1560.0,81.0,166497.5,0.018648282185771727
mazda,41607,15.0,1990.0,89.0,183824.5,0.016220660553234192
mitsubishi,34095,10.0,1998.0,89.0,153802.5,0.01329207637086355
tesla,31374,3.0,,153.0,80884.5,0.012231283298415399
seat,28970,9.0,1395.0,85.0,143432.0,0.011294073983396893
fiat,22095,18.0,1242.0,51.0,150574.0,0.008613826878258693
suzuki,19354,9.0,1373.0,82.0,120742.5,0.007545236723322867
subaru,17730,12.0,1995.0,110.0,191696.0,0.006912113625323677
saab,15700,21.0,1990.0,110.0,273237.0,0.006120709752824688
dacia,13715,7.0,1332.0,80.0,113570.0,0.005346849315922968
polestar,9871,3.0,1969.0,167.5,52562.0,0.0038482500617918786
chevrolet,9534,15.0,1796.0,91.0,158259.5,0.003716869221874559
lexus,9413,10.0,2494.0,133.0,172697.5,0.003669696872824127
mini,7456,10.0,1590.0,92.0,118585.0,0.0029067523514051514
chrysler,5892,20.0,2776.0,128.0,226594.0,0.002297020500868985
porsche,4063,6.0,2981.0,243.0,86142.0,0.0015839773073711278
jaguar,3810,16.0,2960.0,152.0,163047.5,0.0014853442139020421
alfa romeo,3163,14.0,1956.0,125.0,165001.0,0.0012331085954257635
cupra,3131,2.0,1395.0,110.0,43520.5,0.001220633263445484
mg,2673,2.0,1498.0,75.0,348.0,0.0010420800744777318
dodge,2635,17.0,2360.0,115.0,181832.5,0.0010272656177511498
smart,1933,13.0,999.0,52.0,114786.0,0.0007535880224337657
byd,1762,1.0,1498.0,72.0,9938.0,0.0006869229671641465
tesla motors,1572,9.0,,193.0,189073.0,0.0006128506835312362
cadillac,1487,21.0,5981.0,209.0,73779.0,0.0005797130829586185
lada,1242,35.0,1390.0,59.0,55897.0,0.0004841988224846027
bmw i,1226,7.0,647.0,28.0,74818.0,0.0004779611564944629
ford-cng-technik,1191,6.0,1999.0,103.0,92407.5,0.00046431626214103207
capron,1018,4.0,2287.0,103.0,39250.0,0.00039687149862264537
adria,949,6.0,2287.0,109.0,66443.5,0.00036997156404016746
jeep,865,10.0,1998.0,115.0,136999.5,0.00033722381759193344
pontiac,655,30.0,5730.0,162.0,69776.0,0.00025535445147134843
ds,652,4.0,1598.0,147.0,64355.5,0.0002541848890981972
buick,614,22.0,5735.0,185.0,57204.0,0.0002393704323716152
datsun,560,47.0,1170.0,50.0,56610.0,0.00021831830965489334
hymer,492,5.0,2143.0,125.0,49486.5,0.00019180822919679914
fiat-dethleffs,490,21.0,2500.0,94.0,166127.0,0.00019102852094803166
gm daewoo,473,21.0,1590.0,80.0,165562.0,0.00018440100083350812
vw,453,10.0,1395.0,110.0,170713.0,0.00017660391834583335
plymouth,452,18.0,5210.0,169.0,45000.0,0.00017621406422144961
weinsberg,452,4.5,2287.0,103.0,53094.0,0.00017621406422144961
lada-vaz,420,23.0,1490.0,56.0,86599.5,0.00016373873224117
lincoln,408,19.0,6556.0,158.0,67769.0,0.00015906048274856515
dethleffs,394,7.0,2287.0,103.0,60359.0,0.0001536025250071928
rover,375,26.0,1990.0,100.0,145732.0,0.00014619529664390178
ssangyong,346,9.0,1597.0,109.6,125619.5,0.00013488952703677337
jaguar land rover limited,344,10.0,1999.0,120.0,163701.5,0.00013410981878800592
land rover,342,4.0,1498.0,147.0,93168.0,0.00013333011053923843
maxus,314,3.0,1996.0,108.5,51342.0,0.00012241419505649377
triumph,306,40.0,1488.0,66.0,41463.0,0.00011929536206142385
daewoo,291,22.0,1390.0,69.0,169720.0,0.00011344755019566778
man,273,2.0,1968.0,130.0,88208.5,0.0001064301759567605
hobby,259,5.0,2198.0,103.0,56741.0,0.00010097221821538816
quattro,258,18.0,1980.0,162.0,237955.0,0.00010058236409100442
iveco,253,7.0,2998.0,132.0,174965.0,9.863309346908573e-05
poessl,251,5.0,2287.0,103.0,60171.0,9.785338522031826e-05
morris,250,53.0,990.0,28.0,43183.0,9.746353109593452e-05
mercury,241,18.0,5750.0,157.0,57285.0,9.395484397648088e-05
fiat-burstner,233,18.0,2290.0,95.5,154308.0,9.083601098141098e-05
lancia,229,16.0,1990.0,120.0,168263.0,8.927659448387603e-05
oldsmobile,224,29.0,5734.0,176.0,52942.0,8.732732386195734e-05
austin,213,51.0,990.0,31.0,39405.0,8.303892849373622e-05
pössl,205,6.0,2287.0,103.0,68355.0,7.992009549866631e-05
fiat-hymer,204,23.0,2500.0,93.5,182619.0,7.953024137428257e-05
fiat-adria,198,18.0,2287.0,94.0,162669.5,7.719111662798014e-05
moskvitsh,194,46.5,1360.0,44.0,50314.0,7.563170013044519e-05
burstner,185,7.0,2287.0,103.0,67046.0,7.212301301099155e-05
challenger,177,2.0,2179.0,103.0,392.0,6.900418001592165e-05
knaus,173,2.0,2184.0,110.0,1074.0,6.744476351838669e-05
