part_name,price,quality_grade,year,oem_number,engine_code,mileage,brand,model,category,subcategory
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",515.0,A2,2013-2020,5Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",515.0,A1,2013-2020,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",465.0,A1,2013-2020,5Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",500.0,A1,2013-2020,5Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",465.0,A2,2013-2020,5Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",465.0,A2,2013-2020,5Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",465.0,A2,2013-2020,5Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",500.0,A2,2013-2020,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",465.0,A1,2013-2020,5Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",500.0,A2,2013-2020,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",410.0,A1,2013-2020,3Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",450.0,A2,2013-2020,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",465.0,A1,2013-2020,5Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",465.0,A1,2013-2020,5Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",465.0,A2,2013-2020,3Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",465.0,A1,2013-2020,5Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
ABS Hydraulikoneisto VW GOLF VI,450.0,A2,2009-2013,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
ABS Hydraulikoneisto VW GOLF VI,427.5,A2,2009-2013,1K0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",410.0,A2,2013-2020,5Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",410.0,A1,2013-2020,5Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
ABS Hydraulikoneisto VW GOLF VI,370.0,A2,2009-2013,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",400.0,A2,2013-2020,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",350.0,A2,2013-2020,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",350.0,A2,2013-2020,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
ABS Hydraulikoneisto VW GOLF V,357.0,A2,2004-2009,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E",357.0,A2,2013-2020,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",380.0,A2,2013-2020,5Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",400.0,A2,2013-2020,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",350.0,A2,2013-2020,5Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",350.0,A2,2013-2020,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",313.5,A2,2013-2020,5Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",320.0,A2,2013-2020,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",320.0,A2,2013-2020,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",320.0,A2,2013-2020,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",320.0,A2,2013-2020,5Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",313.5,A2,2013-2020,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",320.0,A2,2013-2020,5Q0614517,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",320.0,A2,2013-2020,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",350.0,A2,2013-2020,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
"ABS Hydraulikoneisto VW GOLF, E-GOLF VII",320.0,A2,2013-2020,,,,VW,"Golf,-e_Golf",Jarrut,ABS Hydraulikoneisto
