product_id,part_name,price,quality_grade,oem_number,mileage,brand,model,category,subcategory,scrape_date,year_start,year_end,year_span,year_mid
63019913,Contact roll Airbag to,238.4,,FI09389104A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
63126049,Contact roll Airbag to,226.5,,FI24637030A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
61076273,Contact roll Airbag to,214.5,,FI27837687A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
63099984,Contact roll Airbag to,226.5,,FI22893129A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2008,2012,4,2010.0
65759035,Contact roll Airbag to,202.6,,FI06018105A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2002,2007,5,2004.5
54282984,Contact roll Airbag to,184.7,,FI09389104A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2013,2018,5,2015.5
53928362,Contact roll Airbag to,178.8,,FI05351686A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
53856491,Contact roll Airbag to,178.8,,FI05028803A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
53856614,Contact roll Airbag to,178.8,,FI05028803A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
58712351,Contact roll Airbag to,178.8,,FI05028803A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
53596126,Contact roll Airbag to,178.8,,FI02042722A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
55149341,Contact roll Airbag to,178.8,,FI02042722A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2008,2012,4,2010.0
64597414,Contact roll Airbag to,178.8,,FI27837687A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
64976735,Contact roll Airbag to,178.8,,FI27837687A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2013,2018,5,2015.5
62133431,Contact roll Airbag to,178.8,,FI27837687A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
63350292,Contact roll Airbag to,178.8,,FI27837687A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
54141979,Contact roll Airbag to,172.8,,FI06292622A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
61093935,Contact roll Airbag to,178.8,,FI09389104A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2013,2018,5,2015.5
65680853,Contact roll Airbag to,178.8,,FI27837687A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
64546444,Contact roll Airbag to,178.8,,FI27837687A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
66210498,Contact roll Airbag to,178.8,,FI05028803A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
66434306,Contact roll Airbag to,178.8,,FI27837687A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
53429937,Contact roll Airbag to,131.1,,FI27837687A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2008,2012,4,2010.0
61901908,Contact roll Airbag to,131.1,,FI06018105A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2008,2012,4,2010.0
54471051,Contact roll Airbag to,119.2,,FI06018105A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2008,2012,4,2010.0
66394996,Contact roll Airbag to,125.1,,FI09389104A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2013,2018,5,2015.5
53421754,Contact roll Airbag to,119.2,,FI27837687A,,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2008,2012,4,2010.0
63019913,Contact roll Airbag -,238.4,A2,FI09389104A,81000.0,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
63126049,Contact roll Airbag -,226.5,A2,FI24637030A,53000.0,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
61076273,Contact roll Airbag -,214.5,A2,FI27837687A,50000.0,Toyota,Corolla,Airbag,Contact roll Airbag,2026-02-01,2019,2027,8,2023.0
