component_id,split,component_size
candidate_component_000001,train,71
candidate_component_000002,validation,70
candidate_component_000003,train,66
candidate_component_000004,train,62
candidate_component_000005,train,62
candidate_component_000006,train,61
candidate_component_000007,train,55
candidate_component_000008,train,54
candidate_component_000009,train,54
candidate_component_000010,train,54
candidate_component_000011,train,53
candidate_component_000012,train,50
candidate_component_000013,train,48
candidate_component_000014,test,48
candidate_component_000015,train,48
candidate_component_000016,train,47
candidate_component_000017,train,47
candidate_component_000018,train,44
candidate_component_000019,train,43
candidate_component_000020,train,42
candidate_component_000021,train,42
candidate_component_000022,test,42
candidate_component_000023,train,42
candidate_component_000024,train,42
candidate_component_000025,train,41
candidate_component_000026,test,40
candidate_component_000027,validation,40
candidate_component_000028,train,40
candidate_component_000029,train,40
candidate_component_000030,train,40
candidate_component_000031,validation,40
candidate_component_000032,test,39
candidate_component_000033,train,38
candidate_component_000034,train,36
candidate_component_000035,train,36
candidate_component_000036,train,36
candidate_component_000037,train,36
candidate_component_000038,train,36
candidate_component_000039,train,36
candidate_component_000040,train,36
candidate_component_000041,test,36
candidate_component_000042,train,36
candidate_component_000043,train,36
candidate_component_000044,train,36
candidate_component_000045,train,34
candidate_component_000046,train,34
candidate_component_000047,train,33
candidate_component_000048,train,33
candidate_component_000049,train,32
candidate_component_000050,train,32
candidate_component_000051,train,31
candidate_component_000052,train,31
candidate_component_000053,train,31
candidate_component_000054,train,31
candidate_component_000055,train,31
candidate_component_000056,train,30
candidate_component_000057,validation,30
candidate_component_000058,train,30
candidate_component_000059,train,30
candidate_component_000060,train,30
candidate_component_000061,test,30
candidate_component_000062,train,30
candidate_component_000063,train,30
candidate_component_000064,test,30
candidate_component_000065,train,30
candidate_component_000066,train,30
candidate_component_000067,train,30
candidate_component_000068,validation,30
candidate_component_000069,train,30
candidate_component_000070,train,30
candidate_component_000071,train,30
candidate_component_000072,train,30
candidate_component_000073,validation,30
candidate_component_000074,train,30
candidate_component_000075,train,30
candidate_component_000076,train,30
candidate_component_000077,train,30
candidate_component_000078,train,30
candidate_component_000079,validation,30
candidate_component_000080,test,30
candidate_component_000081,train,30
candidate_component_000082,train,30
candidate_component_000083,test,30
candidate_component_000084,train,30
candidate_component_000085,train,30
candidate_component_000086,validation,30
candidate_component_000087,train,30
candidate_component_000088,train,30
candidate_component_000089,validation,30
candidate_component_000090,train,30
candidate_component_000091,validation,30
candidate_component_000092,train,30
candidate_component_000093,train,30
candidate_component_000094,train,30
candidate_component_000095,validation,30
candidate_component_000096,train,30
candidate_component_000097,train,29
candidate_component_000098,train,29
candidate_component_000099,train,29
candidate_component_000100,train,29
candidate_component_000101,train,29
candidate_component_000102,train,29
candidate_component_000103,train,28
candidate_component_000104,train,28
candidate_component_000105,train,28
candidate_component_000106,train,27
candidate_component_000107,train,27
candidate_component_000108,train,27
candidate_component_000109,test,26
candidate_component_000110,train,26
candidate_component_000111,train,26
candidate_component_000112,train,25
candidate_component_000113,train,25
candidate_component_000114,train,25
candidate_component_000115,train,25
candidate_component_000116,train,24
candidate_component_000117,train,24
candidate_component_000118,train,24
