subcategory,train_count,train_pct,validation_count,validation_pct,test_count,test_pct,total_count,max_pct_gap
all,896,11.2989,85,5.0147,67,3.9505,1048,7.3484
rear,246,3.1021,33,1.9469,36,2.1226,315,1.1552
right,239,3.0139,15,0.885,43,2.5354,297,2.1289
left,224,2.8247,3,0.177,50,2.9481,277,2.7711
right rear,237,2.9887,0,0.0,18,1.0613,255,2.9887
left rear,192,2.4212,0,0.0,57,3.3608,249,3.3608
left front,164,2.0681,24,1.4159,12,0.7075,200,1.3605
right front,149,1.8789,18,1.0619,32,1.8868,199,0.8248
either side,108,1.3619,2,0.118,18,1.0613,128,1.2439
passenger airbag,85,1.0719,16,0.944,0,0.0,101,1.0719
alternator,46,0.5801,54,3.1858,0,0.0,100,3.1858
automatic gear,54,0.681,0,0.0,46,2.7123,100,2.7123
caliper bracket,16,0.2018,46,2.7139,38,2.2406,100,2.5121
knee,58,0.7314,42,2.4779,0,0.0,100,2.4779
abs hydraulic aggregate,60,0.7566,0,0.0,40,2.3585,100,2.3585
steering wheel airbag,62,0.7818,2,0.118,36,2.1226,100,2.0046
starter gasoline,42,0.5296,40,2.3599,18,1.0613,100,1.8302
tank lid,43,0.5422,17,1.0029,40,2.3585,100,1.8162
motor bracket,54,0.681,38,2.2419,8,0.4717,100,1.7702
starter diesel,58,0.7314,36,2.1239,6,0.3538,100,1.7701
abs hydraulic pump,62,0.7818,4,0.236,34,2.0047,100,1.7687
brake servo,64,0.8071,32,1.8879,4,0.2358,100,1.6521
gear box 5 speed,75,0.9458,25,1.4749,0,0.0,100,1.4749
mass air-flow sensor,75,0.9458,0,0.0,25,1.4741,100,1.4741
gear lever,100,1.261,0,0.0,0,0.0,100,1.261
actuator loom,43,0.5422,30,1.7699,27,1.592,100,1.2277
rear axle beam,94,1.1854,6,0.354,0,0.0,100,1.1854
other relay,96,1.2106,1,0.059,3,0.1769,100,1.1516
rear sensor,79,0.9962,1,0.059,20,1.1792,100,1.1202
contact roll airbag,87,1.0971,0,0.0,13,0.7665,100,1.0971
fuel pump electric,45,0.5675,27,1.5929,28,1.6509,100,1.0835
injection control unit,55,0.6936,30,1.7699,15,0.8844,100,1.0763
engine gasoline,58,0.7314,30,1.7699,12,0.7075,100,1.0624
fuse box / electricity central,58,0.7314,30,1.7699,12,0.7075,100,1.0624
main cylinder,82,1.034,0,0.0,18,1.0613,100,1.0613
coil,78,0.9836,2,0.118,20,1.1792,100,1.0613
fuel injection pump,53,0.6683,29,1.7109,18,1.0613,100,1.0426
engine casing,73,0.9206,21,1.2389,6,0.3538,100,0.8852
insp.pump diesel control unit,76,0.9584,18,1.0619,6,0.3538,100,0.7082
airbag krocksensor,82,1.034,6,0.354,12,0.7075,100,0.6801
airbag control unit,80,1.0088,7,0.413,13,0.7665,100,0.5958
air purifier,68,0.8575,14,0.826,18,1.0613,100,0.2354
rear axle,80,1.0088,0,0.0,19,1.1203,99,1.1203
other control unit,87,1.0971,12,0.708,0,0.0,99,1.0971
engine diesel,84,1.0593,13,0.767,2,0.1179,99,0.9413
deliverer,86,1.0845,10,0.59,1,0.059,97,1.0255
gear box bracket,70,0.8827,15,0.885,12,0.7075,97,0.1774
motor cushion,84,1.0593,12,0.708,0,0.0,96,1.0593
gear box 6 speed,64,0.8071,30,1.7699,1,0.059,95,1.7109
hand brake lever,58,0.7314,30,1.7699,6,0.3538,94,1.4161
pulley,66,0.8323,6,0.354,21,1.2382,93,0.8842
either side front,54,0.681,25,1.4749,14,0.8255,93,0.794
tank transmitters,67,0.8449,18,1.0619,8,0.4717,93,0.5902
parkeringshjälp frontsensor,24,0.3026,16,0.944,52,3.066,92,2.7634
carbon canister,80,1.0088,0,0.0,12,0.7075,92,1.0088
control unit xenon,55,0.6936,25,1.4749,12,0.7075,92,0.7814
piston / rod,91,1.1475,0,0.0,0,0.0,91,1.1475
sump,24,0.3026,54,3.1858,12,0.7075,90,2.8832
throttle housing,35,0.4414,37,2.1829,18,1.0613,90,1.7415
rubber bellow / tube,42,0.5296,18,1.0619,30,1.7689,90,1.2392
turbo aggregate,54,0.681,18,1.0619,6,0.3538,78,0.7082
fuel tank injection,66,0.8323,6,0.354,6,0.3538,78,0.4785
central lock control unit,59,0.744,0,0.0,14,0.8255,73,0.8255
sensor abs,61,0.7692,9,0.531,0,0.0,70,0.7692
kamera utvändig,46,0.5801,18,1.0619,6,0.3538,70,0.7082
fuel filter / holder,44,0.5549,0,0.0,24,1.4151,68,1.4151
sensor steering,60,0.7566,0,0.0,6,0.3538,66,0.7566
diesel injection pump,10,0.1261,10,0.59,44,2.5943,64,2.4682
diesel tank,18,0.227,0,0.0,42,2.4764,60,2.4764
battery cable,30,0.3783,0,0.0,30,1.7689,60,1.7689
avgas temperaturgivare,18,0.227,30,1.7699,12,0.7075,60,1.5429
adaptiv farthållare sensor,26,0.3279,4,0.236,30,1.7689,60,1.5329
load air pressure transmitters,36,0.454,24,1.4159,0,0.0,60,1.4159
belt tensioner for fan belt,24,0.3026,24,1.4159,12,0.7075,60,1.1133
komfort styrdon,42,0.5296,18,1.0619,0,0.0,60,1.0619
ignition diesel relay,30,0.3783,6,0.354,24,1.4151,60,1.0611
rear gear / diff.,43,0.5422,0,0.0,17,1.0024,60,1.0024
ljusinställning lägesgivare,35,0.4414,6,0.354,19,1.1203,60,0.7663
sensor ac inner temperature,24,0.3026,18,1.0619,18,1.0613,60,0.7593
battery box / fixing / holder,60,0.7566,0,0.0,0,0.0,60,0.7566
fly wheel manual,60,0.7566,0,0.0,0,0.0,60,0.7566
parking control unit,60,0.7566,0,0.0,0,0.0,60,0.7566
valve cap,36,0.454,18,1.0619,6,0.3538,60,0.7082
either side rear,54,0.681,0,0.0,6,0.3538,60,0.681
