year_end,train_count,train_pct,validation_count,validation_pct,test_count,test_pct,total_count,max_pct_gap
2020,2761,34.8172,530,31.2684,517,30.4835,3808,4.3337
2027,1451,18.2976,261,15.3982,265,15.625,1977,2.8994
2013,1206,15.2081,271,15.9882,260,15.3302,1737,0.7801
2007,768,9.6847,65,3.8348,156,9.1981,989,5.8499
2009,472,5.9521,166,9.7935,102,6.0142,740,3.8414
2012,328,4.1362,98,5.7817,59,3.4788,485,2.3029
2006,364,4.5902,34,2.0059,61,3.5967,459,2.5843
2001,246,3.1021,93,5.4867,79,4.658,418,2.3846
1997,124,1.5637,28,1.6519,49,2.8892,201,1.3255
2011,54,0.681,30,1.7699,77,4.5401,161,3.8591
2018,34,0.4288,55,3.2448,14,0.8255,103,2.8161
1992,85,1.0719,13,0.767,4,0.2358,102,0.836
1999,24,0.3026,24,1.4159,36,2.1226,84,1.82
1987,2,0.0252,27,1.5929,5,0.2948,34,1.5677
1991,11,0.1387,0,0.0,12,0.7075,23,0.7075
