year_start,train_count,train_pct,validation_count,validation_pct,test_count,test_pct,total_count,max_pct_gap
2013,2795,35.2459,585,34.5133,531,31.309,3911,3.9369
2019,1174,14.8045,195,11.5044,193,11.3797,1562,3.4248
2005,742,9.3569,187,11.0324,109,6.4269,1038,4.6056
2002,768,9.6847,65,3.8348,156,9.1981,989,5.8499
1998,610,7.6923,127,7.4926,140,8.2547,877,0.7621
2004,472,5.9521,166,9.7935,102,6.0142,740,3.8414
2009,464,5.8512,84,4.9558,151,8.9033,699,3.9475
2008,328,4.1362,98,5.7817,59,3.4788,485,2.3029
2020,277,3.4931,66,3.8938,72,4.2453,415,0.7522
1993,124,1.5637,28,1.6519,49,2.8892,201,1.3255
1996,54,0.681,30,1.7699,77,4.5401,161,3.8591
1988,85,1.0719,13,0.767,4,0.2358,102,0.836
1992,24,0.3026,24,1.4159,36,2.1226,84,1.82
1983,1,0.0126,27,1.5929,5,0.2948,33,1.5803
1984,11,0.1387,0,0.0,12,0.7075,23,0.7075
1982,1,0.0126,0,0.0,0,0.0,1,0.0126
