seed,split,mean,median,std,min,max,p25,p75
0,train,278.23934054870375,129.8,566.0403372228807,5.9,4641.0,58.474999999999994,237.2
0,validation,302.67131050767415,85.55000000000001,776.3313952142655,5.9,4165.0,59.0,178.5
0,test,203.45294467578825,77.3,576.5799580427864,14.2,4641.0,47.4,154.7
1,train,285.9381066431363,119.0,606.0204618349754,5.9,4343.5,59.0,237.2
1,validation,300.02697756788666,94.6,745.2915749989382,5.9,4641.0,59.0,200.575
1,test,170.61788665879575,78.1,392.23508658341154,5.9,4391.1,47.4,177.6
2,train,259.0758207070707,106.6,571.7409748222103,5.9,4641.0,54.975,225.225
2,validation,371.9307783018868,95.2,834.9548578097871,11.8,4343.5,59.0,267.8
2,test,224.6007624633431,90.0,447.9161221368076,5.9,3064.3,47.4,237.1
3,train,286.78792386234716,118.0,611.3923200528086,5.9,4641.0,56.0,238.0
3,validation,253.12906839622642,85.2,650.978023978692,16.5,4641.0,59.0,177.6
3,test,213.48930260047283,94.7,511.74414737174584,5.9,4117.4,47.4,182.275
4,train,230.09953365263422,106.2,435.9148963961572,5.9,4289.9,53.4,236.8
4,validation,455.29321533923303,84.1,1036.556681209513,5.9,4641.0,47.4,213.0
4,test,276.765780141844,100.85,659.632617491245,17.8,4391.1,59.3,218.2
5,train,291.30590163934426,118.6,624.8400422679931,5.9,4641.0,59.0,236.8
5,validation,242.5598108747045,71.4,569.8157547303648,5.9,4343.5,47.4,213.1
5,test,203.1503237198352,94.7,530.0438486691157,5.9,4641.0,59.0,201.4
6,train,295.3601009463722,124.9,622.2098414746063,5.9,4641.0,59.0,237.2
6,validation,155.26176470588234,84.0,194.48144860652638,5.9,1785.0,50.475,177.9
6,test,271.78396226415094,76.7,758.3413199762675,5.9,4343.5,47.4,159.225
7,train,317.4835542092642,118.5,690.0190818636214,5.9,4641.0,59.0,238.0
7,validation,147.00663924794358,94.7,171.77928217404659,5.9,1190.0,47.6,178.35
7,test,176.88201650943398,88.9,387.00270563909316,5.9,4391.1,47.6,177.0
8,train,285.6118010075567,100.6,644.2757465770688,5.9,4641.0,53.2,236.0
8,validation,173.5697220579539,94.7,285.08620601118497,5.9,3986.5,59.0,213.1
8,test,298.43508875739644,117.95,635.6566005605056,5.9,4343.5,56.2,241.8
