part_name,brand,model,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
"engine diesel - , e-",vw,golf,28,3884.2071,3970.1,243.6263,59353.7564,0.0627,3488.7,4117.4,628.7
automatic gear -,skoda,octavia,24,4336.6542,4381.15,235.0895,55267.0708,0.0542,3951.0,4641.0,690.0
"automatic gear - , e-",vw,golf,30,3598.94,3549.9,219.0576,47986.2151,0.0609,3305.2,3927.0,621.8
hybrid inverter -,toyota,corolla,40,1013.5825,1085.45,209.1815,43756.8824,0.2064,355.2,1190.0,834.8
engine diesel -,skoda,octavia,30,3888.4967,3910.85,209.1185,43730.5597,0.0538,3529.3,4165.0,635.7
main cylinder -,toyota,corolla,38,494.9132,592.0,204.5015,41820.8438,0.4132,59.2,595.0,535.8
"engine gasoline - , e-",vw,golf,30,4096.08,4100.45,186.2434,34686.6136,0.0455,3753.4,4343.5,590.1
gear box 6 speed -,toyota,corolla,29,1287.9241,1356.6,185.871,34548.0405,0.1443,592.0,1428.0,836.0
engine gasoline -,skoda,octavia,23,4309.7174,4262.4,171.3668,29366.5919,0.0398,4127.9,4641.0,513.1
brake servo -,toyota,corolla,38,473.1132,508.7,166.4123,27693.068,0.3517,118.4,595.0,476.6
"brake servo - , e-",vw,golf,30,265.9267,188.8,163.0195,26575.3553,0.613,176.9,595.0,418.1
automatic gear-,toyota,corolla,3,2920.8333,2975.0,144.4249,20858.5489,0.0494,2723.2,3064.3,341.1
kamera utvändig -,toyota,corolla,39,609.2128,652.4,142.6668,20353.8283,0.2342,296.0,714.0,418.0
automatic gear -,toyota,corolla,37,2912.373,2960.0,126.0067,15877.6836,0.0433,2604.8,3054.5,449.7
"gear box 5 speed - , e-",vw,golf,21,1983.1,2005.0,117.0206,13693.8133,0.059,1804.1,2142.0,337.9
abs hydraulic pump -,toyota,corolla,39,474.3077,530.9,102.629,10532.7069,0.2164,236.8,547.4,310.6
hybrid batteri -,toyota,corolla,40,1287.9025,1300.1,94.0762,8850.3242,0.073,1124.8,1462.2,337.4
"gear box 6 speed - , e-",vw,golf,30,2199.2533,2138.6,93.8716,8811.8805,0.0427,2122.9,2380.0,257.1
"gear box 5 speed- , e-",vw,golf,3,1929.9667,1963.5,92.734,8599.6022,0.048,1803.4,2023.0,219.6
engine diesel -,toyota,corolla,38,901.3447,935.4,89.6232,8032.3098,0.0994,522.2,952.0,429.8
