part_name,brand,model,oem_number,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
automatic gear -,skoda,octavia,fi27837687a,12,4290.7917,4293.1,325.7822,106134.0374,0.0759,3951.0,4641.0,690.0
"engine diesel - , e-",vw,golf,fi09389104a,14,3818.9286,3899.6,270.7378,73298.9706,0.0709,3502.8,4117.4,614.6
engine diesel -,skoda,octavia,fi05351686a,6,4043.9833,4134.2,217.4141,47268.9114,0.0538,3558.6,4165.0,606.4
kamera utvändig -,toyota,corolla,fi05028803a,11,522.0818,707.6,206.39,42596.8397,0.3953,296.0,714.0,418.0
"engine diesel - , e-",vw,golf,fi10331575a,8,3848.8625,3957.0,202.002,40804.8023,0.0525,3488.7,3986.5,497.8
"brake servo - , e-",vw,golf,fi27837687a,23,291.7957,189.4,178.3125,31795.3448,0.6111,176.9,595.0,418.1
automatic gear -,toyota,corolla,fi09389104a,7,2965.7571,3038.0,129.2558,16707.0596,0.0436,2723.2,3054.5,331.3
automatic gear -,toyota,corolla,fi27837687a,21,2915.2238,2960.0,112.9353,12754.3732,0.0387,2604.8,2975.0,370.2
main cylinder -,toyota,corolla,fi27837687a,26,571.5846,592.0,102.4923,10504.6751,0.1793,59.2,595.0,535.8
gear box 5 speed -,toyota,corolla,fi06018105a,6,789.45,827.9,88.3397,7803.9092,0.1119,592.0,833.0,241.0
hybrid batteri -,toyota,corolla,fi09389104a,18,1295.0667,1297.55,83.6041,6989.6378,0.0646,1219.5,1462.2,242.7
injection control unit -,toyota,corolla,fi27837687a,14,524.2143,533.65,83.3183,6941.9412,0.1589,355.2,595.0,239.8
engine gasoline -,toyota,corolla,fi27837687a,20,3635.81,3670.4,76.7016,5883.1399,0.0211,3433.6,3689.0,255.4
abs hydraulic pump -,toyota,corolla,fi15710056a,5,296.0,296.0,64.8504,4205.568,0.2191,236.8,414.4,177.6
engine gasoline -,skoda,octavia,fi09389104a,12,4204.975,4208.35,63.4962,4031.7669,0.0151,4127.9,4289.9,162.0
airbag control unit -,toyota,corolla,fi27837687a,8,319.7,354.55,61.5532,3788.795,0.1925,213.1,357.0,143.9
"engine gasoline - , e-",vw,golf,fi27837687a,18,4131.0,4100.45,60.1763,3621.1878,0.0146,4068.9,4236.4,167.5
hybrid inverter -,toyota,corolla,fi27837687a,4,414.4,414.4,59.2,3504.64,0.1429,355.2,473.6,118.4
drive shaft -(right front),toyota,corolla,fi27837687a,26,318.2731,353.9,57.3165,3285.1827,0.1801,177.6,357.0,179.4
"drive shaft - , e-(right rear)",vw,golf,fi10331575a,9,276.4556,237.2,56.1812,3156.3247,0.2032,235.9,357.0,121.1
