part_name,brand,model,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
"engine diesel - , e-",vw,golf,28,3884.2071,3970.1,243.6263,59353.7564,0.0627,3488.7,4117.4,628.7
automatic gear -,skoda,octavia,24,4336.6542,4381.15,235.0895,55267.0708,0.0542,3951.0,4641.0,690.0
"automatic gear - , e-",vw,golf,30,3598.94,3549.9,219.0576,47986.2151,0.0609,3305.2,3927.0,621.8
hybrid inverter -,toyota,corolla,40,1013.5825,1085.45,209.1815,43756.8824,0.2064,355.2,1190.0,834.8
engine diesel -,skoda,octavia,30,3888.4967,3910.85,209.1185,43730.5597,0.0538,3529.3,4165.0,635.7
main cylinder -,toyota,corolla,38,494.9132,592.0,204.5015,41820.8438,0.4132,59.2,595.0,535.8
"engine gasoline - , e-",vw,golf,30,4096.08,4100.45,186.2434,34686.6136,0.0455,3753.4,4343.5,590.1
gear box 6 speed -,toyota,corolla,29,1287.9241,1356.6,185.871,34548.0405,0.1443,592.0,1428.0,836.0
engine gasoline -,skoda,octavia,23,4309.7174,4262.4,171.3668,29366.5919,0.0398,4127.9,4641.0,513.1
brake servo -,toyota,corolla,38,473.1132,508.7,166.4123,27693.068,0.3517,118.4,595.0,476.6
"brake servo - , e-",vw,golf,30,265.9267,188.8,163.0195,26575.3553,0.613,176.9,595.0,418.1
automatic gear-,toyota,corolla,3,2920.8333,2975.0,144.4249,20858.5489,0.0494,2723.2,3064.3,341.1
kamera utvändig -,toyota,corolla,39,609.2128,652.4,142.6668,20353.8283,0.2342,296.0,714.0,418.0
automatic gear -,toyota,corolla,37,2912.373,2960.0,126.0067,15877.6836,0.0433,2604.8,3054.5,449.7
"gear box 5 speed - , e-",vw,golf,21,1983.1,2005.0,117.0206,13693.8133,0.059,1804.1,2142.0,337.9
abs hydraulic pump -,toyota,corolla,39,474.3077,530.9,102.629,10532.7069,0.2164,236.8,547.4,310.6
hybrid batteri -,toyota,corolla,40,1287.9025,1300.1,94.0762,8850.3242,0.073,1124.8,1462.2,337.4
"gear box 6 speed - , e-",vw,golf,30,2199.2533,2138.6,93.8716,8811.8805,0.0427,2122.9,2380.0,257.1
"gear box 5 speed- , e-",vw,golf,3,1929.9667,1963.5,92.734,8599.6022,0.048,1803.4,2023.0,219.6
engine diesel -,toyota,corolla,38,901.3447,935.4,89.6232,8032.3098,0.0994,522.2,952.0,429.8
gear box 6 speed-,toyota,corolla,5,1349.5,1368.5,89.256,7966.628,0.0661,1179.4,1428.0,248.6
gear box 5 speed -,toyota,corolla,40,677.1525,651.6,88.4358,7820.882,0.1306,517.4,833.0,315.6
injection control unit -,toyota,corolla,38,490.3079,496.6,77.3946,5989.9286,0.1578,355.2,595.0,239.8
drive shaft -(right front),toyota,corolla,65,284.3862,296.4,73.0276,5333.0277,0.2568,153.9,357.0,203.1
engine gasoline -,toyota,corolla,39,3611.5846,3656.1,69.9222,4889.1085,0.0194,3433.6,3689.0,255.4
rear axle beam -,toyota,corolla,33,385.1606,412.9,68.7706,4729.4018,0.1786,80.5,416.5,336.0
airbag control unit-,toyota,corolla,2,269.55,269.55,68.25,4658.0625,0.2532,201.3,337.8,136.5
rear gear / diff. -,skoda,octavia,28,1133.075,1179.8,66.694,4448.094,0.0589,947.2,1190.0,242.8
"cylinder head diesel - , e-",vw,golf,30,222.0533,204.7,66.0898,4367.8558,0.2976,123.8,297.5,173.7
drive shaft-(right front),toyota,corolla,6,286.2667,296.2,63.272,4003.3456,0.221,177.6,357.0,179.4
"drive shaft- , e-(left rear)",vw,golf,6,237.3333,243.3,60.2892,3634.7889,0.254,160.7,309.4,148.7
knee -,toyota,corolla,39,222.9179,213.5,59.8146,3577.7871,0.2683,90.0,297.5,207.5
other control unit -,toyota,corolla,40,425.195,438.75,58.6381,3438.423,0.1379,270.0,476.0,206.0
"diesel injection pump - , e-",vw,golf,25,281.904,301.9,57.3684,3291.134,0.2035,177.0,333.2,156.2
"gear distributor box - , e-",vw,golf,24,1054.9333,1080.95,57.2314,3275.4331,0.0543,955.3,1106.7,151.4
curtain airbags -(right),toyota,corolla,63,210.1079,235.9,57.1248,3263.2471,0.2719,59.2,261.8,202.6
rear gear / diff.-,skoda,octavia,2,1122.5,1122.5,56.9,3237.61,0.0507,1065.6,1179.4,113.8
fuel tank injection -,skoda,octavia,30,139.96,141.6,53.7906,2893.4311,0.3843,89.2,238.0,148.8
curtain airbags -(left),toyota,corolla,55,211.6036,226.1,53.4183,2853.5116,0.2524,59.2,261.8,202.6
"drive shaft - , e-(right rear)",vw,golf,50,222.258,218.25,53.2691,2837.596,0.2397,159.2,357.0,197.8
airbag control unit -,toyota,corolla,38,271.6553,260.05,51.8332,2686.683,0.1908,181.2,357.0,175.8
gear distributor box -,skoda,octavia,29,988.6931,952.0,51.3215,2633.8972,0.0519,943.5,1093.9,150.4
gear box 5 speed -,skoda,octavia,30,970.6067,947.2,47.4433,2250.8673,0.0489,943.5,1071.0,127.5
brake servo-,toyota,corolla,2,485.45,485.45,47.35,2242.0225,0.0975,438.1,532.8,94.7
diesel injection pump -,toyota,corolla,9,78.8222,47.4,44.4853,1978.9395,0.5644,47.2,142.1,94.9
"drive shaft - , e-(left rear)",vw,golf,48,208.9896,200.8,43.3268,1877.2084,0.2073,159.2,308.4,149.2
fly wheel automat -,skoda,octavia,24,143.5208,144.95,43.1609,1862.8591,0.3007,94.4,190.4,96.0
drive shaft -(left front),toyota,corolla,87,267.308,294.9,42.6896,1822.4044,0.1597,153.9,297.5,143.6
"passenger airbag - , e-",vw,golf,24,432.0625,425.95,38.7184,1499.1148,0.0896,353.8,476.0,122.2
"side airbags - , e-(right)",vw,golf,36,106.925,106.55,38.2392,1462.2352,0.3576,60.1,178.5,118.4
"deliverer - , e-",vw,golf,27,208.3148,236.0,37.1225,1378.0805,0.1782,159.3,238.0,78.7
diesel tank -,skoda,octavia,23,257.7348,236.5,36.765,1351.6684,0.1426,233.6,321.3,87.7
"rear gear / diff. - , e-",vw,golf,30,858.15,831.65,36.3776,1323.3318,0.0424,825.6,910.3,84.7
kamera utvändig -,skoda,octavia,23,274.2783,294.9,36.3753,1323.1634,0.1326,212.3,297.5,85.2
side airbags -(right),skoda,octavia,36,120.3917,118.35,35.795,1281.2824,0.2973,82.6,178.5,95.9
"crankshaft - , e-",vw,golf,30,113.63,112.4,35.777,1279.9954,0.3149,70.8,154.7,83.9
abs hydraulic aggregate-,toyota,corolla,4,562.225,574.8,35.6304,1269.5269,0.0634,506.2,593.1,86.9
"turbo aggregate - , e-",vw,golf,30,375.2167,366.8,34.2514,1173.1581,0.0913,336.1,440.3,104.2
"brake caliper - , e-(left front)",vw,golf,42,197.85,177.5,33.9009,1149.2744,0.1713,165.1,238.0,72.9
fuel tank injection -,toyota,corolla,18,142.1111,165.2,33.5042,1122.5332,0.2358,94.4,166.6,72.2
"brake caliper - , e-(right front)",vw,golf,41,187.8171,177.0,32.6654,1067.0258,0.1739,147.4,238.0,90.6
inter axle compl. -,skoda,octavia,30,246.9033,260.35,32.3974,1049.5917,0.1312,177.6,295.7,118.1
gear box 6 speed -,skoda,octavia,29,2341.9069,2359.6,32.2023,1036.9855,0.0138,2288.0,2380.0,92.0
insp.pump diesel control unit -,toyota,corolla,40,208.2175,213.4,31.4101,986.5914,0.1509,118.4,238.0,119.6
abs hydraulic aggregate -,skoda,octavia,30,664.1233,667.8,31.2187,974.6065,0.047,607.4,714.0,106.6
"hub rear - , e-(rear)",vw,golf,48,227.8625,236.65,30.625,937.8898,0.1344,176.9,261.8,84.9
power steering control unit -,toyota,corolla,40,203.965,178.2,29.7919,887.5568,0.1461,165.8,238.0,72.2
deliverer-,toyota,corolla,2,113.2,113.2,29.1,846.81,0.2571,84.1,142.3,58.2
diesel injection pump -,skoda,octavia,29,232.131,236.0,27.7406,769.5394,0.1195,176.9,267.8,90.9
brake caliper -(left front),toyota,corolla,44,182.6886,177.6,27.452,753.6096,0.1503,118.4,238.0,119.6
drive shaft -(left rear),skoda,octavia,48,240.4438,233.95,27.2854,744.4937,0.1135,200.5,285.6,85.1
steering wheel airbag -,skoda,octavia,24,429.2542,415.05,25.6767,659.295,0.0598,412.8,476.0,63.2
rear axle beam -(rear),toyota,corolla,5,381.9,394.2,25.2086,635.476,0.066,331.5,395.7,64.2
"rear sensor - , e-",vw,golf,28,79.4786,59.5,24.6789,609.0467,0.3105,59.0,119.0,60.0
brake caliper -(right rear),toyota,corolla,53,193.2057,177.9,24.423,596.4839,0.1264,168.7,238.0,69.3
hybrid converter -,toyota,corolla,18,382.8722,379.15,24.3649,593.6476,0.0636,353.8,416.5,62.7
drive shaft -(left front),skoda,octavia,41,251.7683,241.9,24.3326,592.0748,0.0966,235.9,309.4,73.5
rear axle -,skoda,octavia,29,384.8862,378.4,24.232,587.1902,0.063,353.8,416.5,62.7
brake caliper-(right rear),toyota,corolla,2,212.9,212.9,24.2,585.64,0.1137,188.7,237.1,48.4
brake caliper -(right front),toyota,corolla,47,182.2787,177.6,24.06,578.8817,0.132,142.1,238.0,95.9
abs hydraulic aggregate -,toyota,corolla,36,579.3472,590.95,23.9115,571.7619,0.0413,532.8,595.0,62.2
deliverer -,toyota,corolla,38,128.9158,141.85,23.7543,564.2655,0.1843,84.1,142.8,58.7
"cylinder head fuel - , e-",vw,golf,12,319.5917,319.75,23.696,561.4991,0.0741,294.9,345.1,50.2
"rear axle - , e-",vw,golf,29,371.3552,355.9,23.558,554.9797,0.0634,353.8,416.5,62.7
"inter axle compl. - , e-",vw,golf,26,446.3192,428.4,23.418,548.4039,0.0525,424.6,476.0,51.4
drive shaft -(right rear),skoda,octavia,66,235.1258,236.65,23.0185,529.851,0.0979,200.5,285.6,85.1
drive shaft -(right front),skoda,octavia,47,271.0128,260.5,22.9987,528.9411,0.0849,241.8,309.4,67.6
brake caliper -(left rear),toyota,corolla,50,187.736,177.7,22.3298,498.6179,0.1189,165.8,238.0,72.2
turbo aggregate -,skoda,octavia,30,385.87,390.5,21.9903,483.5748,0.057,353.8,416.5,62.7
"inter axle compl.- , e-",vw,golf,3,440.8667,426.2,21.8829,478.8622,0.0496,424.6,471.8,47.2
"other control unit - , e-",vw,golf,28,266.0679,260.75,21.0932,444.925,0.0793,240.9,308.4,67.5
contact roll airbag -,toyota,corolla,40,209.7425,213.45,21.0317,442.3324,0.1003,177.6,238.0,60.4
rear axle -,toyota,corolla,34,303.4794,318.4,20.0459,401.8381,0.0661,260.5,321.3,60.8
abs control unit -,toyota,corolla,18,75.0111,88.5,19.5491,382.1665,0.2606,47.2,89.3,42.1
control unit xenon -,toyota,corolla,20,121.01,118.55,19.3225,373.3609,0.1597,63.9,142.8,78.9
hub rear -(rear),toyota,corolla,61,87.5492,94.4,18.5776,345.1268,0.2122,47.4,119.0,71.6
brake caliper-(left front),toyota,corolla,4,160.3,160.3,18.2,331.24,0.1135,142.1,178.5,36.4
dragkrok styrenhet -,skoda,octavia,24,115.2583,118.8,18.0986,327.5583,0.157,59.2,130.9,71.7
engine diesel-,toyota,corolla,2,787.35,787.35,17.75,315.0625,0.0225,769.6,805.1,35.5
"knee - , e-",vw,golf,30,197.6733,201.15,17.4055,302.952,0.0881,176.9,220.1,43.2
"fuel tank injection - , e-",vw,golf,28,93.35,88.6,17.0703,291.3961,0.1829,71.9,121.4,49.5
curtain airbags -(right),skoda,octavia,54,156.9685,148.1,16.7527,280.6529,0.1067,141.5,184.4,42.9
rear sensor -(rear),skoda,octavia,7,80.1714,71.1,16.4086,269.242,0.2047,70.8,117.4,46.6
brake caliper -(left front),skoda,octavia,42,164.0857,154.2,16.0605,257.9393,0.0979,153.3,190.4,37.1
brake caliper -(right front),skoda,octavia,42,164.0857,154.2,16.0605,257.9393,0.0979,153.3,190.4,37.1
"drive shaft - , e-(right front)",vw,golf,33,252.2879,243.2,15.7294,247.415,0.0623,241.8,296.0,54.2
"fly wheel manual - , e-",vw,golf,30,130.2,141.55,14.9737,224.2107,0.115,106.1,142.8,36.7
"brake caliper - , e-(right rear)",vw,golf,29,195.3276,183.9,14.9364,223.0965,0.0765,180.4,214.2,33.8
"ignition diesel relay- , e-",vw,golf,2,20.75,20.75,14.85,220.5225,0.7157,5.9,35.6,29.7
"drive shaft - , e-(left front)",vw,golf,60,300.055,306.7,14.2817,203.9665,0.0476,265.4,321.3,55.9
"air throttle housing / throttle housing - , e-",vw,golf,30,80.1033,82.85,14.2336,202.5963,0.1777,59.0,95.2,36.2
starter diesel -,toyota,corolla,37,80.8757,71.4,13.9898,195.7143,0.173,59.2,95.2,36.0
passenger airbag -,toyota,corolla,39,300.1744,296.0,13.9222,193.8265,0.0464,281.2,333.2,52.0
automatic gear -(front),skoda,octavia,6,4367.75,4366.4,13.5458,183.4892,0.0031,4352.0,4391.1,39.1
wheel bearing spindle shaft -(left rear),toyota,corolla,60,187.81,177.9,13.5445,183.4529,0.0721,165.8,208.3,42.5
bränslepump styrenhet -,skoda,octavia,30,83.8133,94.4,13.5236,182.8865,0.1614,63.7,95.2,31.5
air purifier -,toyota,corolla,36,77.9972,73.3,13.2656,175.9758,0.1701,53.3,95.2,41.9
"insp.pump diesel control unit - , e-",vw,golf,27,427.3556,425.7,13.1676,173.3862,0.0308,412.8,452.2,39.4
wheel bearing spindle shaft -(right rear),toyota,corolla,52,189.7673,189.75,12.9583,167.9184,0.0683,165.8,208.3,42.5
engine gasoline -(front),skoda,octavia,6,4142.8333,4141.55,12.8545,165.2389,0.0031,4127.9,4165.0,37.1
wheel bearing spindle shaft -(right rear),skoda,octavia,39,218.4897,213.1,12.8403,164.8737,0.0588,200.5,238.0,37.5
komfort styrdon-,skoda,octavia,2,224.75,224.75,12.45,155.0025,0.0554,212.3,237.2,24.9
"air-flow sensor - , e-",vw,golf,12,47.9417,47.9,12.426,154.4058,0.2592,35.4,60.7,25.3
brake caliper -(right rear),skoda,octavia,36,170.7111,177.3,12.0592,145.4254,0.0706,153.3,184.4,31.1
gear lever -,skoda,octavia,24,248.5833,248.75,11.8743,140.9997,0.0478,235.9,261.8,25.9
wheel bearing spindle shaft-(left rear),skoda,octavia,2,225.35,225.35,11.85,140.4225,0.0526,213.5,237.2,23.7
"adaptiv farthållare sensor - , e-",vw,golf,30,421.14,424.7,11.8178,139.6611,0.0281,401.0,439.1,38.1
rear sensor -,skoda,octavia,21,66.6333,59.3,11.7761,138.6775,0.1767,59.0,85.7,26.7
sump -,toyota,corolla,29,43.2897,47.2,11.7469,137.9906,0.2714,23.6,59.5,35.9
"wheel bearing spindle shaft - , e-(left rear)",vw,golf,42,218.7048,213.1,11.7199,137.3562,0.0536,200.6,238.0,37.4
brake caliper -(left rear),skoda,octavia,25,168.28,177.0,11.6197,135.0176,0.069,153.4,178.5,25.1
"brake caliper - , e-(left rear)",vw,golf,30,204.78,212.35,11.6173,134.9623,0.0567,182.8,214.2,31.4
baklucka styrenhet -,skoda,octavia,30,104.1667,95.05,11.5987,134.5289,0.1113,94.4,119.0,24.6
"ignition diesel relay - , e-",vw,golf,28,28.1964,35.4,11.5872,134.2632,0.4109,5.9,38.1,32.2
wheel bearing spindle shaft -(left rear),skoda,octavia,46,221.7935,213.5,11.4381,130.8297,0.0516,212.3,238.0,25.7
"fuel injection pump - , e-",vw,golf,24,137.6,142.0,11.3737,129.3617,0.0827,117.9,148.8,30.9
"wheel bearing spindle shaft - , e-(right rear)",vw,golf,46,225.5391,228.0,11.3442,128.6906,0.0503,212.3,238.0,25.7
turbo aggregate -,toyota,corolla,18,126.3,118.6,11.1793,124.9767,0.0885,117.9,142.8,24.9
hub rear -(left rear),toyota,corolla,7,93.8,100.3,11.1233,123.7286,0.1186,71.0,100.8,29.8
hub rear -(right rear),toyota,corolla,8,98.4125,100.7,11.0684,122.5086,0.1125,71.0,112.5,41.5
"curtain airbags - , e-(right)",vw,golf,48,150.1771,147.65,11.0584,122.2872,0.0736,141.5,178.5,37.0
brake servo -,skoda,octavia,29,164.9586,160.0,10.8803,118.3804,0.066,153.3,178.5,25.2
alternator -,toyota,corolla,38,139.2947,142.3,10.8599,117.9373,0.078,106.6,148.8,42.2
rear axle beam -,skoda,octavia,24,308.2375,302.95,10.6923,114.3257,0.0347,294.9,321.3,26.4
fuse box / electricity central -,toyota,corolla,39,97.7564,95.2,10.6746,113.9466,0.1092,71.0,119.0,48.0
alternator bracket / accessories -,skoda,octavia,24,34.0333,35.5,10.5703,111.7314,0.3106,17.7,47.6,29.9
"parking control unit - , e-",vw,golf,30,77.63,84.9,10.3024,106.1401,0.1327,59.0,85.7,26.7
inverter 12 -> 220 v -,skoda,octavia,24,136.1167,141.75,10.2567,105.1989,0.0754,117.9,142.8,24.9
deliverer -,skoda,octavia,30,245.04,237.6,10.2009,104.0591,0.0416,235.9,258.9,23.0
"brake disc - , e-(front)",vw,golf,42,32.1405,29.5,9.9286,98.5776,0.3089,23.6,47.6,24.0
throttle housing -,toyota,corolla,30,147.2267,153.4,9.8253,96.5366,0.0667,127.4,154.7,27.3
strut rear -(left),toyota,corolla,59,49.4661,53.3,9.5724,91.6317,0.1935,23.7,59.5,35.8
air purifier-,toyota,corolla,4,78.575,74.45,9.561,91.4119,0.1217,71.0,94.4,23.4
caliper bracket -,toyota,corolla,18,63.5444,67.45,9.5491,91.1858,0.1503,35.5,72.6,37.1
"diesel tank - , e-",vw,golf,30,170.45,176.95,9.4854,89.9732,0.0556,153.3,178.5,25.2
"abs hydraulic aggregate - , e-",vw,golf,30,600.72,601.2,9.333,87.1043,0.0155,589.7,612.9,23.2
"wheel bearing spindle shaft- , e-(right rear)",vw,golf,2,227.9,227.9,8.9,79.21,0.0391,219.0,236.8,17.8
distributors -,toyota,corolla,40,79.12,83.7,8.8849,78.9416,0.1123,59.2,95.2,36.0
sump -,skoda,octavia,28,109.2143,106.7,8.8712,78.6984,0.0812,95.2,119.0,23.8
"throttle housing - , e-",vw,golf,30,186.25,185.45,8.8073,77.5678,0.0473,176.9,202.3,25.4
steering wheel airbag -,toyota,corolla,39,293.2179,296.0,8.8067,77.5584,0.03,260.5,297.5,37.0
alternator -,skoda,octavia,30,229.6267,235.95,8.7314,76.2373,0.038,218.2,238.0,19.8
