part_name,brand,model,year_start,year_end,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
suspension -(rear),toyota,corolla,2008,2012,8,35.5,35.5,0.0,0.0,0.0,35.5,35.5,0.0
rear sensor -(centre),toyota,corolla,2019,2027,4,59.2,59.2,0.0,0.0,0.0,59.2,59.2,0.0
starter gasoline -,toyota,corolla,2013,2018,4,94.7,94.7,0.0,0.0,0.0,94.7,94.7,0.0
mass air-flow sensor -,toyota,corolla,2008,2012,3,71.0,71.0,0.0,0.0,0.0,71.0,71.0,0.0
sensor abs -,toyota,corolla,1993,1997,3,41.4,41.4,0.0,0.0,0.0,41.4,41.4,0.0
bensin/dieselvärmare styrenhet-,skoda,octavia,2013,2020,2,94.4,94.4,0.0,0.0,0.0,94.4,94.4,0.0
brake disc-(front),skoda,octavia,2005,2013,2,11.8,11.8,0.0,0.0,0.0,11.8,11.8,0.0
coil -,toyota,corolla,1998,2001,2,47.4,47.4,0.0,0.0,0.0,47.4,47.4,0.0
coil -,toyota,corolla,2019,2027,2,47.4,47.4,0.0,0.0,0.0,47.4,47.4,0.0
"dörr styrenhet- , e-(right)",vw,golf,2013,2020,2,106.8,106.8,0.0,0.0,0.0,106.8,106.8,0.0
other relay -,toyota,corolla,1998,2001,2,35.5,35.5,0.0,0.0,0.0,35.5,35.5,0.0
rear axle beam-,toyota,corolla,2019,2027,2,415.2,415.2,0.0,0.0,0.0,415.2,415.2,0.0
starter diesel-,toyota,corolla,2008,2012,2,59.2,59.2,0.0,0.0,0.0,59.2,59.2,0.0
steering wheel airbag -,toyota,corolla,2008,2012,2,260.5,260.5,0.0,0.0,0.0,260.5,260.5,0.0
suspension -(rear),toyota,corolla,2013,2018,2,35.5,35.5,0.0,0.0,0.0,35.5,35.5,0.0
trailing link rear -(left),toyota,corolla,1993,1997,2,59.2,59.2,0.0,0.0,0.0,59.2,59.2,0.0
trailing link rear -(right),toyota,corolla,1993,1997,2,59.2,59.2,0.0,0.0,0.0,59.2,59.2,0.0
"airbag front sensor - , e-(left)",vw,golf,2004,2009,6,5.9,5.9,0.0,0.0,0.0,5.9,5.9,0.0
"airbag front sensor - , e-(right)",vw,golf,2004,2009,6,5.9,5.9,0.0,0.0,0.0,5.9,5.9,0.0
rear sensor -(exterior),toyota,corolla,2019,2027,3,59.2,59.2,0.0,0.0,0.0,59.2,59.2,0.0
