product_id,listing_count,mean_price,median_price,std_price,price_variance,coefficient_of_variation,min_price,max_price,price_range
53935379,6,4616.3,4614.85,14.3236,205.1667,0.0031,4599.7,4641.0,41.3
64483026,6,4616.3,4614.85,14.3236,205.1667,0.0031,4599.7,4641.0,41.3
66544405,6,4385.4667,4384.1,13.6036,185.0589,0.0031,4369.7,4408.9,39.2
65552499,6,4379.5667,4378.2,13.5746,184.2689,0.0031,4363.8,4403.0,39.2
66395040,5,4025.2,4025.6,13.5607,183.892,0.0034,4010.0,4046.0,36.0
63425718,6,4367.75,4366.4,13.5458,183.4892,0.0031,4352.0,4391.1,39.1
65116265,6,4320.3833,4319.05,13.3982,179.5114,0.0031,4304.8,4343.5,38.7
62661162,5,4141.06,4139.1,13.3947,179.4184,0.0032,4127.9,4165.0,37.1
54279403,6,4267.1167,4265.8,13.2333,175.1214,0.0031,4251.7,4289.9,38.2
57343770,6,4261.2,4259.9,13.2218,174.8167,0.0031,4245.8,4284.0,38.2
62801577,6,112.4833,118.2,13.1905,173.9881,0.1173,83.0,119.0,36.0
53429849,6,4213.8667,4212.55,13.0663,170.7289,0.0031,4198.7,4236.4,37.7
59824465,6,4142.8333,4141.55,12.8545,165.2389,0.0031,4127.9,4165.0,37.1
60213093,6,4142.8333,4141.55,12.8545,165.2389,0.0031,4127.9,4165.0,37.1
53368462,6,4095.4833,4094.2,12.7184,161.7581,0.0031,4080.7,4117.4,36.7
58360841,6,4095.4833,4094.2,12.7184,161.7581,0.0031,4080.7,4117.4,36.7
61922680,6,4083.65,4082.4,12.6782,160.7358,0.0031,4068.9,4105.5,36.6
63205720,6,4083.65,4082.4,12.6782,160.7358,0.0031,4068.9,4105.5,36.6
53387859,6,3965.2833,3964.05,12.3109,151.5581,0.0031,3951.0,3986.5,35.5
54025932,6,3965.2833,3964.05,12.3109,151.5581,0.0031,3951.0,3986.5,35.5
60973010,6,3906.1,3904.9,12.1345,147.2467,0.0031,3892.0,3927.0,35.0
62744962,6,3906.1,3904.9,12.1345,147.2467,0.0031,3892.0,3927.0,35.0
64594102,6,3906.1,3904.9,12.1345,147.2467,0.0031,3892.0,3927.0,35.0
57712714,6,3787.7333,3786.55,11.7382,137.7856,0.0031,3774.1,3808.0,33.9
58737655,6,3767.0167,3765.85,11.7095,137.1114,0.0031,3753.4,3787.2,33.8
59140483,6,3670.8667,3672.75,11.449,131.0789,0.0031,3656.1,3689.0,32.9
63352462,6,3670.8667,3672.75,11.449,131.0789,0.0031,3656.1,3689.0,32.9
56939596,6,3659.0333,3660.9,11.4165,130.3356,0.0031,3644.3,3677.1,32.8
53605194,6,3552.45,3554.25,11.074,122.6325,0.0031,3538.2,3570.0,31.8
53848511,6,3552.45,3554.25,11.074,122.6325,0.0031,3538.2,3570.0,31.8
54417791,6,3551.0,3549.9,11.0182,121.4,0.0031,3538.2,3570.0,31.8
59673805,6,3542.1167,3541.0,11.0007,121.0147,0.0031,3529.3,3561.1,31.8
54228590,6,3515.4833,3514.4,10.9123,119.0781,0.0031,3502.8,3534.3,31.5
54417788,6,3432.6333,3431.55,10.6509,113.4422,0.0031,3420.3,3451.0,30.7
58738183,6,3317.2333,3316.25,10.3061,106.2156,0.0031,3305.2,3335.0,29.8
59269879,6,3049.2167,3050.75,9.5113,90.4647,0.0031,3037.0,3064.3,27.3
59131981,6,2960.3833,2961.9,9.2314,85.2181,0.0031,2948.5,2975.0,26.5
62404956,6,2960.3833,2961.9,9.2314,85.2181,0.0031,2948.5,2975.0,26.5
63305358,6,2960.3833,2961.9,9.2314,85.2181,0.0031,2948.5,2975.0,26.5
65097247,6,2960.3833,2961.9,9.2314,85.2181,0.0031,2948.5,2975.0,26.5
54054788,3,3499.5,3499.3,8.9009,79.2267,0.0025,3488.7,3510.5,21.8
63021622,2,3899.6,3899.6,7.6,57.76,0.0019,3892.0,3907.2,15.2
53593156,6,2367.3333,2366.6,7.3454,53.9556,0.0031,2358.8,2380.0,21.2
54481797,6,2367.3333,2366.6,7.3454,53.9556,0.0031,2358.8,2380.0,21.2
55801303,6,2367.3333,2366.6,7.3454,53.9556,0.0031,2358.8,2380.0,21.2
62191263,6,2367.3333,2366.6,7.3454,53.9556,0.0031,2358.8,2380.0,21.2
54241390,6,2314.05,2313.35,7.1691,51.3958,0.0031,2305.7,2326.4,20.7
53490848,6,2296.3,2295.6,7.1337,50.89,0.0031,2288.0,2308.6,20.6
53463140,6,2237.1333,2236.45,6.938,48.1356,0.0031,2229.1,2249.1,20.0
53593831,6,2130.6,2129.95,6.6255,43.8967,0.0031,2122.9,2142.0,19.1
53997371,6,2130.6,2129.95,6.6255,43.8967,0.0031,2122.9,2142.0,19.1
54025922,6,2130.6,2129.95,6.6255,43.8967,0.0031,2122.9,2142.0,19.1
66541683,6,2130.6,2129.95,6.6255,43.8967,0.0031,2122.9,2142.0,19.1
63158314,6,2012.2333,2011.6,6.2291,38.8022,0.0031,2005.0,2023.0,18.0
58672402,6,1953.05,1952.45,6.0528,36.6358,0.0031,1946.0,1963.5,17.5
59207247,6,1809.95,1809.35,5.6091,31.4625,0.0031,1803.4,1819.6,16.2
64496754,6,1775.5,1774.95,5.5091,30.35,0.0031,1769.1,1785.0,15.9
56321370,6,1420.9833,1421.7,4.4138,19.4814,0.0031,1415.3,1428.0,12.7
60987037,6,1420.9833,1421.7,4.4138,19.4814,0.0031,1415.3,1428.0,12.7
54137921,6,1361.7667,1362.45,4.237,17.9522,0.0031,1356.3,1368.5,12.2
58540693,6,1361.7667,1362.45,4.237,17.9522,0.0031,1356.3,1368.5,12.2
65209258,6,1349.9333,1350.65,4.2015,17.6522,0.0031,1344.5,1356.6,12.1
