group_size,group_count,row_count,group_pct
1,96,96,16.19
2,38,76,6.41
3,17,51,2.87
4,7,28,1.18
5,11,55,1.85
6,84,504,14.17
7,4,28,0.67
8,1,8,0.17
9,1,9,0.17
10,2,20,0.34
11,6,66,1.01
12,18,216,3.04
13,2,26,0.34
16,1,16,0.17
17,1,17,0.17
18,13,234,2.19
19,2,38,0.34
20,1,20,0.17
21,2,42,0.34
22,2,44,0.34
23,9,207,1.52
24,23,552,3.88
25,6,150,1.01
26,2,52,0.34
27,6,162,1.01
28,14,392,2.36
29,29,841,4.89
30,89,2670,15.01
31,1,31,0.17
32,2,64,0.34
33,4,132,0.67
34,1,34,0.17
35,1,35,0.17
36,8,288,1.35
37,4,148,0.67
38,10,380,1.69
39,15,585,2.53
40,14,560,2.36
41,2,82,0.34
42,9,378,1.52
44,1,44,0.17
45,1,45,0.17
46,2,92,0.34
47,2,94,0.34
48,4,192,0.67
50,2,100,0.34
51,1,51,0.17
52,1,52,0.17
53,2,106,0.34
54,2,108,0.34
55,3,165,0.51
57,1,57,0.17
59,2,118,0.34
60,2,120,0.34
61,1,61,0.17
63,1,63,0.17
65,1,65,0.17
66,1,66,0.17
70,1,70,0.17
73,1,73,0.17
77,1,77,0.17
78,1,78,0.17
87,1,87,0.17
