group_size,group_count,row_count,group_pct
1,405,405,24.94
2,69,138,4.25
3,38,114,2.34
4,21,84,1.29
5,96,480,5.91
6,558,3348,34.36
7,38,266,2.34
8,12,96,0.74
9,9,81,0.55
10,17,170,1.05
11,30,330,1.85
12,138,1656,8.5
13,12,156,0.74
14,13,182,0.8
15,8,120,0.49
16,4,64,0.25
17,17,289,1.05
18,49,882,3.02
19,6,114,0.37
20,7,140,0.43
21,5,105,0.31
22,1,22,0.06
23,9,207,0.55
24,20,480,1.23
26,3,78,0.18
27,1,27,0.06
28,2,56,0.12
29,5,145,0.31
30,12,360,0.74
32,4,128,0.25
34,1,34,0.06
35,2,70,0.12
36,3,108,0.18
37,1,37,0.06
38,2,76,0.12
39,1,39,0.06
40,1,40,0.06
42,2,84,0.12
50,1,50,0.06
60,1,60,0.06
