part_name,brand,model,oem_number,group_size
drive shaft -(left front),toyota,corolla,fi27837687a,60
hub rear -(rear),toyota,corolla,fi15710056a,50
"brake caliper - , e-(left front)",vw,golf,fi27837687a,42
"drive shaft - , e-(left front)",vw,golf,fi09389104a,42
distributors vacuum regulator -,toyota,corolla,fi15710056a,40
curtain airbags -(right),toyota,corolla,fi27837687a,39
curtain airbags -(left),toyota,corolla,fi27837687a,38
fuel pump electric -,toyota,corolla,fi15710056a,38
sensor abs -,toyota,corolla,fi15710056a,37
"brake caliper - , e-(right front)",vw,golf,fi27837687a,36
"curtain airbags - , e-(left)",vw,golf,fi27837687a,36
"hub rear - , e-(rear)",vw,golf,fi10331575a,36
trailing link rear -(left),toyota,corolla,fi05028803a,35
wheel bearing spindle shaft -(left rear),skoda,octavia,fi05351686a,35
brake caliper -(right front),toyota,corolla,fi27837687a,34
air-flow sensor -,toyota,corolla,fi06376738a,32
brake caliper -(left front),toyota,corolla,fi27837687a,32
parkeringshjälp frontsensor -,toyota,corolla,fi27837687a,32
shock absorbers rear -(rear),toyota,corolla,fi06376738a,32
airbag front sensor -(left),toyota,corolla,fi15710056a,30
