group_size,group_count,row_count,group_pct
1,189,189,18.31
2,48,96,4.65
3,22,66,2.13
4,15,60,1.45
5,45,225,4.36
6,248,1488,24.03
7,21,147,2.03
8,10,80,0.97
9,6,54,0.58
10,13,130,1.26
11,25,275,2.42
12,100,1200,9.69
13,11,143,1.07
14,9,126,0.87
15,6,90,0.58
16,7,112,0.68
17,18,306,1.74
18,63,1134,6.1
19,6,114,0.58
20,1,20,0.1
21,8,168,0.78
22,5,110,0.48
23,14,322,1.36
24,27,648,2.62
25,4,100,0.39
26,4,104,0.39
27,3,81,0.29
28,6,168,0.58
29,17,493,1.65
30,30,900,2.91
31,2,62,0.19
32,5,160,0.48
33,1,33,0.1
35,3,105,0.29
36,9,324,0.87
38,2,76,0.19
39,4,156,0.39
40,3,120,0.29
41,2,82,0.19
42,2,84,0.19
43,1,43,0.1
44,2,88,0.19
46,1,46,0.1
47,1,47,0.1
48,1,48,0.1
49,1,49,0.1
50,1,50,0.1
52,1,52,0.1
53,1,53,0.1
54,2,108,0.19
59,1,59,0.1
60,1,60,0.1
62,1,62,0.1
66,1,66,0.1
69,1,69,0.1
70,1,70,0.1
