part_name,brand,model,previous_size,refined_group_count,largest_refined_group,smallest_refined_group,singleton_refined_groups
drive shaft -(left front),toyota,corolla,87,4,70,4,0
suspension -(rear),toyota,corolla,78,4,59,2,0
trailing link rear -(left),toyota,corolla,77,3,69,2,0
shock absorbers rear -(rear),toyota,corolla,73,4,28,6,0
trailing link rear -(right),toyota,corolla,70,3,62,2,0
drive shaft -(right front),toyota,corolla,65,4,41,6,0
curtain airbags -(right),toyota,corolla,63,4,43,1,1
hub rear -(rear),toyota,corolla,61,4,44,1,1
"drive shaft - , e-(left front)",vw,golf,60,2,54,6,0
"suspension - , e-(rear)",vw,golf,59,5,24,5,0
strut rear -(left),toyota,corolla,59,4,39,2,0
suspension -(rear),skoda,octavia,57,3,39,6,0
strut rear -(right),toyota,corolla,55,5,19,1,1
curtain airbags -(left),toyota,corolla,55,4,41,1,1
shock absorbers rear -(rear),skoda,octavia,55,2,49,6,0
"trailing link rear - , e-(left)",vw,golf,54,3,24,12,0
"shock absorbers rear - , e-(rear)",vw,golf,53,4,36,5,0
trailing link rear -(left),skoda,octavia,51,2,36,15,0
"drive shaft - , e-(right rear)",vw,golf,50,3,29,3,0
"drive shaft - , e-(left rear)",vw,golf,48,3,32,5,0
"curtain airbags - , e-(right)",vw,golf,48,2,42,6,0
"hub rear - , e-(rear)",vw,golf,48,2,36,12,0
drive shaft -(right front),skoda,octavia,47,2,36,11,0
"wheel bearing spindle shaft - , e-(right rear)",vw,golf,46,3,30,6,0
"trailing link rear - , e-(right)",vw,golf,45,4,17,6,0
"wheel bearing spindle shaft - , e-(left rear)",vw,golf,42,3,36,1,1
"brake disc - , e-(front)",vw,golf,42,3,24,6,0
hub rear -(rear),skoda,octavia,42,3,24,6,0
airbag front sensor -(left),toyota,corolla,42,2,29,13,0
"brake caliper - , e-(left front)",vw,golf,42,2,24,18,0
brake caliper -(left front),skoda,octavia,42,2,36,6,0
brake caliper -(right front),skoda,octavia,42,2,36,6,0
brake disc -(front),toyota,corolla,42,2,23,19,0
"brake caliper - , e-(right front)",vw,golf,41,2,23,18,0
drive shaft -(left front),skoda,octavia,41,2,35,6,0
contact roll airbag -,toyota,corolla,40,4,25,2,0
fuel injection pump -,toyota,corolla,40,4,16,7,0
sensor abs -,toyota,corolla,40,4,25,3,0
starter gasoline -,toyota,corolla,40,4,23,2,0
distributors -,toyota,corolla,40,3,23,1,1
gear box 5 speed -,toyota,corolla,40,3,26,7,0
insp.pump diesel control unit -,toyota,corolla,40,3,27,6,0
airbag krocksensor -,toyota,corolla,40,2,24,16,0
distributors vacuum regulator -,toyota,corolla,40,2,32,8,0
power steering control unit -,toyota,corolla,40,2,26,14,0
trailing link rear -(right),skoda,octavia,40,2,22,18,0
other relay -,toyota,corolla,39,5,32,1,2
clutch cylinder slave -,toyota,corolla,39,5,15,1,1
tank lid -,toyota,corolla,39,5,14,1,1
hand brake lever -,toyota,corolla,39,5,14,2,0
abs hydraulic pump -,toyota,corolla,39,4,30,1,1
fuse box / electricity central -,toyota,corolla,39,4,21,1,1
mass air-flow sensor -,toyota,corolla,39,4,28,1,1
steering wheel airbag -,toyota,corolla,39,4,29,1,1
engine casing -,toyota,corolla,39,3,24,1,1
coil -,toyota,corolla,39,3,35,2,0
passenger airbag -,toyota,corolla,39,3,30,4,0
kamera utvändig -,toyota,corolla,39,2,38,1,1
knee -,toyota,corolla,39,2,27,12,0
main cylinder -,toyota,corolla,38,5,31,1,3
brake servo -,toyota,corolla,38,4,31,1,1
injection control unit -,toyota,corolla,38,4,29,1,1
alternator -,toyota,corolla,38,4,21,2,0
airbag control unit -,toyota,corolla,38,3,14,11,0
fuel pump electric -,toyota,corolla,38,3,18,8,0
gear lever -,toyota,corolla,38,3,27,5,0
deliverer -,toyota,corolla,38,2,30,8,0
engine diesel -,toyota,corolla,38,2,25,13,0
starter diesel -,toyota,corolla,37,6,15,1,1
central lock control unit -,toyota,corolla,37,4,13,1,1
fuel filter / holder -,toyota,corolla,37,3,29,1,1
automatic gear -,toyota,corolla,37,2,36,1,1
air purifier -,toyota,corolla,36,5,14,1,1
clutch cylinder main -,toyota,corolla,36,4,26,1,2
motor bracket -,toyota,corolla,36,4,21,1,1
"side airbags - , e-(right)",vw,golf,36,4,18,6,0
brake caliper -(right rear),skoda,octavia,36,2,18,18,0
