part_name,brand,model,previous_size,refined_group_count,largest_refined_group,smallest_refined_group,singleton_refined_groups
drive shaft -(left front),toyota,corolla,87,12,60,1,8
suspension -(rear),toyota,corolla,78,10,28,1,3
trailing link rear -(left),toyota,corolla,77,8,35,1,1
shock absorbers rear -(rear),toyota,corolla,73,8,32,2,0
trailing link rear -(right),toyota,corolla,70,7,30,2,0
drive shaft -(right rear),skoda,octavia,66,5,24,6,0
drive shaft -(right front),toyota,corolla,65,16,26,1,9
curtain airbags -(right),toyota,corolla,63,7,39,1,3
hub rear -(rear),toyota,corolla,61,4,50,1,1
wheel bearing spindle shaft -(left rear),toyota,corolla,60,7,21,1,2
"drive shaft - , e-(left front)",vw,golf,60,3,42,6,0
strut rear -(left),toyota,corolla,59,9,24,1,3
"suspension - , e-(rear)",vw,golf,59,5,17,6,0
suspension -(rear),skoda,octavia,57,5,22,6,0
strut rear -(right),toyota,corolla,55,8,12,1,1
curtain airbags -(left),toyota,corolla,55,5,38,2,0
shock absorbers rear -(rear),skoda,octavia,55,5,15,6,0
"trailing link rear - , e-(left)",vw,golf,54,6,12,6,0
curtain airbags -(right),skoda,octavia,54,5,24,6,0
brake caliper -(right rear),toyota,corolla,53,7,19,1,1
"shock absorbers rear - , e-(rear)",vw,golf,53,5,24,5,0
wheel bearing spindle shaft -(right rear),toyota,corolla,52,6,16,1,2
trailing link rear -(left),skoda,octavia,51,4,17,6,0
brake caliper -(left rear),toyota,corolla,50,7,24,1,2
"drive shaft - , e-(right rear)",vw,golf,50,6,17,6,0
"drive shaft - , e-(left rear)",vw,golf,48,7,14,5,0
drive shaft -(left rear),skoda,octavia,48,6,12,6,0
"curtain airbags - , e-(right)",vw,golf,48,4,18,6,0
"hub rear - , e-(rear)",vw,golf,48,2,36,12,0
drive shaft -(right front),skoda,octavia,47,5,12,6,0
brake caliper -(right front),toyota,corolla,47,4,34,1,1
"wheel bearing spindle shaft - , e-(right rear)",vw,golf,46,5,17,5,0
wheel bearing spindle shaft -(left rear),skoda,octavia,46,2,35,11,0
"trailing link rear - , e-(right)",vw,golf,45,5,17,5,0
brake caliper -(left front),toyota,corolla,44,5,32,1,1
airbag front sensor -(left),toyota,corolla,42,5,30,2,0
"wheel bearing spindle shaft - , e-(left rear)",vw,golf,42,4,18,5,0
brake caliper -(left front),skoda,octavia,42,3,30,6,0
brake caliper -(right front),skoda,octavia,42,3,30,6,0
"brake disc - , e-(front)",vw,golf,42,3,18,12,0
brake disc -(front),toyota,corolla,42,3,23,7,0
hub rear -(rear),skoda,octavia,42,3,24,6,0
"curtain airbags - , e-(left)",vw,golf,42,2,36,6,0
drive shaft -(left front),skoda,octavia,41,5,18,5,0
"brake caliper - , e-(right front)",vw,golf,41,2,36,5,0
gear box 5 speed -,toyota,corolla,40,13,6,1,6
insp.pump diesel control unit -,toyota,corolla,40,9,12,1,5
starter gasoline -,toyota,corolla,40,9,12,1,5
fuel injection pump -,toyota,corolla,40,9,19,1,4
power steering control unit -,toyota,corolla,40,9,12,1,3
distributors -,toyota,corolla,40,8,19,1,2
other control unit -,toyota,corolla,40,8,18,1,2
contact roll airbag -,toyota,corolla,40,8,9,1,1
hybrid batteri -,toyota,corolla,40,6,18,1,1
hybrid inverter -,toyota,corolla,40,6,12,1,1
airbag krocksensor -,toyota,corolla,40,5,16,2,0
sensor abs -,toyota,corolla,40,3,37,1,1
trailing link rear -(right),skoda,octavia,40,3,18,5,0
knee -,toyota,corolla,39,11,12,1,6
engine casing -,toyota,corolla,39,10,18,1,6
tank lid -,toyota,corolla,39,10,18,1,6
clutch cylinder slave -,toyota,corolla,39,10,12,1,5
abs hydraulic pump -,toyota,corolla,39,9,17,1,5
fuse box / electricity central -,toyota,corolla,39,9,8,1,3
other relay -,toyota,corolla,39,7,20,1,4
mass air-flow sensor -,toyota,corolla,39,7,20,1,3
hand brake lever -,toyota,corolla,39,7,14,1,2
kamera utvändig -,toyota,corolla,39,6,13,1,2
passenger airbag -,toyota,corolla,39,5,26,1,2
coil -,toyota,corolla,39,5,14,1,1
steering wheel airbag -,toyota,corolla,39,4,24,1,2
engine gasoline -,toyota,corolla,39,4,20,6,0
wheel bearing spindle shaft -(right rear),skoda,octavia,39,2,21,18,0
airbag control unit -,toyota,corolla,38,11,12,1,7
engine diesel -,toyota,corolla,38,9,12,1,5
brake servo -,toyota,corolla,38,9,13,1,3
gear lever -,toyota,corolla,38,8,12,1,4
injection control unit -,toyota,corolla,38,8,14,1,3
main cylinder -,toyota,corolla,38,7,26,1,4
alternator -,toyota,corolla,38,7,13,1,2
deliverer -,toyota,corolla,38,5,23,1,2
fuel filling pipe / tube -,toyota,corolla,38,4,29,2,0
central lock control unit -,toyota,corolla,37,9,12,1,5
starter diesel -,toyota,corolla,37,9,13,1,4
automatic gear -,toyota,corolla,37,7,21,1,4
fuel filter / holder -,toyota,corolla,37,5,18,1,2
air purifier -,toyota,corolla,36,11,11,1,7
clutch cylinder main -,toyota,corolla,36,7,13,1,3
motor bracket -,toyota,corolla,36,5,18,1,1
side airbags -(right),skoda,octavia,36,5,12,6,0
brake caliper -(right rear),skoda,octavia,36,4,18,6,0
abs hydraulic aggregate -,toyota,corolla,36,3,24,6,0
curtain airbags -(left),skoda,octavia,36,3,24,6,0
"side airbags - , e-(right)",vw,golf,36,3,18,6,0
motor cushion -,toyota,corolla,35,2,23,12,0
rear axle -,toyota,corolla,34,8,14,1,4
rear axle beam -,toyota,corolla,33,5,27,1,3
pulley -,toyota,corolla,33,5,14,1,1
tank transmitters -,toyota,corolla,33,4,18,1,1
"drive shaft - , e-(right front)",vw,golf,33,4,21,3,0
piston / rod -,toyota,corolla,31,2,19,12,0
engine diesel -,skoda,octavia,30,5,12,1,1
inter axle compl. -,skoda,octavia,30,5,12,1,1
"automatic gear - , e-",vw,golf,30,5,6,6,0
central lock control unit -,skoda,octavia,30,5,6,6,0
"diesel tank - , e-",vw,golf,30,5,6,6,0
"dipstick - , e-",vw,golf,30,5,6,6,0
fly wheel manual -,skoda,octavia,30,5,6,6,0
"fuse box / electricity central - , e-",vw,golf,30,5,12,2,0
throttle housing -,toyota,corolla,30,5,7,5,0
valve cap -,skoda,octavia,30,5,6,6,0
"valve cap - , e-",vw,golf,30,5,6,6,0
abs hydraulic aggregate -,skoda,octavia,30,4,17,1,1
"alternator - , e-",vw,golf,30,4,20,1,1
"contact roll airbag - , e-",vw,golf,30,4,19,1,1
"abs hydraulic aggregate - , e-",vw,golf,30,4,15,3,0
"adaptiv farthållare sensor - , e-",vw,golf,30,4,12,6,0
"airbag control unit - , e-",vw,golf,30,4,12,6,0
