row_index,product_id,part_name,brand,model,year_start,year_end,oem_number,price,previous_group_size,refined_group_size,refined_groups_within_previous,singleton_created
4155,65399928,Drive shaft -(Left front),toyota,corolla,2019,2027,FI27837687A,296.0,87,70,4,False
4159,64578967,Drive shaft -(Left front),toyota,corolla,2002,2007,FI07265116A,213.1,87,8,4,False
4855,54232635,Drive shaft -(Left front),toyota,corolla,2013,2018,FI09389104A,219.0,87,4,4,False
4260,53865601,Suspension -(Rear),toyota,corolla,2019,2027,FI05028803A,47.4,78,59,4,False
4269,53817908,Suspension -(Rear),toyota,corolla,2002,2007,FI01853355A,47.4,78,9,4,False
5045,61890414,Suspension -(Rear),toyota,corolla,2013,2018,FI27837687A,35.5,78,2,4,False
4286,58830600,Trailing link rear -(Left),toyota,corolla,2019,2027,FI05028803A,71.0,77,69,3,False
4302,54363441,Trailing link rear -(Left),toyota,corolla,1998,2001,FI06376738A,72.2,77,6,3,False
5081,53722743,Trailing link rear -(Left),toyota,corolla,1993,1997,FI02154548A,59.2,77,2,3,False
4215,54389246,Shock absorbers rear -(Rear),toyota,corolla,2002,2007,FI06376738A,60.4,73,28,4,False
4210,61749414,Shock absorbers rear -(Rear),toyota,corolla,2019,2027,FI06509801A,61.8,73,23,4,False
4216,54389283,Shock absorbers rear -(Rear),toyota,corolla,1993,1997,FI06376738A,60.4,73,6,4,False
4291,56933451,Trailing link rear -(Right),toyota,corolla,2019,2027,FI09389104A,71.0,70,62,3,False
4301,54360056,Trailing link rear -(Right),toyota,corolla,1998,2001,FI06376738A,72.2,70,6,3,False
5087,53707144,Trailing link rear -(Right),toyota,corolla,1993,1997,FI02154548A,59.2,70,2,3,False
4160,64546406,Drive shaft -(Right front),toyota,corolla,2019,2027,FI27837687A,355.2,65,41,4,False
4164,54521427,Drive shaft -(Right front),toyota,corolla,2008,2012,FI11042417A,296.0,65,10,4,False
4869,61808613,Drive shaft -(Right front),toyota,corolla,2013,2018,FI05351686A,236.8,65,6,4,False
3800,65257587,Curtain airbags -(Right),toyota,corolla,2019,2027,FI27837687A,236.8,63,43,4,False
3804,54331761,Curtain airbags -(Right),toyota,corolla,2002,2007,FI06376738A,181.2,63,10,4,False
