component_size,component_count,row_count,component_pct
1,23,23,4.93
2,6,12,1.28
3,4,12,0.86
4,3,12,0.64
5,2,10,0.43
6,89,534,19.06
7,2,14,0.43
8,3,24,0.64
9,1,9,0.21
10,1,10,0.21
12,25,300,5.35
13,2,26,0.43
18,14,252,3.0
19,3,57,0.64
20,1,20,0.21
22,1,22,0.21
23,1,23,0.21
24,33,792,7.07
25,6,150,1.28
26,1,26,0.21
27,3,81,0.64
29,5,145,1.07
30,131,3930,28.05
31,1,31,0.21
32,2,64,0.43
33,3,99,0.64
34,2,68,0.43
35,1,35,0.21
36,6,216,1.28
37,3,111,0.64
38,3,114,0.64
39,8,312,1.71
40,29,1160,6.21
41,1,41,0.21
42,12,504,2.57
43,1,43,0.21
47,1,47,0.21
48,8,384,1.71
50,1,50,0.21
51,1,51,0.21
53,1,53,0.21
54,5,270,1.07
55,2,110,0.43
56,1,56,0.21
60,4,240,0.86
62,2,124,0.43
63,1,63,0.21
64,1,64,0.21
66,1,66,0.21
70,1,70,0.21
71,1,71,0.21
74,1,74,0.21
79,1,79,0.21
80,1,80,0.21
87,1,87,0.21
