component_size,component_count,row_count,component_pct
1,82,82,9.26
2,23,46,2.6
3,13,39,1.47
4,11,44,1.24
5,14,70,1.58
6,277,1662,31.26
7,22,154,2.48
8,9,72,1.02
9,6,54,0.68
10,7,70,0.79
11,7,77,0.79
12,122,1464,13.77
13,14,182,1.58
14,9,126,1.02
15,2,30,0.23
16,6,96,0.68
17,6,102,0.68
18,78,1404,8.8
19,7,133,0.79
20,2,40,0.23
21,5,105,0.56
22,2,44,0.23
23,4,92,0.45
24,43,1032,4.85
25,4,100,0.45
26,3,78,0.34
27,3,81,0.34
28,3,84,0.34
29,6,174,0.68
30,41,1230,4.63
31,5,155,0.56
32,2,64,0.23
33,2,66,0.23
34,2,68,0.23
36,11,396,1.24
38,1,38,0.11
39,1,39,0.11
40,6,240,0.68
41,1,41,0.11
42,5,210,0.56
43,1,43,0.11
44,1,44,0.11
47,2,94,0.23
48,3,144,0.34
50,1,50,0.11
53,1,53,0.11
54,3,162,0.34
55,1,55,0.11
61,1,61,0.11
62,2,124,0.23
66,1,66,0.11
70,1,70,0.11
71,1,71,0.11
