component_id,component_size,product_id_count,identity_count,product_id_sample,identity_sample,min_row_index
product_id_part_name_brand_model_year_start_year_end_component_000001,71,26,2,"53848080, 53848801, 53848805, 53848806, 53869465, 53883746, 53883759, 55987887, 55987889, 55987891, 55987893, 56933452 ... (+14 more)",trailing link rear -(left) | toyota | corolla | 2019 | 2027 || trailing link rear-(left) | toyota | corolla | 2019 | 2027,4286
product_id_part_name_brand_model_year_start_year_end_component_000002,70,13,1,"59131986, 60059054, 60496432, 61770180, 63310210, 63350268, 64489889, 64546407, 65399928, 65680788, 66223598, 66434289 ... (+1 more)",drive shaft -(left front) | toyota | corolla | 2019 | 2027,4155
product_id_part_name_brand_model_year_start_year_end_component_000003,66,11,1,"53375244, 53503260, 53589567, 54159171, 54272539, 54284856, 58539226, 61748921, 62656879, 63591065, 64531098",drive shaft -(right rear) | skoda | octavia | 2013 | 2020,8141
product_id_part_name_brand_model_year_start_year_end_component_000004,62,22,2,"53853342, 53869656, 56933448, 58825527, 59131977, 59242297, 60059060, 60139248, 60419506, 60496437, 61076252, 61751482 ... (+10 more)",wheel bearing spindle shaft -(left rear) | toyota | corolla | 2019 | 2027 || wheel bearing spindle shaft-(left rear) | toyota | corolla | 2019 | 2027,4240
product_id_part_name_brand_model_year_start_year_end_component_000005,62,22,1,"53848794, 53848803, 53848811, 53859508, 53860530, 53883758, 55987886, 55987888, 55987890, 55987892, 56933451, 58755575 ... (+10 more)",trailing link rear -(right) | toyota | corolla | 2019 | 2027,4291
product_id_part_name_brand_model_year_start_year_end_component_000006,61,17,2,"53577432, 53865601, 58825993, 58825994, 59230183, 59230184, 60129271, 60498741, 60498767, 61749419, 61749421, 62122633 ... (+5 more)",suspension -(rear) | toyota | corolla | 2019 | 2027 || suspension-(rear) | toyota | corolla | 2019 | 2027,4260
product_id_part_name_brand_model_year_start_year_end_component_000007,55,20,2,"53608052, 53850683, 53859861, 54238812, 56933443, 57220992, 58755576, 59131987, 59249691, 62404920, 62418504, 63127091 ... (+8 more)",brake caliper -(right rear) | toyota | corolla | 2019 | 2027 || brake caliper-(right rear) | toyota | corolla | 2019 | 2027,3845
product_id_part_name_brand_model_year_start_year_end_component_000010,54,9,2,"53369770, 53409730, 53441870, 59351317, 59351332, 59673189, 59673190, 60226034, 60226036",shock absorbers rear -(rear) | skoda | octavia | 2013 | 2020 || shock absorbers rear-(rear) | skoda | octavia | 2013 | 2020,8235
product_id_part_name_brand_model_year_start_year_end_component_000008,54,9,1,"53938689, 53938690, 54223177, 54244809, 54245168, 54247541, 54260459, 54263144, 64496424","drive shaft - , e-(left front) | vw | golf | 2013 | 2020",465
product_id_part_name_brand_model_year_start_year_end_component_000009,54,9,1,"53451718, 53485361, 53604578, 54252481, 54252635, 59583068, 60484610, 60973822, 63439416",curtain airbags -(right) | skoda | octavia | 2013 | 2020,7709
product_id_part_name_brand_model_year_start_year_end_component_000011,53,23,2,"53853364, 53855121, 53855165, 56933447, 57222704, 58825525, 59131976, 59241761, 60059059, 60139249, 60496436, 61076249 ... (+11 more)",wheel bearing spindle shaft -(right rear) | toyota | corolla | 2019 | 2027 || wheel bearing spindle shaft-(right rear) | toyota | corolla | 2019 | 2027,4245
product_id_part_name_brand_model_year_start_year_end_component_000012,50,20,1,"53608961, 53859868, 53860486, 53867130, 54232531, 56933444, 57220993, 58755577, 59131988, 59249690, 60058881, 62404922 ... (+8 more)",brake caliper -(left rear) | toyota | corolla | 2019 | 2027,3840
product_id_part_name_brand_model_year_start_year_end_component_000013,48,18,2,"53606571, 53859829, 53860488, 53879067, 53928357, 56933442, 57220995, 60058883, 60496428, 63310200, 63350262, 64546414 ... (+6 more)",brake caliper -(left front) | toyota | corolla | 2019 | 2027 || brake caliper-(left front) | toyota | corolla | 2019 | 2027,3830
product_id_part_name_brand_model_year_start_year_end_component_000015,48,8,2,"53397794, 53409888, 56848565, 62238856, 62662904, 62781323, 65037610, 65651373",wheel bearing spindle shaft -(left rear) | skoda | octavia | 2013 | 2020 || wheel bearing spindle shaft-(left rear) | skoda | octavia | 2013 | 2020,8276
product_id_part_name_brand_model_year_start_year_end_component_000014,48,8,1,"53418003, 53503261, 53584385, 54107088, 54676853, 58539225, 62656774, 66395063",drive shaft -(left rear) | skoda | octavia | 2013 | 2020,8137
product_id_part_name_brand_model_year_start_year_end_component_000016,47,17,1,"53859828, 53860450, 53860490, 53895810, 53928356, 57220994, 58717890, 60058882, 61076237, 62404916, 63310199, 63350261 ... (+5 more)",brake caliper -(right front) | toyota | corolla | 2019 | 2027,3835
product_id_part_name_brand_model_year_start_year_end_component_000017,47,9,2,"53699458, 56097887, 57180324, 57182287, 57894044, 57894045, 58671369, 58671370, 66735158",hub rear -(rear) | toyota | corolla | 2002 | 2007 || hub rear-(rear) | toyota | corolla | 2002 | 2007,4274
product_id_part_name_brand_model_year_start_year_end_component_000018,44,11,2,"54151722, 60059053, 63083525, 63350267, 64489888, 64546406, 65399932, 65865835, 66223983, 66434290, 66630808",drive shaft -(right front) | toyota | corolla | 2019 | 2027 || drive shaft-(right front) | toyota | corolla | 2019 | 2027,4160
product_id_part_name_brand_model_year_start_year_end_component_000019,43,8,1,"62404856, 63310181, 63350254, 64546891, 65257587, 65399988, 65680833, 66455069",curtain airbags -(right) | toyota | corolla | 2019 | 2027,3800
product_id_part_name_brand_model_year_start_year_end_component_000022,42,7,2,"63310187, 63350255, 64546896, 65257588, 65400008, 65680834, 66455068",curtain airbags -(left) | toyota | corolla | 2019 | 2027 || curtain airbags-(left) | toyota | corolla | 2019 | 2027,3795
product_id_part_name_brand_model_year_start_year_end_component_000023,42,7,2,"54242387, 54280417, 54430941, 54443628, 54443630, 54447761, 63591631",suspension -(rear) | skoda | octavia | 2013 | 2020 || suspension-(rear) | skoda | octavia | 2013 | 2020,8245
product_id_part_name_brand_model_year_start_year_end_component_000024,42,7,2,"53379281, 53409488, 60557555, 62238855, 62781308, 65037599, 65651367",wheel bearing spindle shaft -(right rear) | skoda | octavia | 2013 | 2020 || wheel bearing spindle shaft-(right rear) | skoda | octavia | 2013 | 2020,8281
product_id_part_name_brand_model_year_start_year_end_component_000020,42,7,1,"53491409, 54217190, 56438889, 58952161, 60981201, 61914684, 64661502","curtain airbags - , e-(left) | vw | golf | 2013 | 2020",19
product_id_part_name_brand_model_year_start_year_end_component_000021,42,7,1,"53386727, 54222111, 54265596, 58355099, 59552977, 60985824, 61914682","curtain airbags - , e-(right) | vw | golf | 2013 | 2020",24
product_id_part_name_brand_model_year_start_year_end_component_000025,41,11,2,"53589483, 53618513, 53650880, 53664653, 53689539, 54008914, 54034252, 54582169, 60930689, 62953076, 64248645",strut rear -(left) | toyota | corolla | 2002 | 2007 || strut rear-(left) | toyota | corolla | 2002 | 2007,4225
product_id_part_name_brand_model_year_start_year_end_component_000031,40,16,2,"53821389, 53826004, 54505764, 54517984, 54527967, 54527972, 54527974, 54555307, 54555440, 54560132, 54571032, 54571340 ... (+4 more)",fuel filling pipe / tube - | toyota | corolla | 1998 | 2001 || fuel filling pipe / tube- | toyota | corolla | 1998 | 2001,4095
product_id_part_name_brand_model_year_start_year_end_component_000026,40,15,2,"57231205, 59140465, 60058714, 60496419, 61076241, 62404925, 63026248, 63083244, 63310160, 63350249, 65250408, 65309287 ... (+3 more)",abs hydraulic aggregate - | toyota | corolla | 2019 | 2027 || abs hydraulic aggregate- | toyota | corolla | 2019 | 2027,3825
product_id_part_name_brand_model_year_start_year_end_component_000030,40,15,2,"53605194, 53848511, 56939596, 59078050, 59140483, 62989746, 63117883, 63305356, 63352462, 64538310, 65107242, 65176844 ... (+3 more)",engine gasoline - | toyota | corolla | 2019 | 2027 || engine gasoline- | toyota | corolla | 2019 | 2027,4024
product_id_part_name_brand_model_year_start_year_end_component_000027,40,15,1,"54137921, 57028353, 57887357, 58926177, 58991908, 59217624, 60117429, 60785799, 61156018, 62529942, 62769932, 64388412 ... (+3 more)",hybrid batteri - | toyota | corolla | 2019 | 2027,3945
product_id_part_name_brand_model_year_start_year_end_component_000028,40,15,1,"54137927, 54232530, 54248125, 57231214, 58198976, 59274610, 60063118, 61074258, 61156102, 61905395, 62146906, 63130124 ... (+3 more)",hybrid inverter - | toyota | corolla | 2019 | 2027,3950
product_id_part_name_brand_model_year_start_year_end_component_000029,40,15,1,"53608931, 53608953, 53861120, 54103835, 54137955, 59244561, 60119199, 60125605, 60500078, 63020235, 63125499, 63334988 ... (+3 more)",other control unit - | toyota | corolla | 2019 | 2027,3995
product_id_part_name_brand_model_year_start_year_end_component_000032,39,14,2,"54137995, 57035004, 59078044, 59131981, 59269879, 61063287, 62117685, 62404956, 63117910, 63127471, 63305358, 63353320 ... (+2 more)",automatic gear - | toyota | corolla | 2019 | 2027 || automatic gear- | toyota | corolla | 2019 | 2027,4150
product_id_part_name_brand_model_year_start_year_end_component_000033,38,13,1,"53838464, 53858477, 53881624, 53928354, 54129716, 58761312, 58925051, 59862593, 60492667, 61918245, 62135565, 65400022 ... (+1 more)",kamera utvändig - | toyota | corolla | 2019 | 2027,3925
product_id_part_name_brand_model_year_start_year_end_component_000038,36,11,2,"54311388, 54321523, 54325977, 54533639, 55161386, 58955945, 58955946, 64465053, 64465065, 64465066, 64465067",coil - | toyota | corolla | 2002 | 2007 || coil- | toyota | corolla | 2002 | 2007,4014
product_id_part_name_brand_model_year_start_year_end_component_000039,36,11,2,"54084378, 54084790, 54085064, 54098489, 54099109, 54100965, 54105228, 54121433, 54142195, 63050947, 63050948",motor cushion - | toyota | corolla | 2002 | 2007 || motor cushion- | toyota | corolla | 2002 | 2007,4077
product_id_part_name_brand_model_year_start_year_end_component_000034,36,6,2,"54069563, 54253079, 54268110, 54291801, 54362669, 64667066","drive shaft - , e-(left rear) | vw | golf | 2013 | 2020 || drive shaft- , e-(left rear) | vw | golf | 2013 | 2020",471
product_id_part_name_brand_model_year_start_year_end_component_000042,36,6,2,"53502115, 54041614, 54252177, 54292467, 54760100, 60226075",drive shaft -(left front) | skoda | octavia | 2013 | 2020 || drive shaft-(left front) | skoda | octavia | 2013 | 2020,8132
product_id_part_name_brand_model_year_start_year_end_component_000035,36,6,1,"53847073, 53882061, 54011729, 54012212, 54022459, 54033319","hub rear - , e-(rear) | vw | golf | 2009 | 2013",544
product_id_part_name_brand_model_year_start_year_end_component_000036,36,6,1,"53713162, 53719558, 53721299, 53824510, 53828430, 54389700","shock absorbers rear - , e-(rear) | vw | golf | 1998 | 2006",564
product_id_part_name_brand_model_year_start_year_end_component_000037,36,6,1,"53368149, 53399113, 53400059, 54290596, 65661358, 65682707","wheel bearing spindle shaft - , e-(left rear) | vw | golf | 2013 | 2020",614
product_id_part_name_brand_model_year_start_year_end_component_000040,36,6,1,"53438211, 53460365, 53484488, 53493166, 53495141, 64801679",brake caliper -(left front) | skoda | octavia | 2013 | 2020,7735
product_id_part_name_brand_model_year_start_year_end_component_000041,36,6,1,"53386676, 53398778, 53437974, 53447279, 53492535, 64801568",brake caliper -(right front) | skoda | octavia | 2013 | 2020,7740
product_id_part_name_brand_model_year_start_year_end_component_000043,36,6,1,"53502120, 54037329, 54229159, 59340765, 63439418, 65554234",drive shaft -(right front) | skoda | octavia | 2013 | 2020,8146
product_id_part_name_brand_model_year_start_year_end_component_000044,36,6,1,"53842661, 53852853, 54017270, 54359903, 54360248, 60226162",trailing link rear -(left) | skoda | octavia | 2005 | 2013,8257
product_id_part_name_brand_model_year_start_year_end_component_000046,34,12,2,"53840672, 53855171, 54137289, 59622865, 63305368, 63350257, 64522689, 64546427, 65250409, 65399914, 65680830, 66424833",rear axle beam - | toyota | corolla | 2019 | 2027 || rear axle beam- | toyota | corolla | 2019 | 2027,4255
