part_name,brand,model,oem_number,row_count,product_id_count,product_id_sample,median_price,min_price,max_price,rows_per_product_id
hub rear -(rear),toyota,corolla,fi15710056a,50,18,"54555112, 54560998, 54562514, 54568829, 54568941, 54574650, 54576727, 54581766, 54581788, 54584616 ... (+8 more)",94.55000000000001,47.4,95.2,2.78
distributors vacuum regulator -,toyota,corolla,fi15710056a,40,15,"54570238, 54570295, 54570367, 54570499, 54572869, 54573063, 54573661, 54573914, 54574618, 54575400 ... (+5 more)",100.6,100.2,101.1,2.67
fuel pump electric -,toyota,corolla,fi15710056a,38,14,"54549667, 54549674, 54553339, 54557769, 54558231, 54558291, 54569407, 54572196, 54574086, 54575016 ... (+4 more)",100.8,100.2,107.1,2.71
drive shaft -(left front),toyota,corolla,fi27837687a,60,13,"53367963, 53374161, 59131986, 60059054, 60496432, 63310210, 63350268, 64546407, 65057801, 65399928 ... (+3 more)",296.0,165.8,297.5,4.62
sensor abs -,toyota,corolla,fi15710056a,37,12,"54552575, 54558254, 54558373, 54559216, 54560130, 54561122, 54568794, 54572494, 54573990, 54576365 ... (+2 more)",47.4,41.4,59.5,3.08
passenger airbag -,toyota,corolla,fi27837687a,26,12,"53402114, 53455139, 53471242, 59140468, 60058722, 61076256, 63310195, 63350253, 64466975, 64546429 ... (+2 more)",296.0,284.2,297.5,2.17
trailing link rear -(left),toyota,corolla,fi05028803a,35,11,"53848080, 53848801, 53848805, 53848806, 53869465, 53883746, 53883759, 58755574, 58825996, 58830597 ... (+1 more)",71.0,59.2,71.4,3.18
wheel bearing spindle shaft -(left rear),toyota,corolla,fi27837687a,21,11,"59131977, 60059060, 60496437, 61076252, 62404844, 63310215, 63350279, 64546424, 65107270, 65680827 ... (+1 more)",177.6,176.9,178.5,1.91
engine gasoline -,toyota,corolla,fi27837687a,20,11,"59078050, 59140483, 62989746, 63305356, 63352462, 64538310, 65107242, 65176844, 65433218, 66412411 ... (+1 more)",3670.4,3433.6,3689.0,1.82
wheel bearing spindle shaft -(right rear),toyota,corolla,fi27837687a,15,11,"59131976, 60059059, 60496436, 61076249, 62404848, 63310214, 63350278, 64546423, 65107272, 65680826 ... (+1 more)",177.6,176.9,178.5,1.36
trailing link rear -(right),toyota,corolla,fi05028803a,30,10,"53848794, 53848803, 53848811, 53859508, 53860530, 53883758, 58755575, 58825995, 58830598, 58830599",71.0,59.2,71.4,3.0
suspension -(rear),toyota,corolla,fi27837687a,28,10,"53375391, 53480837, 60498741, 60498767, 61890414, 61890420, 62122633, 62122634, 65399910, 65399986",47.4,35.5,47.6,2.8
abs hydraulic aggregate -,toyota,corolla,fi27837687a,24,10,"59140465, 60058714, 60496419, 61076241, 62404925, 63310160, 63350249, 65250408, 65680819, 66223587",589.9,532.8,595.0,2.4
curtain airbags -(right),toyota,corolla,fi27837687a,39,9,"62404856, 63310181, 63350254, 64546891, 64976693, 65257587, 65399988, 65434861, 65680833",238.0,94.7,261.8,4.33
curtain airbags -(left),toyota,corolla,fi27837687a,38,9,"53449758, 63310187, 63350255, 64546896, 64976694, 65257588, 65400008, 65434862, 65680834",236.8,94.7,261.8,4.22
brake caliper -(right front),toyota,corolla,fi27837687a,34,9,"60058882, 61076237, 62404916, 63310199, 63350261, 64546413, 65107262, 65250413, 65399920",177.6,165.8,178.5,3.78
brake caliper -(left front),toyota,corolla,fi27837687a,32,9,"60058883, 60496428, 63310200, 63350262, 64546414, 65107263, 65250414, 65399917, 65594835",177.6,118.4,178.5,3.56
drive shaft -(right front),toyota,corolla,fi27837687a,26,9,"53410756, 60059053, 60410436, 63350267, 64546406, 65057800, 65399932, 65865835, 66434290",353.9,177.6,357.0,2.89
steering wheel airbag -,toyota,corolla,fi27837687a,24,9,"53447491, 53487808, 59140469, 60058723, 63350256, 64546410, 64976681, 65257590, 65680798",296.0,260.5,297.5,2.67
motor cushion -,toyota,corolla,fi06292622a,23,9,"54084378, 54084790, 54085064, 54098489, 54099109, 54100965, 54105228, 54121433, 54142195",23.7,5.9,23.8,2.56
parkeringshjälp frontsensor -,toyota,corolla,fi27837687a,32,8,"53393524, 53394183, 53394186, 53496462, 61070360, 63351902, 63351960, 63351992",59.0,47.2,59.5,4.0
brake caliper -(right rear),toyota,corolla,fi27837687a,12,8,"59131987, 62404920, 63310198, 63350259, 64546415, 65250411, 65434800, 65680815",177.6,177.6,190.4,1.5
brake caliper -(left rear),toyota,corolla,fi27837687a,8,8,"59131988, 60058881, 62404922, 64546416, 65107265, 65250412, 65680817, 66223739",177.6,165.8,177.6,1.0
"brake caliper - , e-(left front)",vw,golf,fi27837687a,42,7,"53463472, 58952166, 61917764, 63199771, 64491409, 64675834, 65138593",177.5,165.1,238.0,6.0
"drive shaft - , e-(left front)",vw,golf,fi09389104a,42,7,"54223177, 54244809, 54245168, 54247541, 54260459, 54263144, 64251591",306.7,265.4,309.4,6.0
air-flow sensor -,toyota,corolla,fi06376738a,32,7,"54310660, 54326986, 54340197, 54346272, 54357747, 54367095, 54371010",23.7,23.6,23.8,4.57
shock absorbers rear -(rear),toyota,corolla,fi06376738a,32,7,"54389246, 54389283, 54389284, 54389563, 54389838, 54389885, 55161317",60.4,60.1,60.7,4.57
rear axle beam -,toyota,corolla,fi27837687a,27,7,"63305368, 63350257, 64546427, 65250409, 65399914, 65680830, 66424833",414.4,355.2,416.5,3.86
gear lever -,toyota,corolla,fi27837687a,12,7,"60061114, 60467442, 61092453, 62404893, 65257625, 65399921, 65434804",177.6,176.9,189.4,1.71
deliverer -,toyota,corolla,fi30987993a,7,7,"54533836, 54534848, 54534956, 54539614, 56142206, 56142207, 56142208",84.1,84.1,84.1,1.0
drive shaft -(right front),toyota,corolla,fi02154548a,7,7,"53712062, 53713676, 53714980, 53716391, 53716866, 53718651, 58649474",177.6,153.9,177.6,1.0
shock absorbers rear -(rear),toyota,corolla,fi05028803a,7,7,"53853721, 53853777, 53859811, 53859812, 53881584, 58825523, 58825992",59.2,59.2,59.2,1.0
"brake caliper - , e-(right front)",vw,golf,fi27837687a,36,6,"53419024, 58952165, 62029253, 64491408, 65138592, 66709192",177.5,165.1,238.0,6.0
"curtain airbags - , e-(left)",vw,golf,fi27837687a,36,6,"53491409, 56438889, 58952161, 60981201, 61914684, 64661502",142.1,141.5,154.7,6.0
"hub rear - , e-(rear)",vw,golf,fi10331575a,36,6,"54011729, 54012202, 54012204, 54012212, 54022459, 54033319",236.0,176.9,238.0,6.0
wheel bearing spindle shaft -(left rear),skoda,octavia,fi05351686a,35,6,"56848565, 62238856, 62662904, 62781323, 65037610, 65651373",214.2,212.3,238.0,5.83
fuel filling pipe / tube -,toyota,corolla,fi15710056a,29,6,"54555307, 54555440, 54560132, 54571032, 54571340, 54574525",59.2,47.2,59.5,4.83
main cylinder -,toyota,corolla,fi27837687a,26,6,"53392046, 60058879, 65107261, 65399927, 65434802, 66424831",592.0,59.2,595.0,4.33
automatic gear -,toyota,corolla,fi27837687a,21,6,"59078044, 59131981, 61063287, 62404956, 63305358, 65434798",2960.0,2604.8,2975.0,3.5
other relay -,toyota,corolla,fi15710056a,20,6,"54547503, 54574000, 54578012, 54585467, 57891268, 57897105",41.4,35.5,41.6,3.33
airbag krocksensor -,toyota,corolla,fi06509801a,16,6,"59245086, 59245089, 61769058, 61769059, 61769263, 61769264",56.2,56.0,56.5,2.67
hybrid inverter -,toyota,corolla,fi09389104a,11,6,"54232530, 54248125, 57231214, 58198976, 59274610, 63130124",1032.3,976.8,1041.3,1.83
kamera utvändig -,toyota,corolla,fi05028803a,11,6,"53838464, 53858477, 53881624, 58761312, 58925051, 66210961",707.6,296.0,714.0,1.83
hybrid batteri -,toyota,corolla,fi27837687a,9,6,"58991908, 60785799, 62529942, 64388412, 65221945, 66387048",1184.0,1124.8,1190.0,1.5
airbag front sensor -(left),toyota,corolla,fi15710056a,30,5,"54547852, 54555195, 54556139, 54578670, 54579179",35.650000000000006,35.4,47.6,6.0
brake caliper -(left front),skoda,octavia,fi27837687a,30,5,"53438211, 53460365, 53484488, 53493166, 53495141",154.0,153.3,154.7,6.0
brake caliper -(right front),skoda,octavia,fi27837687a,30,5,"53386676, 53398778, 53437974, 53447279, 53492535",154.0,153.3,154.7,6.0
"engine block - , e-",vw,golf,fi06292622a,30,5,"54100778, 54112903, 54118497, 54126464, 54162484",59.150000000000006,47.2,65.5,6.0
"injection control unit - , e-",vw,golf,fi27837687a,30,5,"53458214, 53472320, 53500718, 56744090, 59734341",449.65,448.2,452.2,6.0
knee -,skoda,octavia,fi09389104a,30,5,"54289853, 55500795, 56974731, 59692310, 59856778",242.85,241.8,243.9,6.0
"load air pressure transmitters - , e-",vw,golf,fi10331575a,30,5,"54008546, 54049047, 54074856, 55972734, 56502632",41.4,41.3,41.6,6.0
"piston / rod - , e-",vw,golf,fi06292622a,30,5,"54100052, 54124986, 54124988, 54125831, 54142915",23.7,23.6,35.7,6.0
starter diesel -,skoda,octavia,fi27837687a,30,5,"53401025, 53490851, 53494115, 59769350, 59769471",130.14999999999998,129.7,130.9,6.0
strut bearing rear -(rear),toyota,corolla,fi06018105a,30,5,"54469818, 54472631, 54473017, 54478903, 54480215",23.7,23.6,23.8,6.0
tank transmitters -,skoda,octavia,fi06376738a,30,5,"54343917, 54348909, 54373456, 54375958, 54381558",47.2,41.3,47.6,6.0
abs hydraulic pump -,skoda,octavia,fi10331575a,29,5,"54040619, 54040892, 54041498, 54047336, 54069056",474.2,471.8,476.0,5.8
"parkeringshjälp frontsensor - , e-",vw,golf,fi27837687a,29,5,"53458852, 53467208, 53469091, 53486158, 53491539",59.1,59.0,59.5,5.8
passenger airbag -,skoda,octavia,fi09389104a,29,5,"54280175, 54292142, 56974726, 57597013, 59309175",485.4,483.6,487.9,5.8
piston / rod -,skoda,octavia,fi06292622a,29,5,"54116551, 54148694, 54148695, 54148696, 62007019",41.4,35.4,59.5,5.8
gear distributor box -,skoda,octavia,fi27837687a,28,5,"53407578, 57067071, 59077369, 59913951, 60522419",952.0,943.5,1071.0,5.6
strut rear -(left),toyota,corolla,fi07265116a,24,5,"53650880, 53664653, 53679064, 53682952, 53689539",42.7,39.4,55.7,4.8
mass air-flow sensor -,toyota,corolla,fi27837687a,20,5,"53431833, 53449533, 53475815, 65255097, 65399958",82.9,71.0,83.3,4.0
suspension -(rear),toyota,corolla,fi05028803a,20,5,"53865601, 58825993, 58825994, 66223741, 66223760",47.4,47.2,47.6,4.0
hybrid batteri -,toyota,corolla,fi09389104a,18,5,"57028353, 57887357, 58926177, 59217624, 62769932",1297.55,1219.5,1462.2,3.6
coil -,toyota,corolla,fi30987993a,14,5,"54533639, 64465053, 64465065, 64465066, 64465067",53.3,53.1,53.5,2.8
injection control unit -,toyota,corolla,fi27837687a,14,5,"53383800, 53420251, 53472798, 65257613, 65399936",533.65,355.2,595.0,2.8
coil -,toyota,corolla,fi06376738a,10,5,"54311388, 54316693, 54321523, 54325977, 55161386",53.1,47.4,53.5,2.0
curtain airbags -(right),toyota,corolla,fi06376738a,10,5,"54331761, 59391659, 62465161, 63216298, 64248620",180.45,59.2,182.1,2.0
hand brake lever -,toyota,corolla,fi06376738a,10,5,"54365316, 54365356, 54365466, 54365505, 54365725",47.2,35.5,47.6,2.0
insp.pump diesel control unit -,toyota,corolla,fi11042417a,10,5,"54531250, 54531561, 54532022, 54532302, 61038379",235.95,118.4,238.0,2.0
