product_ids_per_identity,identity_count,identity_pct,product_id_count,row_count
2,70,17.33,140,398
3,29,7.18,87,321
4,42,10.4,168,818
5,132,32.67,660,3768
6,20,4.95,120,572
7,20,4.95,140,711
8,12,2.97,96,510
9,7,1.73,63,339
10,5,1.24,50,255
11,3,0.74,33,137
12,4,0.99,48,152
13,5,1.24,65,183
14,16,3.96,224,607
15,19,4.7,285,765
16,5,1.24,80,203
17,2,0.5,34,106
20,2,0.5,40,103
21,1,0.25,21,55
22,1,0.25,22,60
23,2,0.5,46,115
25,2,0.5,50,157
26,1,0.25,26,61
29,2,0.5,58,150
30,1,0.25,30,78
31,1,0.25,31,65
