part_name,brand,model,row_count,product_id_count,product_id_sample,median_price,min_price,max_price,rows_per_product_id
drive shaft -(right front),toyota,corolla,65,31,"53410756, 53712062, 53713676, 53714980, 53716391, 53716866, 53718651, 54151722, 54413270, 54521427 ... (+21 more)",296.4,153.9,357.0,2.1
suspension -(rear),toyota,corolla,78,30,"53375391, 53480837, 53577432, 53817908, 53827878, 53865601, 54491760, 54491761, 55960953, 55960954 ... (+20 more)",47.2,35.5,47.6,2.6
trailing link rear -(left),toyota,corolla,77,29,"53722743, 53722744, 53848080, 53848801, 53848805, 53848806, 53869465, 53883746, 53883759, 54363441 ... (+19 more)",71.0,56.2,72.6,2.66
shock absorbers rear -(rear),toyota,corolla,73,29,"53706183, 53721247, 53819760, 53824358, 53853721, 53853777, 53859811, 53859812, 53881584, 54248598 ... (+19 more)",60.4,59.2,62.2,2.52
hub rear -(rear),toyota,corolla,61,26,"53699458, 53708861, 53710888, 53715555, 53716493, 53717736, 54555112, 54560998, 54562514, 54568829 ... (+16 more)",94.4,47.4,119.0,2.35
drive shaft -(left front),toyota,corolla,87,25,"53367963, 53374161, 54232635, 54417013, 54521794, 54626514, 56269960, 59131986, 60059054, 60132522 ... (+15 more)",294.9,153.9,297.5,3.48
trailing link rear -(right),toyota,corolla,70,25,"53707144, 53725967, 53848794, 53848803, 53848811, 53859508, 53860530, 53883758, 54360056, 55987886 ... (+15 more)",71.0,56.2,72.6,2.8
curtain airbags -(right),toyota,corolla,63,23,"53663768, 53991822, 54082891, 54331761, 54470946, 54479779, 54492177, 59391659, 61845408, 62404856 ... (+13 more)",235.9,59.2,261.8,2.74
wheel bearing spindle shaft -(right rear),toyota,corolla,52,23,"53853364, 53855121, 53855165, 56933447, 57222704, 58825525, 59131976, 59241761, 60059059, 60139249 ... (+13 more)",189.75,165.8,208.3,2.26
wheel bearing spindle shaft -(left rear),toyota,corolla,60,22,"53853342, 53869656, 56933448, 58825527, 59131977, 59242297, 60059060, 60139248, 60419506, 60496437 ... (+12 more)",177.9,165.8,208.3,2.73
curtain airbags -(left),toyota,corolla,55,21,"53449758, 53659100, 53672406, 54470943, 54476116, 54492143, 59391660, 59624287, 61845319, 62465163 ... (+11 more)",226.1,59.2,261.8,2.62
brake caliper -(right rear),toyota,corolla,53,20,"53608052, 53850683, 53859861, 54238812, 56933443, 57220992, 58755576, 59131987, 59249691, 62404920 ... (+10 more)",177.9,168.7,238.0,2.65
brake caliper -(left rear),toyota,corolla,50,20,"53608961, 53859868, 53860486, 53867130, 54232531, 56933444, 57220993, 58755577, 59131988, 59249690 ... (+10 more)",177.7,165.8,238.0,2.5
strut rear -(left),toyota,corolla,59,17,"53589483, 53618513, 53650880, 53664653, 53679064, 53682952, 53689539, 54008914, 54034252, 54321498 ... (+7 more)",53.3,23.7,59.5,3.47
brake caliper -(right front),toyota,corolla,47,17,"53859828, 53860450, 53860490, 53895810, 53928356, 57220994, 58717890, 60058882, 61076237, 62404916 ... (+7 more)",177.6,142.1,238.0,2.76
brake caliper -(left front),toyota,corolla,44,16,"53606571, 53859829, 53928357, 56933442, 57220995, 60058883, 60496428, 63310200, 63350262, 64546414 ... (+6 more)",177.6,118.4,238.0,2.75
distributors -,toyota,corolla,40,16,"53687628, 53832764, 53832935, 53914784, 53954187, 54310467, 54335221, 54341466, 54345881, 54475593 ... (+6 more)",83.7,59.2,95.2,2.5
gear box 5 speed -,toyota,corolla,40,16,"53400892, 53413369, 53889068, 54560231, 54777180, 56989378, 59855589, 60930698, 61139026, 63216307 ... (+6 more)",651.6,517.4,833.0,2.5
starter gasoline -,toyota,corolla,40,16,"53397731, 53705104, 53725225, 53727493, 53821469, 53913410, 54528712, 54648612, 56268870, 58355946 ... (+6 more)",94.7,82.9,106.7,2.5
passenger airbag -,toyota,corolla,39,16,"53402114, 53455139, 53471242, 53713033, 59140468, 60058722, 61076256, 63158119, 63310195, 63350253 ... (+6 more)",296.0,281.2,333.2,2.44
strut rear -(right),toyota,corolla,55,15,"53467029, 53662663, 53674446, 53721223, 53792102, 54007262, 54338198, 54471239, 54484620, 54485592 ... (+5 more)",59.0,29.6,59.5,3.67
airbag krocksensor -,toyota,corolla,40,15,"54432700, 54432701, 54492383, 54492396, 54493918, 54493926, 59245086, 59245089, 60132894, 61769058 ... (+5 more)",56.3,53.3,59.5,2.67
contact roll airbag -,toyota,corolla,40,15,"53596126, 53856491, 53856614, 53928362, 54282984, 55149341, 58712351, 61076273, 62133431, 63019913 ... (+5 more)",213.45,177.6,238.0,2.67
distributors vacuum regulator -,toyota,corolla,40,15,"54570238, 54570295, 54570367, 54570499, 54572869, 54573063, 54573661, 54573914, 54574618, 54575400 ... (+5 more)",100.6,100.2,101.1,2.67
fuel injection pump -,toyota,corolla,40,15,"53713302, 53715683, 53717128, 53720617, 54051647, 54173283, 54432606, 54472609, 54504379, 54526701 ... (+5 more)",118.4,100.6,119.0,2.67
hybrid batteri -,toyota,corolla,40,15,"54137921, 57028353, 57887357, 58926177, 58991908, 59217624, 60117429, 60785799, 61156018, 62529942 ... (+5 more)",1300.1,1124.8,1462.2,2.67
hybrid inverter -,toyota,corolla,40,15,"54137927, 54232530, 54248125, 57231214, 58198976, 59274610, 60063118, 61074258, 61156102, 61905395 ... (+5 more)",1085.45,355.2,1190.0,2.67
insp.pump diesel control unit -,toyota,corolla,40,15,"53461881, 53650419, 53832045, 54071642, 54531250, 54531561, 54532022, 54532302, 54571247, 56093599 ... (+5 more)",213.4,118.4,238.0,2.67
other control unit -,toyota,corolla,40,15,"53608931, 53608953, 53861120, 54103835, 54137955, 59244561, 60119199, 60125605, 60500078, 63020235 ... (+5 more)",438.75,270.0,476.0,2.67
power steering control unit -,toyota,corolla,40,15,"53590879, 53696108, 53715029, 54063166, 54068576, 54469879, 54471168, 54527905, 54532256, 54684107 ... (+5 more)",178.2,165.8,238.0,2.67
sensor abs -,toyota,corolla,40,15,"53835699, 53875465, 53897787, 54552575, 54558254, 54558373, 54559216, 54560130, 54561122, 54568794 ... (+5 more)",47.4,41.4,59.5,2.67
abs hydraulic pump -,toyota,corolla,39,15,"53685056, 53728071, 54063593, 54151616, 54552749, 54556265, 54573754, 54586417, 55593606, 56798552 ... (+5 more)",530.9,236.8,547.4,2.6
clutch cylinder slave -,toyota,corolla,39,15,"53663283, 53799748, 53829242, 53836797, 53858372, 54016900, 54318560, 54524529, 54528612, 54532592 ... (+5 more)",29.6,23.7,35.7,2.6
coil -,toyota,corolla,39,15,"54311388, 54316693, 54321523, 54325977, 54533639, 54579565, 55161386, 58955945, 58955946, 64465053 ... (+5 more)",53.3,47.4,53.5,2.6
engine gasoline -,toyota,corolla,39,15,"53605194, 53848511, 56939596, 59078050, 59140483, 62989746, 63117883, 63305356, 63352462, 64538310 ... (+5 more)",3656.1,3433.6,3689.0,2.6
hand brake lever -,toyota,corolla,39,15,"53817071, 53829075, 53836781, 53855578, 53881176, 53882640, 53994088, 54134876, 54365316, 54365356 ... (+5 more)",47.2,35.5,47.6,2.6
other relay -,toyota,corolla,39,15,"53831848, 54062472, 54132421, 54210583, 54500179, 54504299, 54530676, 54547503, 54574000, 54578012 ... (+5 more)",41.5,29.6,47.6,2.6
fuel filling pipe / tube -,toyota,corolla,38,15,"53821389, 53826004, 54517984, 54527967, 54527972, 54527974, 54555307, 54555440, 54560132, 54571032 ... (+5 more)",59.0,35.5,59.5,2.53
gear lever -,toyota,corolla,38,15,"53606551, 53700152, 53886312, 54145488, 54593502, 58718927, 60061114, 60467442, 61092453, 62404893 ... (+5 more)",177.6,171.7,190.4,2.53
engine casing -,toyota,corolla,39,14,"53677350, 54081552, 54398229, 54533387, 54612069, 54634256, 54634380, 54679094, 55544010, 58397284 ... (+4 more)",59.2,47.4,59.5,2.79
fuse box / electricity central -,toyota,corolla,39,14,"53616724, 53864019, 54000335, 54035815, 54161048, 54448932, 54537964, 54556301, 55161385, 55588422 ... (+4 more)",95.2,71.0,119.0,2.79
kamera utvändig -,toyota,corolla,39,14,"53838464, 53858477, 53881624, 53928354, 54129716, 58385449, 58761312, 58925051, 59862593, 60492667 ... (+4 more)",652.4,296.0,714.0,2.79
knee -,toyota,corolla,39,14,"53472131, 53484104, 53573229, 53581161, 53691366, 53835769, 53966531, 53999838, 54400530, 54568070 ... (+4 more)",213.5,90.0,297.5,2.79
mass air-flow sensor -,toyota,corolla,39,14,"53431833, 53449533, 53475815, 53727895, 53729179, 53729180, 53874568, 54036224, 54070887, 54561934 ... (+4 more)",82.9,71.0,83.3,2.79
steering wheel airbag -,toyota,corolla,39,14,"53447491, 53487808, 53710872, 59140469, 60058723, 61092668, 63041911, 63350256, 63461617, 64546410 ... (+4 more)",296.0,260.5,297.5,2.79
tank lid -,toyota,corolla,39,14,"53395854, 53655680, 53686810, 53820047, 53838227, 53864712, 53902200, 54000358, 54491958, 54509654 ... (+4 more)",47.4,32.0,59.5,2.79
airbag control unit -,toyota,corolla,38,14,"53446995, 53496737, 53580055, 53729424, 53729426, 54045902, 54080251, 54432610, 54531816, 54556263 ... (+4 more)",260.05,181.2,357.0,2.71
alternator -,toyota,corolla,38,14,"53705345, 53713804, 53727775, 54230860, 56919452, 58508409, 61842750, 64471152, 64498731, 64572767 ... (+4 more)",142.3,106.6,148.8,2.71
deliverer -,toyota,corolla,38,14,"53835788, 54533836, 54534848, 54534956, 54539614, 56142206, 56142207, 56142208, 58954021, 60114204 ... (+4 more)",141.85,84.1,142.8,2.71
fuel pump electric -,toyota,corolla,38,14,"54549667, 54549674, 54553339, 54557769, 54558231, 54558291, 54569407, 54572196, 54574086, 54575016 ... (+4 more)",100.8,100.2,107.1,2.71
injection control unit -,toyota,corolla,38,14,"53383800, 53420251, 53472798, 53726528, 53727624, 53728059, 53834883, 54434817, 60224931, 61766032 ... (+4 more)",496.6,355.2,595.0,2.71
automatic gear -,toyota,corolla,37,14,"54137995, 57035004, 59078044, 59131981, 59269879, 61063287, 61808559, 62117685, 62404956, 63117910 ... (+4 more)",2960.0,2604.8,3054.5,2.64
starter diesel -,toyota,corolla,37,14,"53496516, 53836067, 53860384, 54054291, 54186234, 54505247, 54571054, 54583169, 61425451, 62496233 ... (+4 more)",71.4,59.2,95.2,2.64
air purifier -,toyota,corolla,36,14,"53653516, 53880349, 54212370, 54382401, 54394640, 54469829, 56545219, 59382148, 62480986, 62516003 ... (+4 more)",73.30000000000001,53.3,95.2,2.57
rear axle -,toyota,corolla,34,14,"53452767, 53721809, 54403966, 54668815, 54669756, 54691624, 57021566, 62895199, 64257773, 64579006 ... (+4 more)",318.4,260.5,321.3,2.43
brake servo -,toyota,corolla,38,13,"53421835, 53607268, 53714970, 54066047, 54219687, 54472538, 55885461, 61721306, 61751538, 61886697 ... (+3 more)",508.7,118.4,595.0,2.92
engine diesel -,toyota,corolla,38,13,"53365006, 53365016, 53368241, 53657292, 53728297, 53884324, 53996296, 54010499, 54348690, 58974428 ... (+3 more)",935.4,522.2,952.0,2.92
main cylinder -,toyota,corolla,38,13,"53392046, 53723167, 54341930, 54513878, 56051567, 59746205, 59747247, 60058879, 65107261, 65399927 ... (+3 more)",592.0,59.2,595.0,2.92
abs hydraulic aggregate -,toyota,corolla,36,13,"57231205, 59140465, 60058714, 60496419, 61076241, 62404925, 63026248, 63310160, 63350249, 65250408 ... (+3 more)",590.95,532.8,595.0,2.77
rear axle beam -,toyota,corolla,33,13,"53814471, 53840672, 53855171, 54137289, 59622865, 63305368, 63350257, 64522689, 64546427, 65250409 ... (+3 more)",412.9,80.5,416.5,2.54
airbag front sensor -(left),toyota,corolla,42,12,"53832121, 53917707, 53941082, 54015932, 54075417, 54547852, 54555195, 54556139, 54578670, 54579179 ... (+2 more)",35.6,23.7,47.6,3.5
central lock control unit -,toyota,corolla,37,12,"53614687, 53621030, 53831847, 53834371, 53946424, 54442341, 54463527, 54498321, 54585352, 55157367 ... (+2 more)",41.5,23.7,47.6,3.08
fuel filter / holder -,toyota,corolla,37,12,"53612965, 54016343, 54016497, 54023907, 54034176, 54143186, 54522220, 54653248, 54777219, 56873959 ... (+2 more)",35.7,17.8,47.6,3.08
clutch cylinder main -,toyota,corolla,36,12,"53817670, 53827266, 54028562, 54316338, 54333672, 54395144, 54464657, 54515278, 54528400, 54544437 ... (+2 more)",47.2,23.7,47.6,3.0
drive shaft -(right rear),skoda,octavia,66,11,"53375244, 53503260, 53589567, 54159171, 54272539, 54284856, 58539226, 61748921, 62656879, 63591065 ... (+1 more)",236.65,200.5,285.6,6.0
motor bracket -,toyota,corolla,36,11,"53688752, 53816223, 53819537, 53823586, 54546190, 54562239, 54571879, 54575568, 54597784, 54634804 ... (+1 more)",47.4,35.5,47.6,3.27
motor cushion -,toyota,corolla,35,11,"54084378, 54084790, 54085064, 54098489, 54099109, 54100965, 54105228, 54121433, 54142195, 63050947 ... (+1 more)",23.7,5.9,28.6,3.18
"drive shaft - , e-(left front)",vw,golf,60,10,"53938689, 53938690, 54223177, 54244809, 54245168, 54247541, 54260459, 54263144, 64251591, 64496424",306.7,265.4,321.3,6.0
"suspension - , e-(rear)",vw,golf,59,10,"53449037, 53710187, 54245118, 55068239, 55068240, 57147922, 61159009, 61159010, 64947839, 65057619",59.1,59.0,59.5,5.9
suspension -(rear),skoda,octavia,57,10,"54242387, 54280417, 54430941, 54443628, 54443630, 54447761, 56665933, 56665934, 56911282, 63591631",47.4,47.2,52.4,5.7
shock absorbers rear -(rear),skoda,octavia,55,10,"53369770, 53409730, 53441870, 54680056, 59351317, 59351332, 59673189, 59673190, 60226034, 60226036",47.4,47.2,59.5,5.5
gear box bracket -,toyota,corolla,24,10,"53659800, 53667121, 54101695, 54400534, 54508091, 54604285, 54622479, 54635083, 56321357, 63083786",47.3,17.8,47.6,2.4
curtain airbags -(right),skoda,octavia,54,9,"53451718, 53485361, 53604578, 54252481, 54252635, 59583068, 60484610, 60973822, 63439416",148.1,141.5,184.4,6.0
"trailing link rear - , e-(left)",vw,golf,54,9,"53591509, 53833699, 54004599, 54017984, 54359584, 59888970, 64675780, 65059353, 65138583",83.8,76.7,95.2,6.0
"shock absorbers rear - , e-(rear)",vw,golf,53,9,"53713162, 53719558, 53721299, 53725158, 53824510, 53828430, 53923221, 54389700, 56566915",59.5,59.0,71.4,5.89
trailing link rear -(left),skoda,octavia,51,9,"53842661, 53852853, 54017270, 54359903, 54360248, 58937124, 60226053, 60226162, 64800345",76.7,70.8,84.5,5.67
"drive shaft - , e-(right rear)",vw,golf,50,9,"53862513, 54070809, 54253076, 54257213, 54268111, 54361570, 60073918, 64047277, 64667063",218.25,159.2,357.0,5.56
"drive shaft - , e-(left rear)",vw,golf,48,9,"53862511, 54069563, 54253079, 54268110, 54291801, 54362669, 54416445, 60073919, 64667066",200.8,159.2,308.4,5.33
gear box 6 speed -,toyota,corolla,29,9,"54187634, 56279319, 56321370, 58540693, 60095678, 60987037, 63128547, 65059226, 65209258",1356.6,592.0,1428.0,3.22
"curtain airbags - , e-(right)",vw,golf,48,8,"53386727, 54222111, 54265596, 58355099, 59552977, 60985824, 61914682, 63707445",147.65,141.5,178.5,6.0
drive shaft -(left rear),skoda,octavia,48,8,"53418003, 53503261, 53584385, 54107088, 54676853, 58539225, 62656774, 66395063",233.95,200.5,285.6,6.0
